village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sishubari No.1,37,52,1,46,26,18,1,61,28,83,7,47,29,14,0,19,71,0,,90,0,41,49,87,3,6,84,82,8
Monakucha No.2,58,60,1,31,55,33,11,100,8,116,3,84,30,5,0,3,116,0,,119,0,73,46,119,0,25,94,110,9
Majrabari No. 1,28,68,2,83,9,6,18,74,6,96,2,35,25,38,0,1,97,0,,98,0,50,48,95,3,7,91,77,21
Matiapara,17,37,1,3,25,27,0,13,42,54,1,29,13,13,0,0,55,0,,55,0,17,38,55,0,0,55,18,37
Monakosha No.1,8,36,0,0,21,23,0,17,27,42,2,17,9,18,0,0,44,0,,44,0,16,28,44,0,9,35,26,18
Bedlangkhaity,159,77,10,225,12,9,18,195,33,245,1,179,25,42,0,7,239,0,,246,0,125,121,245,1,0,246,214,32
Dhupguri,23,77,3,95,6,2,12,45,46,102,1,38,37,28,0,0,103,0,,103,0,47,56,103,0,1,102,71,32
Moneswari,12,35,0,5,39,3,21,24,2,47,0,23,13,11,0,0,47,0,,47,0,22,25,47,0,3,44,28,19
Goroimari No.3,88,34,0,116,4,2,11,66,45,104,18,101,10,11,0,76,46,0,,122,0,74,48,122,0,0,122,117,5
Boupara,85,41,2,118,8,2,8,79,41,126,2,99,22,7,0,17,111,0,,128,0,84,44,128,0,0,128,125,3
Nadhiapara,54,23,3,77,3,0,0,28,52,80,0,59,6,15,0,1,79,0,,80,0,49,31,80,0,0,80,74,6
Sialmari,42,13,0,48,7,0,1,51,3,53,2,49,6,0,0,1,54,0,,55,0,32,23,55,0,0,55,55,0
Bhetagaon No. 1,51,0,0,51,0,0,9,42,0,50,1,51,0,0,0,1,50,0,,51,0,33,18,51,0,0,51,48,3
Baghmara,72,32,3,22,62,23,0,1,106,76,31,83,9,15,0,46,61,0,,107,0,68,39,107,0,0,107,102,5
Kawatika-1,70,3,0,73,0,0,0,46,27,73,0,70,0,3,0,0,73,0,,73,0,44,29,73,0,0,73,69,4
Hawargaon,56,0,0,56,0,0,0,4,52,56,0,56,0,0,0,25,31,0,,56,0,37,19,56,0,0,56,55,1
Batabari,199,8,0,204,2,1,1,171,35,207,0,204,3,0,0,90,117,0,,207,0,124,83,207,0,0,207,190,17
Doturi,80,18,0,57,30,11,0,2,96,74,24,92,5,1,0,51,47,0,,98,0,68,30,98,0,0,98,94,4
Dongagaon No. 2,57,20,5,82,0,0,0,63,19,82,0,65,6,11,0,25,57,0,,82,0,48,34,82,0,0,82,78,4
Dangaigaon,70,39,3,112,0,0,1,108,3,98,14,79,19,14,0,56,56,0,,112,0,75,37,112,0,0,112,106,6
Fagunagaon No. 1,10,0,0,6,3,1,1,7,2,10,0,10,0,0,0,0,10,0,,10,0,6,4,10,0,0,10,10,0
Goroimari No.2,47,17,2,66,0,0,5,59,2,56,10,54,5,7,0,31,35,0,,66,0,32,34,66,0,0,66,63,3
Bijni Gaon,163,0,0,162,0,1,1,131,31,163,0,163,0,0,0,15,148,0,,163,0,86,77,163,0,0,163,151,12
Goroimari No. 1,49,8,1,57,1,0,2,26,30,46,12,53,3,2,0,24,34,0,,58,0,38,20,58,0,0,58,58,0
Chatianguri no. 1,18,13,3,11,20,3,1,3,30,26,8,23,3,8,0,26,8,0,,34,0,20,14,34,0,0,34,34,0
Kashdoba,39,21,3,63,0,0,2,41,20,62,1,43,8,12,0,12,51,0,,63,0,38,25,63,0,0,63,58,5
Bishdoba,125,34,10,169,0,0,22,112,35,169,0,131,11,27,0,4,165,0,,169,0,93,76,169,0,0,169,162,7
Chatianguri no.2,38,14,3,55,0,0,10,37,8,50,5,40,9,6,0,31,24,0,,55,0,31,24,55,0,0,55,51,4
Amguri,19,16,1,21,10,5,3,18,15,33,3,20,2,14,0,18,18,0,,36,0,29,7,34,2,1,35,33,3
