village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Alagjhari,52,106,0,154,4,0,0,40,118,119,39,66,38,54,0,73,85,0,,158,0,143,15,158,0,0,158,147,11
Barampur,11,167,6,150,21,13,5,59,120,142,42,16,13,155,0,19,165,0,,184,0,168,16,184,0,0,184,171,13
Bhaluk Khowa Para,13,65,0,71,7,0,1,21,56,54,24,13,8,57,0,48,30,0,,78,0,16,62,78,0,0,78,78,0
Jogipara,34,554,16,423,144,37,14,272,318,412,192,60,76,468,0,84,520,2,,604,0,574,30,604,0,0,604,591,13
Adhikari,148,270,10,365,47,16,131,147,150,320,108,159,26,243,0,147,281,0,,428,0,326,102,394,34,33,395,411,17
Bar - Satra,29,190,9,146,65,17,18,128,82,184,44,61,58,109,0,46,182,0,,228,0,208,20,228,0,0,228,228,0
Bainaojha Para,75,270,6,280,55,16,14,139,198,206,145,81,20,250,0,42,309,0,,351,0,286,65,351,0,0,351,325,26
Barnagaon,3,1,3,4,3,0,1,3,3,7,0,3,0,4,0,6,1,0,,7,0,4,3,7,0,0,7,7,0
No.1 Rowmari,132,133,0,250,15,0,14,121,130,243,22,134,13,118,0,14,251,0,,265,0,202,63,264,1,0,265,265,0
Jogipara,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Barathiabari,0,2,0,0,1,1,0,0,2,2,0,0,2,0,0,1,1,0,,2,0,0,2,2,0,0,2,2,0
Bezpara,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Lankapuri,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
No.2 Rowmari,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,,1,0,0,1,1,0,0,1,0,1
Bamunpara,9,43,0,39,13,0,1,3,48,43,9,10,11,31,0,21,31,0,,52,0,8,44,52,0,0,52,51,1
Baranga Bari,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
No.1 Bezpara,0,2,0,2,0,0,0,2,0,1,1,0,0,2,0,0,2,0,,2,0,2,0,2,0,0,2,2,0
Adhamapara,0,3,0,3,0,0,0,1,2,2,1,0,0,3,0,0,3,0,,3,0,3,0,3,0,0,3,1,2
Upahupara,3,39,0,9,30,3,0,6,36,25,17,4,7,31,0,17,25,0,,42,0,40,2,42,0,0,42,42,0
Maz Chuburi,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Daha Chuburi,165,140,4,309,0,0,261,7,41,309,0,222,75,12,0,157,152,0,,309,0,301,8,307,2,45,264,309,0
Choto Nagaon,172,2,0,174,0,0,169,0,5,174,0,172,2,0,0,94,80,0,,174,0,174,0,174,0,14,160,37,137
Daria Para,90,79,1,167,2,1,144,23,3,170,0,116,52,2,0,15,155,0,,170,0,123,47,122,48,28,142,169,1
Gadhiapara,209,1,0,210,0,0,200,8,2,210,0,209,1,0,0,63,147,0,,210,0,210,0,210,0,35,175,210,0
Choto Athiabari,104,0,0,104,0,0,5,95,4,104,0,104,0,0,0,70,34,0,,104,0,104,0,104,0,104,0,103,1
Dekargaon,122,0,0,122,0,0,122,0,0,122,0,122,0,0,0,78,44,0,,122,0,92,30,80,42,29,93,119,3
