village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Fetangapara,68,2,0,44,26,0,0,21,49,70,0,70,0,0,0,6,64,0,,70,0,62,8,70,0,0,70,70,0
Damribhasa,61,37,0,19,5,74,8,78,12,56,42,63,11,24,0,91,7,0,,98,0,88,10,98,0,0,98,98,0
Basmura,15,177,0,63,53,76,10,73,109,185,7,20,57,115,0,83,109,0,,192,0,179,13,192,0,7,185,192,0
Holdibari No.1,17,47,0,26,30,8,8,43,13,63,1,38,26,0,0,20,44,0,,64,0,23,41,64,0,0,64,64,0
Gosaidubi Hindupara,15,80,0,43,41,11,8,68,19,93,2,47,48,0,0,36,59,0,,95,0,1,94,95,0,0,95,95,0
Kesarapara,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
Tarangapur,26,132,0,75,72,11,15,104,39,154,4,75,83,0,0,68,90,0,,158,0,151,7,158,0,0,158,158,0
Holdibari Pt-II,4,30,0,15,17,2,3,22,9,30,4,12,22,0,0,15,19,0,,34,0,28,6,34,0,0,34,34,0
Bausatari,42,147,0,97,51,41,3,44,142,183,6,57,84,48,0,147,42,0,,189,0,173,16,189,0,2,187,189,0
Bhimkhaj,7,33,0,15,20,5,5,27,8,39,1,21,19,0,0,19,21,0,,40,0,4,36,40,0,0,40,40,0
Ghugudoba,57,153,0,38,80,92,6,63,141,202,8,96,56,58,0,102,108,0,,210,0,97,113,210,0,12,198,210,0
Jaleswar Bill,121,70,0,36,104,51,11,133,47,180,11,131,15,45,0,186,5,0,,191,0,153,38,191,0,0,191,188,3
Gosaidubi Muslimpara,12,26,0,17,19,2,2,30,6,38,0,21,17,0,0,14,24,0,,38,0,5,33,38,0,0,38,38,0
Takimari Reserve,8,28,0,20,14,2,2,26,8,36,0,20,16,0,0,16,20,0,,36,0,13,23,36,0,0,36,36,0
Bannyguri,9,175,0,72,80,32,4,72,108,181,3,24,41,119,0,94,90,0,,184,0,150,34,184,0,5,179,184,0
Bamunervita,11,26,0,7,24,6,5,29,3,31,6,15,4,18,0,33,4,0,,37,0,34,3,37,0,0,37,37,0
Takimari,49,152,0,104,81,16,15,137,49,198,3,100,99,2,0,93,108,0,,201,0,83,118,201,0,0,201,201,0
Kharuvas,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Superivita,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Chilarvita,21,167,0,18,61,109,1,46,141,100,88,27,95,66,0,147,41,0,,188,0,175,13,188,0,187,1,176,12
Chulkani,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Bandormatha,25,110,0,25,38,72,0,7,128,135,0,45,37,53,0,55,80,0,,135,0,130,5,135,0,0,135,135,0
Hosdoba,13,126,0,111,18,10,2,32,105,139,0,20,97,22,0,38,101,0,,139,0,129,10,139,0,2,137,139,0
Hostani,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Katarihara,7,76,0,64,12,7,1,38,44,83,0,11,13,59,0,7,76,0,,83,0,80,3,83,0,1,82,83,0
Barotang Vita,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Hatimura,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Kathuri,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Badbadia,8,118,0,57,45,24,2,95,29,126,0,11,10,105,0,52,74,0,,126,0,115,11,126,0,0,126,126,0
Baurartal,1,97,0,77,19,2,0,43,55,97,1,2,3,93,0,53,45,0,,98,0,94,4,98,0,3,95,98,0
Batabari,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Simlabari,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Panikamritari,0,4,0,1,3,0,0,2,2,4,0,0,0,4,0,0,4,0,,4,0,4,0,4,0,0,4,4,0
Dhobakura,47,35,0,49,26,7,13,53,16,81,1,48,11,23,0,29,53,0,,82,0,79,3,82,0,4,78,75,7
