village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dolamara,7,191,0,22,84,92,7,171,20,195,3,13,33,152,0,18,180,0,,198,0,184,14,198,0,0,198,179,19
Kania Kro,24,237,0,63,92,106,15,180,66,259,2,73,96,92,0,21,240,0,,261,0,224,37,248,13,0,261,250,11
Kania Bey,20,313,0,76,138,119,11,271,51,327,6,77,118,138,0,53,280,0,,333,0,298,35,333,0,0,333,311,22
Sar Teron,13,217,0,26,69,135,0,195,35,199,31,21,60,149,0,10,220,0,,230,0,148,82,230,0,0,230,221,9
Hem Engti,15,220,0,7,70,158,5,210,20,235,0,27,55,153,0,40,195,0,,235,0,91,144,235,0,0,235,219,16
Parkup Pahar No.2,273,7,0,266,13,1,2,271,7,280,0,274,6,0,0,158,122,0,,279,1,279,1,280,0,0,280,280,0
Balijuri,8,310,0,75,177,66,55,225,38,316,2,33,68,217,0,93,225,0,,318,0,58,260,318,0,0,318,310,8
Diring Lekthe,24,291,0,75,172,68,3,232,80,314,1,46,72,197,0,8,307,0,,315,0,284,31,315,0,0,315,292,23
Haitha Tokbi,23,227,0,84,125,41,5,208,37,250,0,71,84,95,0,34,216,0,,250,0,206,44,247,3,0,250,237,13
Bamon Bey,16,230,0,114,68,64,10,213,23,245,1,46,76,124,0,17,229,0,,246,0,218,28,246,0,0,246,232,14
Thedong,0,4,0,0,4,0,0,2,2,4,0,1,3,0,0,0,4,0,,4,0,4,0,4,0,0,4,4,0
Parkup Pahar No.1,3,9,0,7,3,2,0,9,3,12,0,3,9,0,0,3,9,0,,12,0,10,2,12,0,0,12,11,1
Kania Pungi (Khasia Punji),179,118,15,128,127,57,34,213,65,271,41,203,42,67,0,153,159,2,,312,0,229,83,270,42,0,312,312,0
Basa Teplong gaon,166,96,16,122,109,47,29,181,68,241,37,186,33,59,0,118,160,2,,278,0,201,77,240,38,0,278,273,5
Chandra Athai gaon,9,7,0,4,8,4,1,11,4,10,6,12,1,3,0,11,5,0,,16,0,13,3,16,0,0,16,16,0
Khorsim Athai,169,123,25,128,112,77,28,210,79,274,43,192,50,75,0,143,174,0,,317,0,229,88,280,37,0,317,312,5
Chipip Langso,153,94,13,107,94,59,18,185,57,235,25,172,31,57,0,117,143,0,,260,0,190,70,227,33,0,260,257,3
Bapuram Tokbi,180,111,19,115,127,68,27,213,70,263,47,203,38,69,0,145,165,1,,310,0,227,83,278,32,0,310,306,4
Longki Teron,14,0,0,14,0,0,0,0,14,14,0,14,0,0,0,14,0,0,,14,0,13,1,14,0,0,14,12,2
Lang Batung (Garo Bosti),0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
