village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Niz-Bihaguri Gaon,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Maila Gaon,312,114,14,218,156,66,34,283,123,387,53,339,42,59,0,283,157,440,0,402,38,440,0,51,389,429,11
Barua Doloni,96,95,0,167,18,6,8,116,67,152,39,109,32,50,0,181,10,191,0,164,27,191,0,0,191,177,14
Arimara Pathar,141,113,2,224,20,12,76,148,32,243,13,151,26,79,0,229,27,256,0,229,27,256,0,0,256,239,17
Bara Kota Chapari,135,249,2,274,84,28,77,242,67,257,129,167,76,143,0,355,31,386,0,356,30,386,0,0,386,353,33
Arimara Pam,246,229,13,305,139,44,59,323,106,384,104,271,53,164,0,352,136,488,0,460,28,488,0,0,488,469,19
Bapu Bheti Gaon,450,617,5,664,245,163,71,663,338,861,211,502,169,401,0,982,90,1072,0,745,327,1034,38,1,1071,1019,53
Siparia Batabari Gaon,241,98,1,184,107,49,5,140,195,288,52,267,39,34,0,324,16,340,0,322,18,340,0,96,244,306,34
Kalabil No.1,378,600,3,810,141,30,223,570,188,649,332,434,179,368,0,932,49,981,0,741,240,980,1,0,981,908,73
Pitha Khowa Gaon,333,341,4,537,109,32,101,271,306,454,224,402,132,144,0,617,61,678,0,615,63,678,0,165,513,652,26
Likhak Gaon,60,7,0,61,6,0,0,5,62,67,0,64,1,2,0,67,0,67,0,40,27,67,0,66,1,58,9
Gerua Gaon,94,39,0,127,5,1,10,99,24,125,8,99,11,23,0,127,6,133,0,121,12,133,0,0,133,126,7
Barua Doloni,53,60,1,95,17,2,8,72,34,92,22,59,21,34,0,104,10,114,0,82,32,114,0,0,114,107,7
Kalita Gaon,349,114,6,206,178,85,56,280,133,411,58,380,47,42,0,309,160,469,0,437,32,469,0,0,469,461,8
Bagapani Gaon,74,24,5,41,39,23,10,74,19,91,12,82,9,12,0,54,49,103,0,97,6,103,0,0,103,101,2
Guli Pam,48,23,1,60,12,0,6,58,8,30,42,52,12,8,0,65,7,72,0,67,5,72,0,0,72,69,3
Silikha Bari Gaon,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Balisiha Kachari,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
Borakata Pathar,1,1,0,2,0,0,0,1,1,2,0,2,0,0,0,1,1,2,0,2,0,2,0,0,2,2,0
Amaguri Chapari,99,146,1,126,90,30,1,31,214,240,6,134,64,48,0,236,10,246,0,144,102,232,14,68,178,227,19
Puthimari Gaon,13,38,0,17,19,15,0,9,42,51,0,20,11,20,0,36,15,51,0,17,34,44,7,0,51,47,4
Barpukhuri Gaon,27,95,0,36,49,37,0,8,114,119,3,49,37,36,0,116,6,122,0,48,74,106,16,27,95,89,33
Bali Gaon,48,47,0,22,40,33,1,28,66,83,12,59,23,13,0,90,5,95,0,35,60,86,9,0,95,90,5
No.3 Ghogora T.E.,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Bandar Mari,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0
Puthimari (P.G.R),3,26,0,13,14,2,0,8,21,29,0,5,7,17,0,29,0,29,0,9,20,27,2,0,29,28,1
Dhekeri Gaon,12,1,0,9,4,0,0,0,13,13,0,13,0,0,0,13,0,13,0,12,1,13,0,7,6,13,0
Chinga Chuburi Gaon,23,4,1,20,8,0,0,1,27,28,0,24,1,3,0,28,0,28,0,15,13,28,0,0,28,26,2
