village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sibapur Gaon F.V.,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0
Baligaon Bangali,9,4,1,10,3,1,0,9,5,11,3,9,2,3,0,13,1,14,0,12,2,14,0,1,13,12,2
Bali Pukhuri,79,50,2,101,18,12,22,86,23,124,7,84,11,36,0,110,21,131,0,121,10,129,2,0,131,114,17
Arabari Gaon,141,66,4,174,28,9,45,146,20,188,23,151,16,44,0,183,28,211,0,193,18,211,0,0,211,208,3
Amtal Bali Gaon,57,83,1,112,22,7,20,84,37,79,62,66,24,51,0,118,23,141,0,134,7,141,0,0,141,137,4
Akabil Gaon,24,44,1,54,13,2,5,40,24,49,20,26,15,28,0,60,9,69,0,67,2,69,0,0,69,65,4
Bandarhagi Gaon,15,62,2,68,8,3,13,48,18,42,37,19,21,39,0,75,4,79,0,68,11,79,0,0,79,74,5
Batachi Pur,789,715,30,807,493,234,109,1028,397,1265,269,862,213,459,0,1098,436,1534,0,1317,217,1534,0,0,1534,1472,62
Meghai Jarani Gaon,19,43,1,40,20,3,1,28,34,17,46,24,5,34,0,60,3,63,0,58,5,63,0,0,63,54,9
Meghaiati Gaon,16,23,0,26,11,2,3,26,10,27,12,20,4,15,0,38,1,39,0,37,2,39,0,0,39,28,11
Gerujuli Gaon,42,52,2,74,21,1,0,59,37,61,35,46,19,31,0,88,8,96,0,92,4,96,0,0,96,89,7
Siyalmari Gaon,32,74,0,100,5,1,10,70,26,106,0,39,12,55,0,92,14,106,0,99,7,106,0,0,106,80,26
Panbari Gaon,86,48,1,105,22,8,25,88,22,106,29,88,19,28,0,116,19,135,0,95,40,135,0,0,135,125,10
Dhekiajuli Gaon,244,248,2,422,56,16,43,248,203,410,84,261,82,151,0,454,40,494,0,335,159,494,0,0,494,461,33
