village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rampur Chauram,0,16,1,17,0,0,5,12,0,17,0,11,5,1,0,5,12,1,,17,0,17,0,17,0,0,17,17,0
Dhoraha,0,17,0,17,0,0,0,17,0,17,0,2,15,0,0,2,15,1,,17,0,17,0,17,0,1,16,17,0
Ranapur,0,17,0,17,0,0,0,6,11,8,9,2,15,0,0,17,0,1,,17,0,1,16,17,0,0,17,17,0
Hasanpur Pipra,0,10,8,18,0,0,0,18,0,18,0,1,14,3,0,18,0,0,,18,0,4,14,18,0,6,12,18,0
Bazidpur,0,17,0,0,17,0,0,17,0,16,1,11,6,0,0,0,17,0,,17,0,11,6,17,0,3,14,17,0
Haibatpur,0,16,1,17,0,0,10,7,0,17,0,0,17,0,0,6,11,9,,17,0,9,8,17,0,8,9,17,0
Sonbarsa Makbulpur Alauddin,0,14,4,18,0,0,1,11,6,18,0,2,14,2,0,2,16,0,,18,0,16,2,18,0,6,12,18,0
Parasi,0,5,13,2,6,10,0,18,0,0,18,1,8,9,0,0,18,0,,18,0,17,1,18,0,6,12,18,0
Chakia,0,0,18,1,10,7,0,18,0,0,18,0,0,18,0,0,18,0,,18,0,18,0,18,0,0,18,18,0
Bania Bigha,0,0,18,0,5,13,0,16,2,18,0,0,2,16,0,0,18,0,,18,0,1,17,18,0,0,18,18,0
Itawa,0,14,3,17,0,0,12,5,0,17,0,4,13,0,0,14,3,11,,17,0,13,4,17,0,8,9,17,0
Goura,0,17,0,17,0,0,3,14,0,17,0,1,16,0,0,9,8,0,,17,0,17,0,17,0,10,7,17,0
Sonbarsa,0,11,22,33,0,0,4,27,2,32,1,9,2,22,0,11,22,3,,33,0,11,22,33,0,15,18,33,0
Kansupur,0,16,2,18,0,0,0,15,3,17,1,0,17,1,0,18,0,0,,18,0,12,6,18,0,4,14,18,0
Piare Chak,0,18,0,8,10,0,0,18,0,17,1,1,17,0,0,2,16,0,,18,0,8,10,18,0,4,14,18,0
Darwesh pura,0,16,0,15,1,0,0,16,0,14,2,4,12,0,0,5,11,6,,16,0,15,1,16,0,2,14,16,0
Sarauti,0,17,0,17,0,0,0,17,0,17,0,9,8,0,0,14,3,0,,17,0,3,14,17,0,1,16,17,0
Satpura,0,9,8,17,0,0,1,14,2,17,0,0,12,5,0,0,17,0,,17,0,7,10,17,0,3,14,17,0
Sakri,0,9,7,16,0,0,5,11,0,16,0,3,8,5,0,11,6,0,,16,0,14,2,16,0,1,15,16,0
Pipra Bangla,0,11,8,19,0,0,5,13,1,19,0,3,11,5,0,14,5,1,,19,0,15,4,19,0,9,10,19,0
Aslampur Dullah,0,17,0,17,0,0,0,17,0,16,1,15,2,0,0,5,12,0,,17,0,7,10,17,0,6,11,17,0
Bhadasi,0,16,4,16,3,1,11,8,1,17,3,6,13,1,0,0,20,8,,19,1,7,13,20,0,16,4,18,2
Jalpura,0,15,1,11,5,0,3,13,0,10,6,1,14,1,0,0,16,0,,16,0,14,2,16,0,1,15,16,0
Bara,0,0,17,17,0,0,1,15,1,14,3,0,0,17,0,0,17,1,,17,0,0,17,17,0,0,17,17,0
Koriam,0,1,17,15,3,0,2,15,1,17,1,0,1,17,0,0,18,0,,18,0,1,17,18,0,0,18,18,0
Sumera,0,18,1,13,4,2,2,17,0,4,15,0,18,1,0,0,19,0,,18,1,16,3,19,0,0,19,19,0
Abgila,1,21,15,36,1,0,26,9,2,33,4,11,19,7,0,0,37,0,,37,0,35,2,36,1,22,15,37,0
Madan Singhka Bigha,0,14,3,17,0,0,1,16,0,16,1,9,7,1,0,0,17,0,,17,0,12,5,17,0,8,9,17,0
Fakharpur,0,11,7,18,0,0,12,6,0,17,1,7,4,7,0,0,18,2,,18,0,18,0,17,1,2,16,18,0
Sarwan,0,17,0,16,1,0,0,17,0,8,9,1,16,0,0,3,14,2,,17,0,12,5,17,0,3,14,17,0
MohammadpurGahna,0,1,17,2,15,1,0,12,6,18,0,0,2,16,0,0,18,0,,18,0,6,12,18,0,0,18,18,0
Bichlagawan,0,16,1,12,3,2,0,16,1,5,12,0,17,0,0,0,17,0,,17,0,12,5,17,0,0,17,17,0
Amra,0,7,11,18,0,0,4,14,0,18,0,0,18,0,0,0,18,0,,18,0,9,9,18,0,11,7,18,0
Bhermpur Khapura,0,2,16,16,2,0,1,15,2,17,1,1,2,15,0,0,18,0,,18,0,10,8,18,0,5,13,16,1
Dangra Ahar,0,17,0,11,6,0,0,17,0,17,0,5,12,0,0,0,17,0,,17,0,10,7,17,0,3,14,17,0
Gaddopur,0,1,17,10,7,1,1,17,0,10,8,0,1,17,1,0,17,1,,17,1,2,16,18,0,1,17,18,0
Bhusura,0,8,10,18,0,0,7,11,0,12,6,4,10,4,0,3,15,1,,16,0,16,0,16,0,0,18,16,0
Pheku Bigha,0,14,4,7,8,3,0,7,11,9,9,0,18,0,0,3,15,0,,18,0,2,16,18,0,15,3,18,0
Madanpur Dhawa,0,16,2,16,1,1,0,16,2,16,2,0,18,0,0,0,18,0,,18,0,4,14,18,0,0,18,18,0
Saifabad,0,14,3,12,5,0,4,12,1,1,16,0,17,0,0,1,16,0,,17,0,13,4,17,0,0,17,17,0
Rampur,0,12,8,20,0,0,1,19,0,19,1,7,6,7,0,2,18,0,,20,0,15,5,20,0,0,20,19,1
Konika,0,11,5,16,0,0,7,9,0,16,0,2,12,2,0,0,17,4,,16,0,11,5,16,0,0,16,16,0
Yakubpur,0,15,2,16,0,1,0,17,0,0,17,0,5,12,0,8,9,0,,17,0,16,1,17,0,0,17,17,0
Nasirpur Sarwar,0,17,0,16,0,1,2,14,1,1,16,0,16,1,0,13,5,0,,17,0,17,0,17,0,0,17,17,0
Harna,0,13,4,16,1,0,2,15,0,0,17,0,4,13,0,2,15,0,,17,0,17,0,17,0,0,17,17,0
Khamhaini,0,16,1,17,0,0,4,13,0,1,16,0,14,3,0,11,6,0,,17,0,16,1,17,0,0,17,17,0
Bahadurpur,0,15,2,17,0,0,0,12,5,7,10,0,2,15,0,0,17,2,,17,0,12,5,17,0,0,17,17,0
Rampur waina,0,16,0,16,0,0,0,13,3,11,5,0,12,4,0,0,16,2,,16,0,8,8,16,0,0,16,16,0
Fatehpur Saurha,0,14,3,17,0,0,0,12,5,9,8,0,5,12,0,0,17,0,,17,0,8,9,17,0,0,17,17,0
Chiraia Tanr,0,8,7,13,1,1,1,14,0,13,2,6,3,6,0,2,13,0,,15,0,13,2,15,0,0,15,15,0
Saidpur,0,8,9,16,1,0,0,9,8,9,8,0,6,11,0,0,17,4,,17,0,10,7,17,0,0,17,17,0
Makbulpur Raja,0,11,3,2,10,2,0,14,0,11,3,5,8,1,0,6,8,0,,14,0,11,3,14,0,0,14,14,0
