village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Riur,0,5,2,4,3,0,1,5,1,3,4,0,2,5,0,0,7,0,,7,0,4,3,7,0,4,3,7,0
Basdiha,0,4,2,3,3,0,0,6,0,3,3,1,1,4,0,0,6,0,,6,0,6,0,6,0,3,3,6,0
Shohda Keshopur,0,4,3,2,5,0,1,6,0,4,3,1,1,5,0,0,7,0,,7,0,6,1,7,0,5,2,7,0
Chandauli,0,5,1,4,2,0,3,3,0,4,2,0,1,5,0,0,6,0,,6,0,3,3,6,0,1,5,6,0
Narchahi,0,5,1,3,3,0,0,6,0,5,1,0,1,5,0,0,6,0,,6,0,5,1,6,0,2,4,6,0
Pirtampur,0,6,0,5,1,0,2,4,0,6,0,1,2,3,0,0,6,0,,6,0,2,4,6,0,1,5,6,0
Rendia,0,4,1,3,2,0,1,4,0,3,2,0,2,3,0,0,5,0,,5,0,2,3,5,0,3,2,5,0
Bankat,0,4,0,2,2,0,0,4,0,2,2,0,3,1,0,0,4,0,,4,0,4,0,4,0,2,2,4,0
Ramdiha,0,4,2,3,3,0,2,4,0,4,2,1,3,2,0,0,6,0,,6,0,4,2,6,0,5,1,6,0
Tenua,0,2,1,2,1,0,0,3,0,2,1,0,1,2,0,0,3,0,,3,0,2,1,3,0,1,2,3,0
Tendua,0,13,4,11,6,0,7,10,0,10,7,1,11,5,0,0,17,0,,16,1,12,5,17,0,15,2,17,0
Kusdehra,0,4,1,4,1,0,2,3,0,4,1,0,1,4,0,0,5,0,,5,0,2,3,5,0,1,4,5,0
Khatira,0,4,2,4,2,0,2,4,0,2,4,0,0,6,0,0,6,0,,6,0,5,1,6,0,3,3,6,0
Mallu Khaira,0,4,1,3,2,0,0,5,0,2,3,0,3,2,0,0,5,0,,5,0,3,2,5,0,2,3,5,0
Basat pur,0,3,2,3,2,0,1,4,0,3,2,0,1,4,0,0,5,0,,5,0,3,2,5,0,3,2,5,0
Nawada,1,3,1,4,1,0,0,4,1,1,4,0,2,3,0,0,5,0,,5,0,3,2,5,0,2,3,5,0
Malpur,0,3,2,5,0,0,1,4,0,4,1,1,2,2,0,0,5,0,,5,0,5,0,5,0,3,2,5,0
Thekahi,0,3,2,2,3,0,1,4,0,3,2,0,0,5,0,0,5,0,,5,0,4,1,5,0,2,3,5,0
Santhua,0,2,3,3,2,0,1,4,0,2,3,0,0,5,0,0,5,0,,5,0,3,2,5,0,3,2,5,0
Bulli Bigaha,0,4,1,2,3,0,0,5,0,4,1,0,3,2,0,0,5,0,,5,0,5,0,5,0,3,2,5,0
Jankop,0,3,2,4,1,0,0,4,1,4,1,0,1,4,0,0,5,0,,5,0,3,2,5,0,2,3,5,0
Urdina,0,3,2,4,0,1,2,3,0,3,2,0,1,4,0,0,5,0,,5,0,2,3,5,0,2,3,5,0
Nadiain,0,2,3,4,1,0,0,5,0,4,1,0,1,4,0,0,5,0,,5,0,2,3,5,0,2,3,5,0
Karmadal,0,5,0,3,2,0,0,5,0,3,2,0,2,3,0,0,5,0,,4,1,2,3,5,0,2,3,5,0
Inguna,0,4,1,4,1,0,0,5,0,3,2,0,1,4,0,0,5,0,,5,0,2,3,5,0,3,2,5,0
Seno Khap,0,4,1,3,2,0,0,5,0,2,3,0,2,3,0,0,5,0,,5,0,4,1,5,0,3,2,5,0
Habaspur,0,4,1,2,1,2,1,2,2,3,2,0,4,1,0,0,5,0,,5,0,0,5,5,0,1,4,5,0
Pokhrahi,0,1,4,4,0,1,0,5,0,5,0,1,1,3,0,0,5,0,,5,0,2,3,5,0,0,5,5,0
Kuanrpokhar,0,3,2,3,1,1,3,2,0,3,2,0,1,4,0,0,5,0,,5,0,2,3,5,0,3,2,5,0
Kusa,0,4,2,1,5,0,2,4,0,4,2,1,2,3,0,0,6,0,,6,0,4,2,6,0,2,4,6,0
Tengri,0,4,1,3,2,0,1,4,0,4,1,0,2,3,0,0,5,0,,5,0,2,3,5,0,3,2,5,0
Nakain,0,5,0,4,1,0,0,5,0,2,3,0,3,2,0,0,5,0,,5,0,5,0,5,0,2,3,5,0
Parsa,0,5,0,3,2,0,0,5,0,3,2,1,3,1,0,0,5,0,,5,0,2,3,5,0,3,2,5,0
Karea,0,2,0,2,0,0,0,2,0,2,0,1,1,0,0,0,2,0,,2,0,1,1,2,0,1,1,2,0
Bhupatpur,0,6,0,5,1,0,2,4,0,4,2,0,5,1,0,0,6,0,,6,0,6,0,6,0,4,2,6,0
Hetampur,0,7,1,5,2,1,3,5,0,6,2,2,5,1,0,0,8,0,,8,0,5,3,8,0,7,1,8,0
Siris,0,7,0,3,4,0,0,7,0,2,5,0,7,0,0,0,7,0,,7,0,7,0,7,0,4,3,7,0
Bindauliya,0,4,1,2,2,1,2,3,0,4,1,1,1,3,0,0,5,0,,5,0,3,2,5,0,5,0,5,0
Khaira,0,20,2,13,9,0,2,20,0,10,12,4,11,7,0,0,22,0,,22,0,19,3,22,0,21,1,22,0
Bardih Kalan,0,4,2,5,1,0,2,4,0,3,3,0,3,3,0,0,6,0,,6,0,6,0,6,0,5,1,6,0
Bardih Khurd,0,4,1,3,1,1,2,3,0,3,2,1,2,2,0,0,5,0,,5,0,5,0,5,0,5,0,5,0
Sinduriya,0,4,1,4,1,0,3,2,0,3,2,2,2,1,0,0,5,0,,5,0,3,2,5,0,5,0,5,0
Deurhi,0,4,2,3,2,1,1,5,0,3,3,1,1,4,0,0,6,0,,6,0,5,1,6,0,6,0,6,0
Maddupur,0,3,2,3,2,0,2,3,0,2,3,0,1,4,0,0,5,0,,5,0,2,3,5,0,5,0,5,0
Banauli,0,5,0,3,2,0,1,4,0,2,3,1,3,1,0,0,5,0,,5,0,3,2,5,0,3,2,5,0
Jogiya,0,5,0,4,1,0,1,4,0,1,4,0,4,1,0,0,5,0,,5,0,2,3,5,0,5,0,5,0
