village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Narayanpur,0,0,10,10,0,0,3,7,0,10,0,1,7,2,0,0,10,0,,10,0,4,6,10,0,8,2,10,0
Matihani,0,0,20,20,0,0,2,18,0,14,6,1,15,4,0,0,20,0,,20,0,6,14,20,0,19,1,20,0
Fatehpur,0,0,9,9,0,0,1,7,1,5,4,1,8,0,0,0,9,0,,9,0,6,3,9,0,9,0,9,0
Milki,0,0,10,9,1,0,3,6,1,9,1,1,8,1,0,0,10,0,,10,0,3,7,10,0,10,0,8,2
Kursaha,0,0,5,5,0,0,2,3,0,5,0,1,4,0,0,0,5,0,,5,0,5,0,5,0,4,1,5,0
Daulatpur,0,0,10,10,0,0,5,5,0,9,1,0,8,2,0,0,10,0,,10,0,3,7,10,0,9,1,10,0
Bariarpur,0,0,111,103,7,1,33,77,1,84,27,15,76,20,0,0,111,0,,110,1,88,23,111,0,101,10,106,5
Tetrahi,0,0,21,19,2,0,4,17,0,14,7,2,18,1,0,0,21,0,,21,0,14,7,21,0,18,3,21,0
Malpur,0,0,16,14,2,0,4,12,0,14,2,3,13,0,0,0,16,0,,16,0,14,2,16,0,14,2,16,0
Narullahpur,0,0,11,11,0,0,0,11,0,7,4,0,8,3,0,0,11,0,,11,0,4,7,11,0,9,2,11,0
Mohaddi Chak,0,0,5,5,0,0,1,4,0,5,0,0,4,1,0,0,5,0,,5,0,0,5,5,0,5,0,5,0
Mohanpur,0,0,15,13,2,0,5,10,0,11,4,3,12,0,0,0,15,0,,15,0,4,11,15,0,15,0,15,0
Sagi,0,0,27,23,4,0,12,15,0,22,5,2,22,3,0,0,27,0,,27,0,20,7,27,0,26,1,26,1
Chakyudh,0,0,14,12,2,0,3,11,0,10,4,0,13,1,0,0,14,0,,14,0,7,7,14,0,13,1,14,0
Fafaut,0,0,100,93,7,0,33,67,0,84,16,7,81,12,0,0,100,0,,99,1,52,48,100,0,96,4,100,0
Khodawandpur,0,0,20,16,4,0,3,17,0,14,6,2,15,3,0,0,20,0,,20,0,14,6,20,0,19,1,20,0
Bedaulia,0,0,20,20,0,0,7,13,0,17,3,2,17,1,0,0,20,0,,20,0,3,17,20,0,19,1,20,0
Meghaul,0,0,73,68,5,0,23,50,0,58,15,9,52,12,0,0,73,0,,73,0,42,31,73,0,67,6,73,0
Mirzapur,0,0,9,7,2,0,1,8,0,7,2,2,6,1,0,0,9,0,,9,0,2,7,9,0,8,1,9,0
Begampur,0,0,16,14,2,0,8,8,0,12,4,3,11,2,0,0,16,0,,16,0,4,12,16,0,15,1,16,0
Bara,0,0,21,20,1,0,7,14,0,18,3,2,15,4,0,0,21,0,,21,0,19,2,21,0,19,2,21,0
