village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rampur,0,0,8,8,0,0,1,7,0,3,5,0,2,6,0,0,8,0,,8,0,8,0,8,0,2,6,8,0
Kulmanpur,0,3,6,9,0,0,0,9,0,2,7,0,3,6,0,0,9,0,,9,0,7,2,9,0,4,5,9,0
Shiwapur,0,2,6,8,0,0,1,7,0,2,6,0,4,4,0,0,8,0,,8,0,4,4,8,0,4,4,8,0
Kharagpur,0,5,3,8,0,0,2,6,0,4,4,0,5,3,0,0,8,0,,8,0,5,3,8,0,4,4,8,0
Baijnathpur,0,1,9,10,0,0,1,9,0,3,7,0,1,9,0,0,10,0,,10,0,5,5,10,0,4,6,10,0
Raghunathpur,0,0,7,7,0,0,2,5,0,1,6,0,0,7,0,0,7,0,,7,0,4,3,7,0,2,5,7,0
Dasiyawan,0,0,7,7,0,0,1,6,0,2,5,0,0,7,0,0,7,0,,6,1,6,1,7,0,3,4,7,0
Jairampur,0,1,7,8,0,0,2,6,0,4,4,0,5,3,0,0,8,0,,8,0,4,4,8,0,5,3,8,0
Siddhipur,0,2,6,8,0,0,0,8,0,2,6,0,3,5,0,0,8,0,,8,0,8,0,8,0,6,2,8,0
Kirni,0,0,15,15,0,0,10,5,0,3,12,0,4,11,0,0,15,0,,15,0,9,6,15,0,1,14,15,0
Kesath,0,5,57,60,0,2,9,53,0,13,49,0,10,52,0,1,61,0,,61,1,38,24,62,0,25,37,62,0
Katkinar,0,1,23,24,0,0,5,19,0,1,23,0,6,18,0,0,24,0,,24,0,18,6,24,0,10,14,24,0
Dehra,0,2,15,17,0,0,3,14,0,5,12,0,4,13,0,0,17,0,,17,0,9,8,17,0,1,16,17,0
Degauli,0,0,15,15,0,0,2,13,0,5,10,0,3,12,0,0,15,0,,15,0,12,3,15,0,1,14,15,0
Kharauniya,0,0,8,8,0,0,4,4,0,0,8,0,0,8,0,0,8,0,,8,0,5,3,8,0,4,4,8,0
