village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nadhiami,0,21,23,36,8,0,2,40,2,43,1,0,42,2,0,0,44,1,,44,0,43,1,44,0,23,21,44,0
Pachahi Machhaita,0,2,4,5,1,0,0,6,0,5,1,0,5,1,0,0,6,0,,6,0,6,0,6,0,6,0,6,0
Kurson,0,2,11,13,0,0,0,12,1,10,3,0,11,2,0,0,13,0,,13,0,13,0,13,0,12,1,13,0
Machhaita,0,8,26,32,2,0,2,31,1,22,12,0,20,14,0,0,34,0,,34,0,34,0,34,0,31,3,34,0
Bisuhat,0,7,15,18,4,0,5,16,1,16,6,0,17,5,0,0,22,0,,22,0,22,0,22,0,22,0,22,0
Kathra,0,17,26,30,13,0,20,23,0,24,19,0,34,9,0,0,43,0,,43,0,43,0,43,0,43,0,43,0
Tangha,0,11,10,20,1,0,17,4,0,12,9,1,16,4,0,0,21,0,,21,0,21,0,21,0,21,0,21,0
Mahthor,0,17,10,22,5,0,1,25,1,27,0,1,21,5,0,0,27,0,,27,0,27,0,27,0,26,1,27,0
Patai,0,14,14,23,5,0,3,25,0,18,10,0,23,5,0,0,28,0,,28,0,28,0,28,0,27,1,28,0
Deona,0,15,16,20,11,0,20,11,0,8,23,0,25,6,0,0,31,0,,31,0,31,0,31,0,30,1,31,0
Baika,0,10,10,16,4,0,1,19,0,12,8,0,18,2,0,1,19,0,,20,0,20,0,20,0,19,1,20,0
Dadpatti,0,4,7,11,0,0,3,8,0,7,4,0,8,3,0,0,11,0,,11,0,11,0,11,0,11,0,11,0
Gauspur,0,3,4,5,2,0,5,2,0,7,0,0,6,1,0,0,7,0,,7,0,7,0,7,0,6,1,7,0
Awam,0,11,31,22,20,0,6,36,0,26,16,0,29,13,0,0,42,0,,41,1,42,0,42,0,42,0,42,0
Tardi,0,5,11,10,6,0,8,8,0,9,7,0,10,6,0,0,16,0,,16,0,16,0,16,0,14,2,16,0
Phakirna,0,2,5,4,3,0,5,2,0,6,1,0,6,1,0,0,7,0,,7,0,7,0,7,0,7,0,7,0
Chakka,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Raja Kharwar,0,3,13,13,3,0,0,16,0,7,9,0,14,2,0,0,16,0,,16,0,16,0,16,0,16,0,16,0
Pokhar Bhinda,0,5,13,13,5,0,5,13,0,9,9,0,11,7,0,0,18,0,,18,0,18,0,18,0,18,0,18,0
Sakatraipur,0,4,6,5,5,0,1,9,0,6,4,0,8,2,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Sherpur,0,4,13,14,3,0,4,13,0,7,10,0,12,5,0,0,17,0,,17,0,17,0,17,0,17,0,17,0
Sotharia,0,2,5,7,0,0,0,7,0,2,5,0,4,3,0,0,7,0,,7,0,7,0,7,0,7,0,7,0
Sirampur,0,4,7,5,6,0,1,10,0,8,3,0,10,1,0,1,10,0,,11,0,11,0,11,0,11,0,11,0
Mahia,0,7,26,30,3,0,0,33,0,10,23,0,28,5,0,0,33,0,,33,0,33,0,33,0,31,2,33,0
Naraenpur,0,8,6,10,4,0,2,12,0,5,9,0,14,0,0,0,14,0,,14,0,14,0,14,0,11,3,14,0
Lagma Rambhadar,0,15,32,33,14,0,0,47,0,29,18,0,36,11,0,0,47,0,,47,0,46,1,47,0,47,0,47,0
Kokraha,0,13,12,20,5,0,0,24,1,15,10,0,20,5,0,0,25,0,,25,0,25,0,25,0,25,0,25,0
Kowari,0,3,2,2,3,0,0,4,1,5,0,0,5,0,0,0,5,0,,5,0,5,0,5,0,4,1,5,0
Kaithwar,0,19,32,50,1,0,6,45,0,28,23,0,39,12,0,0,51,0,,50,1,51,0,51,0,48,3,51,0
Dhankaul,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Dhanirampur,0,0,2,2,0,0,0,2,0,2,0,0,0,2,0,0,2,0,,2,0,2,0,2,0,2,0,2,0
Ejrahta,0,13,35,30,17,1,10,38,0,15,33,0,36,12,0,0,48,0,,48,0,48,0,48,0,46,2,48,0
Bishunpur,0,3,10,13,0,0,0,13,0,9,4,0,10,3,0,0,13,0,,13,0,13,0,13,0,13,0,12,1
Bathay,0,5,7,10,2,0,2,9,1,7,5,0,9,3,0,0,12,0,,12,0,12,0,12,0,11,1,12,0
Barhmotar,0,2,6,6,2,0,0,8,0,4,4,0,5,3,0,0,8,0,,8,0,8,0,8,0,8,0,8,0
Batha,0,9,12,21,0,0,0,21,0,13,8,0,16,5,0,0,21,0,,21,0,21,0,21,0,21,0,21,0
