village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Parawan,0,12,0,11,0,1,0,12,0,9,3,5,7,0,0,0,12,0,,12,0,8,4,12,0,0,12,11,1
Makhdumpur,0,10,1,11,0,0,0,11,0,9,2,4,7,0,0,0,11,0,,11,0,5,6,11,0,1,10,11,0
Faridpura,0,8,2,10,0,0,0,10,0,8,2,2,7,1,0,0,11,0,,10,0,8,2,9,1,0,10,10,0
Sonwan,0,7,2,9,0,0,1,8,0,7,2,0,9,0,0,0,9,0,,9,0,9,0,9,0,7,2,7,2
Karwa,0,11,0,11,0,0,1,10,0,8,3,4,7,0,0,0,11,0,,10,1,10,1,11,0,0,11,11,0
Nagwan,0,7,1,7,1,0,0,8,0,7,1,4,4,0,0,0,11,0,,8,0,4,4,8,0,0,8,8,0
Madhopur,0,9,2,10,1,0,2,8,1,8,3,5,5,1,0,1,10,0,,10,1,5,6,10,1,3,8,10,1
Dariapur,0,11,1,12,0,0,0,12,0,10,2,7,4,1,0,0,12,0,,12,0,10,2,10,2,5,7,12,0
Lodipur,0,10,0,10,0,0,2,8,0,7,3,5,5,0,0,0,11,0,,7,3,9,1,10,0,6,4,10,0
Shaho Bigha,0,9,2,10,1,0,1,10,0,8,3,4,6,1,0,0,11,0,,11,0,10,1,11,0,1,10,11,0
Dhuriari,0,8,1,8,0,0,0,7,2,5,4,3,6,0,0,0,10,0,,8,1,5,4,8,1,3,6,6,3
Ahiasa,0,13,0,5,8,0,2,11,0,11,2,4,6,3,0,0,13,0,,13,0,12,1,13,0,2,11,12,1
Bazidpur,1,11,0,8,4,0,2,10,0,12,0,5,7,0,0,0,12,0,,12,0,12,0,12,0,1,11,12,0
Dhorhari,1,13,0,7,7,0,4,10,0,14,0,3,11,0,0,0,14,0,,14,0,13,1,14,0,1,13,14,0
Mohiuddinpur,0,12,0,11,1,0,0,11,1,11,1,3,7,2,0,0,12,0,,11,1,11,1,12,0,2,10,12,0
Gorsar,0,10,1,5,6,0,0,11,0,10,1,4,4,3,0,0,11,0,,11,0,11,0,11,0,0,11,11,0
Atiawan,3,12,1,11,5,0,3,12,1,14,2,9,7,0,0,0,16,0,,16,0,15,1,15,1,3,13,16,0
Bharthu,1,12,0,9,4,0,5,8,0,13,0,7,6,0,0,0,13,0,,13,0,12,1,13,0,2,11,13,0
Metara,3,14,0,11,6,0,1,16,0,15,2,9,8,0,0,0,17,0,,17,0,15,2,17,0,1,16,17,0
Nandna,0,11,0,7,4,0,3,8,0,11,0,3,8,0,0,0,11,0,,11,0,11,0,11,0,0,11,11,0
Nawada,2,9,1,8,4,0,2,10,0,12,0,6,4,2,0,0,12,0,,12,0,12,0,10,2,0,12,12,0
Shekhpura,1,11,0,6,6,0,3,8,1,11,1,6,6,0,0,0,12,0,,11,1,12,0,11,1,2,10,12,0
Siripur,2,10,0,8,4,0,5,7,0,12,0,6,6,0,0,0,12,0,,12,0,11,1,12,0,1,11,12,0
Sahpur Milik,3,8,0,6,5,0,1,10,0,9,2,5,6,0,0,0,11,0,,11,0,9,2,11,0,2,9,11,0
Khirauti,1,10,0,5,6,0,1,10,0,11,0,5,5,1,0,0,11,0,,11,0,9,2,11,0,0,11,11,0
Korman,0,11,0,7,4,0,1,9,1,10,1,6,5,0,0,0,11,0,,11,0,10,1,10,1,1,10,11,0
Gandhar Arazi,2,9,0,6,5,0,2,9,0,11,0,6,4,1,0,0,11,0,,11,0,6,5,11,0,0,11,11,0
