village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhobinia Milik Uttarwari,0,5,7,8,4,0,5,7,0,12,0,2,3,7,0,0,12,4,,12,0,12,0,12,0,9,3,12,0
Tengharia Milik,0,4,3,7,0,0,0,7,0,7,0,1,6,0,0,1,6,0,,7,0,7,0,7,0,7,0,7,0
Balthi,0,20,19,21,18,0,12,27,0,36,3,6,18,15,0,0,39,15,,39,0,38,1,39,0,38,1,39,0
Dhobinia Milik Dakhinwari,0,3,5,8,0,0,0,8,0,7,1,2,1,5,0,0,8,5,,8,0,5,3,8,0,8,0,8,0
Shahpur Dharmi,0,10,3,2,11,0,2,11,0,13,0,3,8,2,0,3,10,0,,13,0,11,2,13,0,13,0,13,0
Tingharia,0,28,10,37,1,0,0,38,0,37,1,7,30,1,0,6,32,0,,38,0,38,0,38,0,38,0,38,0
Muradpur(Part in Sameli) *,0,5,41,11,35,0,5,41,0,45,1,0,23,23,0,13,33,0,,46,0,46,0,46,0,46,0,46,0
Shahpur Dharmi Milik,0,35,13,27,21,0,20,28,0,46,2,4,42,2,0,2,46,0,,48,0,47,1,48,0,48,0,48,0
Jarlahi,0,20,14,20,14,0,10,24,0,34,0,2,30,2,0,7,27,0,,33,1,34,0,34,0,34,0,33,0
Chakarbarti Milik,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Madhaili,0,21,7,14,14,0,6,21,1,27,1,6,19,3,0,5,23,0,,28,0,28,0,28,0,28,0,27,0
Basuhar,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,,0,1,1,0,1,0,1,0,1,0
