village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ranko,1,0,77,74,4,0,8,67,3,74,4,1,75,2,0,4,74,0,,78,0,68,10,78,0,77,1,78,0
Hardas chak,0,0,10,10,0,0,0,10,0,10,0,0,10,0,0,0,10,0,,10,0,10,0,10,0,10,0,10,0
Chandua,0,0,4,4,0,0,1,3,0,4,0,0,4,0,0,0,4,0,,4,0,3,1,4,0,4,0,4,0
Parmanpur,0,0,5,5,0,0,1,4,0,5,0,0,5,0,0,0,5,0,,5,0,3,2,5,0,5,0,5,0
Kothia,0,0,57,55,2,0,8,49,0,57,0,0,57,0,1,0,56,0,,57,0,48,9,57,0,53,4,52,4
Sansarpur,0,0,20,18,2,0,1,19,0,20,0,0,20,0,0,0,20,0,,20,0,19,1,20,0,18,2,20,0
Rani Shakarpura,1,0,17,19,0,0,1,18,0,19,0,1,18,0,0,0,19,0,,19,0,14,5,19,0,17,2,18,1
Gaura,0,0,22,22,0,0,1,21,0,21,1,0,22,0,0,0,22,0,,22,0,20,2,21,1,22,0,22,0
Sonhauli,0,0,41,36,5,0,2,39,0,41,0,0,41,0,0,0,41,1,,41,0,35,6,41,0,30,11,39,2
Ammadih,0,0,28,28,0,0,0,27,1,27,1,0,28,0,0,0,28,0,,27,1,25,3,28,0,27,1,25,3
Mustafapur,0,0,2,2,0,0,1,1,0,2,0,0,2,0,0,0,2,0,,2,0,1,1,2,0,2,0,2,0
Mahsaurhi,1,0,31,28,2,2,2,30,0,32,0,1,31,0,0,1,31,0,,30,2,30,2,32,0,30,2,30,2
Durgapur,0,0,22,22,0,0,0,22,0,22,0,0,22,0,0,0,22,0,,22,0,22,0,22,0,21,1,20,2
Durgapur Karari,0,0,9,8,1,0,0,9,0,9,0,0,9,0,0,0,9,0,,9,0,9,0,9,0,6,3,9,0
Durgapur Barari,1,0,9,10,0,0,0,10,0,10,0,1,9,0,0,0,10,0,,10,0,9,1,10,0,10,0,10,0
Rahimpur,0,0,96,92,4,0,1,94,1,95,1,2,94,0,0,0,96,0,,95,1,84,12,96,0,93,3,71,25
Barai,0,0,3,3,0,0,0,3,0,3,0,0,3,0,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Dahraia,0,0,3,2,1,0,0,3,0,3,0,0,3,0,0,0,3,0,,3,0,2,1,3,0,3,0,3,0
Marar,0,0,51,41,10,0,0,51,0,51,0,0,51,0,0,0,51,0,,51,0,31,20,51,0,45,6,43,8
Dhodhraha,0,0,11,11,0,0,0,11,0,11,0,0,11,0,0,0,11,0,,11,0,10,1,11,0,10,1,11,0
Bhela Simri,0,0,28,27,1,0,5,23,0,28,0,0,28,0,0,0,28,0,,28,0,24,4,28,0,23,5,28,0
Inglish Tetarabad,0,0,7,6,1,0,0,7,0,7,0,0,7,0,0,0,7,0,,1,6,7,0,7,0,7,0,7,0
Tetarabad,0,0,25,25,0,0,0,24,1,24,1,0,25,0,0,0,25,0,,19,6,20,5,25,0,24,1,24,0
Chak Tetarabad,0,0,10,8,2,0,0,10,0,10,0,0,10,0,0,0,10,0,,0,10,10,0,10,0,10,0,10,0
Labhgaon,0,0,40,40,0,0,0,40,0,40,0,0,40,0,0,0,40,0,,40,0,23,17,40,0,40,0,30,10
Bachhauta,0,0,38,38,0,0,0,38,0,38,0,0,38,0,0,0,38,0,,38,0,20,18,38,0,38,0,34,4
Manbodh Tola,0,0,15,15,0,0,0,15,0,15,0,0,15,0,0,0,15,0,,15,0,11,4,15,0,15,0,12,3
Jahangira,0,0,21,21,0,0,0,21,0,21,0,0,21,0,0,0,21,0,,21,0,18,3,21,0,21,0,19,2
Sobhni,0,0,20,20,0,0,0,20,0,20,0,1,19,0,0,0,20,0,,20,0,14,6,20,0,20,0,13,7
Madhua,0,0,7,7,0,0,0,7,0,7,0,0,7,0,0,0,7,0,,7,0,6,1,7,0,7,0,5,2
Gangaur,0,0,23,23,0,0,0,23,0,23,0,0,23,0,0,0,23,0,,23,0,16,7,23,0,23,0,18,5
Olapur,0,0,22,22,0,0,0,22,0,22,0,0,22,0,0,0,22,0,,22,0,13,9,22,0,22,0,17,5
Sahuria,0,0,10,10,0,0,0,10,0,10,0,0,10,0,0,0,10,0,,10,0,6,4,10,0,10,0,8,2
Darhi,0,0,12,12,0,0,0,12,0,12,0,0,12,0,0,0,12,0,,12,0,8,4,12,0,12,0,10,2
Kasimpur,0,0,18,18,0,0,0,18,0,18,0,0,18,0,0,0,18,0,,18,0,13,5,18,0,18,0,14,4
Mathurapur,0,0,33,33,0,0,0,33,0,33,0,0,33,0,0,0,33,0,,33,0,26,7,33,0,33,0,24,9
Rasaunk,0,0,40,40,0,0,0,40,0,40,0,0,40,0,0,0,40,0,,40,0,24,16,40,0,40,0,30,10
