village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Lachhminia,0,0,33,26,5,2,2,28,3,3,30,0,1,32,1,0,32,0,,33,0,31,2,33,0,1,32,33,0
Mahtha,0,6,21,0,26,1,1,20,6,21,6,0,25,2,0,0,27,0,,27,0,7,20,27,0,19,8,26,1
Gidhwas,0,2,16,0,1,17,0,1,17,0,18,0,11,7,0,0,18,0,,18,0,0,18,18,0,15,3,18,0
Ekhari,0,9,17,0,11,15,0,11,15,25,1,1,22,3,0,0,26,0,,26,0,19,7,26,0,25,1,21,5
Bhutaha,0,6,15,0,4,17,0,4,17,0,21,0,19,2,0,0,21,0,,21,0,0,21,21,0,21,0,21,0
Pindraun,0,8,17,17,8,0,0,25,0,4,21,0,16,9,0,0,25,0,,25,0,0,25,25,0,20,5,25,0
Dharamban,0,1,18,3,4,12,0,3,16,13,6,1,0,18,0,0,19,0,,18,1,3,16,19,0,4,15,18,1
Sidhap Kalan,0,15,5,0,0,20,0,15,5,0,20,0,15,5,0,0,20,0,,20,0,15,5,20,0,20,0,20,0
Jogia,0,11,13,0,15,9,10,5,9,14,10,0,14,10,0,0,24,0,,24,0,15,9,24,0,14,10,9,15
Garha,0,14,14,14,1,13,0,27,1,3,25,1,21,6,0,0,28,0,,28,0,28,0,28,0,24,4,28,0
Sidhapa,0,11,19,0,18,12,0,0,30,18,12,1,12,17,0,0,30,0,,30,0,8,22,19,11,27,3,18,12
Khoja,0,3,23,11,0,15,0,11,15,19,7,0,7,19,0,0,26,0,,26,0,11,15,26,0,9,17,26,0
Gajhara,0,2,24,10,16,0,5,21,0,26,0,0,12,14,0,0,26,0,,26,0,26,0,26,0,14,12,26,0
Barhmotra,0,2,27,4,23,2,2,27,0,6,23,0,7,22,0,0,29,0,,27,2,24,5,29,0,10,19,27,2
Piprahi,0,0,29,0,0,29,0,0,29,15,14,0,0,29,0,0,29,0,,29,0,0,29,29,0,24,5,29,0
Belahi,0,2,21,22,0,1,0,23,0,2,21,0,2,21,0,0,23,0,,23,0,23,0,23,0,16,7,23,0
Kamtaulia,0,1,24,0,12,13,0,0,25,8,17,0,1,24,0,0,25,0,,25,0,0,25,25,0,12,13,25,0
Kumarkhad,0,0,27,6,5,16,0,6,21,22,5,0,0,27,0,0,27,0,,27,0,6,21,27,0,10,17,27,0
Bauraha,0,0,26,0,0,26,0,0,26,26,0,0,0,26,0,0,26,0,,0,26,0,26,25,1,0,26,0,26
Bishunpur,0,0,10,0,10,0,0,0,10,6,4,0,0,10,0,0,10,0,,0,10,0,10,10,0,10,0,0,10
Dalokhar,0,0,23,0,23,0,0,0,23,8,15,0,7,16,0,0,23,0,,0,23,0,23,1,22,0,23,0,23
Mahua,0,10,16,0,4,22,0,26,0,25,1,0,25,1,0,0,26,0,,26,0,24,2,26,0,2,24,25,1
Nandrahi,0,26,1,0,26,1,26,0,1,22,5,26,0,1,0,0,27,0,,27,0,25,2,27,0,0,27,1,26
Pathrahi,0,4,20,0,0,24,24,0,0,24,0,0,20,4,0,0,24,0,,0,24,0,24,24,0,24,0,0,24
Sipahgiri,0,20,0,0,20,0,20,0,0,12,8,0,20,0,0,0,20,0,,20,0,20,0,20,0,0,20,0,20
Chiknautwa,0,24,0,0,24,0,24,0,0,8,16,24,0,0,0,0,24,0,,24,0,24,0,24,0,0,24,0,24
Mirzapur,0,0,13,0,8,5,0,1,12,1,12,0,2,11,0,0,13,0,,13,0,1,12,13,0,5,8,13,0
