village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dalelpur,0,3,2,5,0,0,3,2,0,1,4,0,1,4,0,0,5,5,0,5,0,5,0,1,4,5,0
Panrupa,0,3,1,1,3,0,4,0,0,0,4,0,3,1,0,0,4,4,0,4,0,4,0,1,3,4,0
Madhuban,0,5,1,5,1,0,1,4,1,2,4,0,2,4,0,0,6,5,1,6,0,6,0,1,5,6,0
Dohra,0,23,4,22,5,0,7,20,0,6,21,0,18,9,4,0,23,27,0,25,2,27,0,8,19,27,0
Dariyapur,0,3,3,6,0,0,3,3,0,1,5,0,2,4,0,0,6,6,0,5,1,6,0,4,2,6,0
Chourma,0,7,4,9,2,0,5,6,0,2,9,0,2,9,0,0,11,10,1,11,0,11,0,1,10,11,0
Hanriya,0,20,6,17,8,1,14,12,0,4,22,0,14,12,0,0,26,26,0,25,1,26,0,9,17,26,0
Nandgram,0,4,1,5,0,0,5,0,0,1,4,0,2,2,0,0,5,5,0,5,0,5,0,2,3,5,0
Mutanaze,0,6,1,7,0,0,0,4,3,2,5,0,4,3,0,0,7,7,0,7,0,7,0,3,4,7,0
Rajapur,0,3,3,4,2,0,3,3,0,0,6,0,3,3,0,0,6,6,0,6,0,6,0,3,3,6,0
Pakariya,0,4,1,4,1,0,3,2,0,0,5,0,2,3,0,0,5,5,0,5,0,5,0,1,4,5,0
Phaldu,0,6,2,6,2,0,2,6,0,3,5,0,2,6,0,0,8,7,1,7,1,8,0,3,5,7,1
Rampur,0,2,2,1,2,1,2,2,0,1,3,0,0,4,0,0,4,4,0,4,0,4,0,1,3,4,0
Bhalua,0,2,2,3,1,0,0,4,0,1,3,0,1,3,0,0,4,4,0,4,0,4,0,1,3,4,0
