village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kalianpur,0,23,0,23,0,0,4,19,0,23,0,5,14,4,0,0,23,0,,23,0,19,4,23,0,14,9,23,0
Ramnagar Karari Kachhar,0,25,0,25,0,0,14,11,0,25,0,0,25,0,0,0,25,0,,25,0,19,6,23,2,17,8,25,0
Asawan,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,0,1,1,0,0,1,1,0
Dharampur,0,31,0,31,0,0,2,29,0,31,0,0,26,5,0,0,31,0,,30,1,18,13,30,1,15,16,31,0
Sabnima,4,89,1,94,0,0,22,72,0,92,2,10,73,11,0,0,94,0,,94,0,63,31,94,0,32,62,93,0
Meora,0,22,0,22,0,0,1,20,1,22,0,0,15,7,0,0,22,0,,22,0,19,3,22,0,13,9,22,0
Fatehpur,0,7,0,7,0,0,2,5,0,7,0,0,6,1,1,0,6,0,,7,0,7,0,7,0,4,3,7,0
Jamalpur,0,41,9,50,0,0,15,35,0,49,1,0,23,27,0,0,50,0,,50,0,36,14,50,0,32,18,50,0
Phulelpur,0,21,0,20,0,1,1,20,0,20,1,2,16,3,0,0,21,0,,21,0,15,6,21,0,4,17,21,0
Surajpura,0,21,0,21,0,0,0,21,0,16,5,0,13,8,0,0,21,0,,21,0,17,4,21,0,8,13,20,1
Karjan,0,20,2,22,0,0,2,20,0,19,3,0,16,6,0,0,22,0,,22,0,18,4,22,0,10,12,22,0
Chanda,0,17,1,18,0,0,2,16,0,18,0,0,11,7,0,0,18,0,,18,0,14,4,18,0,7,11,18,0
Shahistapur,0,32,0,30,1,1,4,25,3,31,1,0,19,12,0,0,32,0,,31,1,12,20,32,0,14,18,32,0
Shaistapur,0,5,0,5,0,0,0,5,0,5,0,0,3,2,0,0,5,0,,5,0,3,2,5,0,3,2,5,0
Thamhawan,0,31,0,30,0,1,9,22,0,30,1,0,22,9,0,0,31,0,,29,2,9,22,30,1,13,18,31,0
Bahadurpur,0,25,0,24,0,1,10,15,0,24,1,0,21,4,0,0,25,0,,22,3,4,21,25,0,6,19,24,1
Pura ( Part in Barh C.D.Block ),0,20,0,20,0,0,6,14,0,20,0,3,12,5,0,0,20,0,,20,0,20,0,20,0,4,16,20,0
Burhara,0,39,0,36,2,1,5,34,0,39,0,1,37,1,0,0,39,1,,39,0,13,26,39,0,23,16,39,0
Chak Sarwar,0,18,4,22,0,0,0,19,3,22,0,0,10,12,0,0,22,0,,22,0,22,0,22,0,7,15,22,0
Daulatpur,0,27,0,22,4,1,8,19,0,27,0,8,16,3,0,0,27,0,,27,0,10,17,27,0,1,26,27,0
Mahuli,0,2,0,0,0,2,1,1,0,2,0,0,2,0,0,0,2,0,,2,0,0,2,2,0,0,2,2,0
