village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chhatna,0,21,16,37,0,0,37,0,0,37,0,2,10,25,0,0,37,37,0,18,19,37,0,28,9,37,0
Korji,0,20,0,20,0,0,4,15,1,15,5,5,13,2,0,0,20,20,0,16,4,20,0,9,11,20,0
Sakraicha,0,30,0,30,0,0,0,28,2,30,0,0,26,4,0,0,30,11,19,11,19,30,0,15,15,18,12
Dhanuki,0,11,0,11,0,0,0,10,1,11,0,0,9,2,0,0,11,11,0,6,5,11,0,8,3,11,0
Pasihi,0,37,0,35,2,0,4,33,0,32,5,1,34,2,0,0,37,37,0,17,20,37,0,11,26,37,0
Simra,0,13,1,14,0,0,0,14,0,14,0,2,9,3,0,0,14,14,0,7,7,14,0,7,7,14,0
Bhusaula Danapur,0,15,0,15,0,0,3,12,0,15,0,2,13,0,0,0,15,15,0,3,12,15,0,14,1,15,0
Mahbano,0,11,0,11,0,0,1,10,0,11,0,0,11,0,0,0,11,9,2,10,1,11,0,8,3,11,0
Faridpur,0,15,1,16,0,0,1,14,1,16,0,2,9,5,0,0,16,16,0,3,13,16,0,8,8,16,0
Mahuli,0,10,1,11,0,0,0,11,0,11,0,1,6,4,0,0,11,9,2,9,2,11,0,9,2,11,0
Kurthaur (CT),0,16,0,16,0,0,0,15,1,16,0,0,8,8,0,0,16,16,0,14,2,16,0,4,12,16,0
Chihut,0,11,0,11,0,0,1,10,0,10,1,2,9,0,0,0,11,6,5,11,0,11,0,9,2,11,0
Pakri,3,13,0,16,0,0,0,16,0,16,0,6,10,0,0,0,16,16,0,6,10,16,0,5,11,16,0
Ganja Chak Muhammadpur,1,5,0,6,0,0,1,5,0,6,0,4,2,0,0,0,6,5,1,4,2,6,0,1,5,6,0
Yakubpur Nagwan,2,4,0,6,0,0,0,6,0,5,1,4,1,1,0,0,6,6,0,5,1,6,0,0,6,6,0
Chilbili,1,37,0,38,0,0,5,33,0,37,1,5,32,1,0,0,38,36,2,24,13,38,0,8,30,28,10
Nathupur,0,18,0,18,0,0,2,15,1,18,0,0,18,0,0,0,18,18,0,18,0,18,0,2,16,18,0
Khadagchak,0,14,1,15,0,0,1,14,0,15,0,1,10,4,0,0,15,8,7,0,15,15,0,3,12,12,3
Budhgawan,1,15,0,16,0,0,0,16,0,16,0,8,7,1,0,0,16,6,10,1,15,16,0,4,12,9,7
Abupur Lodipur,4,33,0,33,4,0,14,22,1,37,0,16,21,0,0,1,36,34,3,24,13,37,0,4,33,37,0
Nasirpura,0,18,0,18,0,0,8,10,0,18,0,1,10,7,0,0,18,16,2,10,8,18,0,2,16,18,0
Majhauli,0,13,2,15,0,0,10,5,0,11,4,0,3,12,0,0,15,15,0,14,1,15,0,8,7,15,0
Alampur Gonpura,0,90,1,89,2,0,8,76,7,90,1,26,63,2,0,1,90,90,1,71,20,91,0,14,77,89,2
Nadiawan,0,18,0,18,0,0,2,15,1,18,0,0,18,0,0,0,18,18,0,9,9,18,0,0,18,18,0
Bitaura,0,19,0,19,0,0,10,9,0,17,2,0,19,0,0,0,19,19,0,19,0,19,0,4,15,19,0
Hasanpura,2,35,0,37,0,0,11,26,0,35,2,5,30,2,0,0,37,37,0,14,23,37,0,10,27,29,8
Alipur,0,18,0,17,0,1,0,18,0,16,2,0,16,2,0,0,18,18,0,14,4,18,0,2,16,18,0
Kurkuri,0,14,4,17,1,0,1,17,0,18,0,0,1,17,0,0,18,18,0,15,3,18,0,3,15,18,0
