village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bishunpur Anrra,0,0,8,7,1,0,0,8,0,6,2,0,6,2,1,0,7,8,0,8,0,8,0,8,0,8,0
Shaikhpura,0,0,8,5,3,0,0,8,0,7,1,0,4,4,0,0,8,8,0,7,1,8,0,8,0,8,0
Saraya Urf Rasulpur Habib,0,0,10,6,4,0,0,10,0,8,2,0,6,4,1,0,9,10,0,9,1,10,0,10,0,9,1
Sarae Afzal,0,0,12,9,3,0,0,12,0,8,4,0,6,6,2,0,10,12,0,12,0,12,0,12,0,12,0
Hedayatpur Katahra Dakhali,0,0,8,6,2,0,0,8,0,4,4,0,5,3,0,0,8,8,0,8,0,8,0,8,0,8,0
Harpur Anrra,0,0,9,8,1,0,0,9,0,8,1,1,8,0,1,0,8,9,0,9,0,9,0,9,0,8,1
Chapait,0,0,14,11,3,0,0,14,0,8,6,0,7,7,2,0,12,14,0,14,0,14,0,14,0,11,3
Chainpur,0,0,11,7,4,0,0,11,0,5,6,0,8,3,2,0,9,11,0,11,0,11,0,11,0,11,0
Akhtiarpur Sihan,0,0,7,6,1,0,0,7,0,4,3,0,5,2,1,0,6,7,0,6,1,7,0,7,0,7,0
Chhapra Khajechand,0,0,9,8,1,0,0,9,0,8,1,0,9,0,0,0,9,5,4,8,1,9,0,9,0,9,0
Chak Mandi Urf Chak Moinuddin,0,0,10,5,5,0,0,10,0,5,5,0,6,4,0,0,10,10,0,10,0,10,0,10,0,10,0
Kaila Jalalpur Urf Jalalpur,0,0,9,3,6,0,0,9,0,9,0,0,5,4,2,0,7,9,0,9,0,9,0,9,0,9,0
Sherpur Jalal,0,0,25,7,18,0,0,25,0,25,0,4,16,5,1,0,24,25,0,25,0,25,0,24,1,25,0
Karhatia Buzurg,0,0,13,8,4,1,2,10,1,12,1,0,10,3,0,0,13,13,0,13,0,13,0,13,0,12,1
Bhorha Urf Muzaffarpur Murad,0,0,11,4,6,1,1,10,0,11,0,0,7,4,1,0,10,10,1,11,0,11,0,10,1,11,0
Rampur Dumri,0,0,8,8,0,0,0,8,0,8,0,0,3,5,0,0,8,8,0,8,0,8,0,8,0,8,0
Salempur Dumaria,0,0,35,32,3,0,0,35,0,31,4,0,25,10,8,0,27,33,2,34,1,35,0,35,0,30,5
Khurampur,0,0,7,7,0,0,0,7,0,7,0,0,4,3,4,0,3,7,0,7,0,7,0,7,0,3,4
Tal Sihan,0,0,8,8,0,0,0,8,0,8,0,0,6,2,1,0,7,6,2,8,0,8,0,8,0,7,1
Rasulpur Daud,0,0,33,32,1,0,0,33,0,31,2,0,23,10,7,0,26,32,1,33,0,33,0,33,0,30,3
Chhaurahi,0,0,9,9,0,0,0,9,0,8,1,0,5,4,1,0,8,9,0,9,0,9,0,9,0,9,0
Rasulpur Fateh,0,0,7,7,0,0,0,7,0,6,1,0,7,0,2,0,5,7,0,7,0,7,0,7,0,7,0
Kaila Kalyan,0,0,5,5,0,0,0,5,0,5,0,0,5,0,1,0,4,5,0,5,0,5,0,5,0,4,1
Alipur Sumerganj Urf Ghauspur,0,0,8,8,0,0,0,8,0,8,0,0,4,4,0,0,8,8,0,8,0,8,0,8,0,7,1
Mustafapur Halayia,0,0,12,11,0,1,0,12,0,11,1,0,7,5,3,0,9,11,1,12,0,12,0,12,0,11,1
