village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Kokdi,0,1,204,0,199,6,170,35,0,52,153,6,158,41,0,3,202,205,0,121,84,204,0,205,0,204,1
Kuchena,0,0,18,0,18,0,14,4,0,5,13,0,13,5,0,0,18,18,0,9,9,18,0,18,0,18,0
Marauda (Maroda),0,0,101,1,98,2,86,15,0,37,64,4,73,24,1,0,100,101,0,81,20,101,0,101,0,101,0
Kajansara,0,0,66,2,62,2,57,5,4,26,40,0,54,12,1,0,65,66,0,49,17,65,0,63,3,64,2
Tawarbehar,2,0,198,2,197,1,158,38,4,60,140,13,151,36,2,3,195,198,2,128,72,197,1,196,4,197,3
Kochbay,0,0,188,0,187,2,161,27,3,73,119,2,150,33,0,0,183,197,0,139,57,196,0,194,1,197,0
Lohari,0,0,97,0,96,1,83,15,0,49,49,3,71,24,0,0,97,98,0,75,23,98,0,97,1,98,0
Hatmauha,0,0,12,0,12,0,11,1,0,3,9,1,11,0,0,0,12,12,0,8,4,12,0,12,0,12,0
Bamhani,0,0,15,0,14,1,11,4,0,3,12,0,14,1,0,0,15,15,0,10,5,15,0,15,0,15,0
Kodopali,0,0,48,0,47,1,38,10,0,18,30,0,33,15,0,0,48,48,0,42,6,48,0,47,1,48,0
Tenwari,0,0,42,0,41,1,33,9,0,10,32,2,28,12,0,0,42,42,0,34,8,42,0,41,1,42,0
