village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Paraswara,0,104,90,0,155,41,195,1,1,135,62,0,0,194,0,0,190,131,68,199,0,199,0,198,0,198,1
Patparha,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Patharra,2,155,19,1,171,5,126,52,0,139,42,0,37,137,0,0,163,161,23,171,12,182,2,183,0,184,1
Raitra Khurd,0,11,1,0,13,1,9,5,0,11,3,0,2,10,0,0,10,11,3,13,1,14,0,14,0,13,1
Bhatha,1,165,21,3,180,4,124,62,1,148,39,0,42,145,0,0,187,166,21,176,11,179,7,187,0,186,1
Jhaphal,0,175,25,2,188,10,140,60,0,149,51,0,36,164,0,0,200,185,15,170,30,194,6,200,0,200,0
Kosamtara,0,12,1,0,13,0,7,6,0,10,3,0,0,13,0,0,13,12,1,13,0,13,0,13,0,13,0
Salheghori,0,2,0,0,2,0,2,0,0,2,0,0,0,2,2,0,0,2,0,2,0,2,0,2,0,2,0
Kodwa Mahant,1,158,41,1,192,7,162,38,0,156,44,0,53,147,0,0,200,186,14,183,17,192,8,200,0,199,1
Bankal,0,2,1,0,3,0,2,1,0,2,1,0,0,3,0,0,3,3,0,3,0,3,0,3,0,3,0
Baijalpur,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Baigakapa,0,163,36,0,189,10,170,29,0,147,52,0,35,164,0,1,197,180,19,191,8,187,12,199,0,199,0
Lilapur,1,163,35,0,194,5,157,42,0,156,43,0,30,169,0,0,199,178,21,179,20,186,13,199,0,198,1
Lalpur,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
