village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Tarkela,0,1,2,0,3,0,0,3,0,3,0,1,2,0,0,0,3,3,0,2,1,3,0,3,0,3,0
Nansia,0,27,69,7,78,11,6,78,12,17,79,10,20,66,0,0,96,95,1,49,47,89,6,96,0,96,0
Gopalpur,0,14,86,10,75,15,8,85,7,9,91,6,26,68,0,4,96,98,2,47,52,100,0,99,0,100,0
Gejamuda,0,59,35,17,54,23,0,85,9,94,0,10,46,38,0,5,89,94,0,35,59,93,0,94,0,94,0
Aunrabhantha,0,17,15,4,25,4,0,29,5,33,1,1,13,18,0,1,31,34,0,7,27,34,0,34,0,34,0
Kodtarai,0,29,65,4,12,78,1,88,5,83,11,9,37,48,0,4,90,93,1,46,48,94,0,94,0,94,0
Thakurpali,0,34,32,7,32,27,0,54,12,56,10,8,27,31,0,0,66,65,1,47,19,66,0,66,0,66,0
Dhanagar,0,52,48,0,1,99,3,90,7,69,31,4,43,53,0,5,95,100,0,45,55,100,0,100,0,100,0
Mauhapali,0,46,52,0,51,47,4,90,4,38,60,1,34,63,0,12,86,97,1,37,61,92,6,98,0,98,0
Kotarliya,0,27,65,0,40,52,4,83,5,40,52,3,32,57,0,12,80,92,0,50,42,92,0,92,0,92,0
Chitakakani,0,0,8,0,4,4,0,8,0,4,4,0,4,4,0,0,8,8,0,4,4,8,0,8,0,8,0
Sambalpuri,0,14,78,0,32,60,9,81,2,68,24,5,33,52,0,10,79,92,0,59,33,92,0,92,0,92,0
Badpali,0,7,3,1,6,3,1,8,1,3,7,0,3,7,0,2,8,10,0,4,6,10,0,10,0,10,0
Naurangpur,0,24,75,0,13,86,7,92,0,93,6,5,32,62,0,52,47,99,0,45,54,99,0,99,0,99,0
Nawapara,0,25,66,0,0,91,8,83,0,90,1,1,29,61,3,32,55,91,0,47,44,91,0,91,0,91,0
Pali,0,38,62,0,9,91,5,92,3,72,28,1,30,69,1,23,76,100,0,64,36,100,0,100,0,100,0
Bhagora,0,9,97,0,58,48,6,98,2,73,33,10,30,66,0,19,87,106,0,53,53,106,0,106,0,106,0
Vishwanath Pali,0,3,54,0,0,57,3,54,0,51,6,0,19,38,0,18,39,57,0,21,36,53,4,57,0,57,0
Kosampali,0,2,17,0,0,19,0,19,0,17,2,1,4,14,0,4,15,19,0,5,14,17,2,19,0,19,0
Junwani,0,24,73,0,25,72,4,91,2,48,49,0,35,62,0,5,92,97,0,44,53,97,0,97,0,97,0
Bayang,0,30,70,0,26,74,8,91,1,71,29,7,26,67,0,25,75,100,0,46,54,100,0,100,0,100,0
