village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Trent,0,0,35,35,0,0,35,0,0,15,20,0,1,34,0,0,35,0,,0,35,0,35,35,0,9,26,12,23
Nana Ubhada,0,0,35,35,0,0,35,0,0,20,15,1,7,27,0,0,35,0,,3,32,0,35,35,0,10,25,7,28
Ribdi,0,0,36,36,0,0,36,0,0,19,17,0,3,33,0,0,36,0,,1,35,2,34,36,0,14,22,15,21
Rakhiyana,0,0,35,35,0,0,35,0,0,19,16,0,3,32,0,0,35,0,,11,24,6,29,35,0,11,24,16,19
Navagam,0,0,34,34,0,0,34,0,0,15,19,2,8,24,0,0,34,0,,5,29,4,30,34,0,11,23,7,27
Kadvasan,0,0,34,34,0,0,34,0,0,17,17,1,5,28,0,0,34,0,,1,33,0,34,34,0,9,25,22,12
Mandal,0,0,37,37,0,0,37,0,0,21,16,0,3,34,0,0,37,0,,1,36,2,35,37,0,13,24,33,4
Mithapur,0,0,35,35,0,0,35,0,0,19,16,5,13,17,0,0,35,0,,4,31,0,35,35,0,8,27,20,15
Ukardi,0,0,35,35,0,0,35,0,0,17,18,0,2,33,0,0,35,0,,2,33,0,35,35,0,12,23,25,10
Vinzuvada,0,0,35,35,0,0,35,0,0,18,17,0,8,27,0,0,35,0,,4,31,2,33,35,0,8,27,8,27
Varmor,0,0,35,35,0,0,35,0,0,21,14,0,8,27,0,0,35,0,,2,33,0,35,35,0,8,27,27,8
Nayakpur,0,0,33,33,0,0,33,0,0,17,16,5,13,15,0,0,33,0,,3,30,3,30,33,0,7,26,28,5
Jalisana,0,0,35,35,0,0,35,0,0,19,16,2,12,21,0,0,35,0,,6,29,2,33,35,0,6,29,29,6
Vinchhan,0,0,35,35,0,0,35,0,0,17,18,1,10,24,0,0,35,0,,10,25,3,32,35,0,7,28,21,14
Dadhana,0,0,49,49,0,0,49,0,0,26,23,4,18,27,0,0,49,0,,1,48,2,47,49,0,9,40,42,7
Zanzarava,0,0,35,35,0,0,35,0,0,22,13,0,8,27,0,0,35,0,,9,26,15,20,35,0,11,24,27,8
Kachrol,0,0,35,35,0,0,35,0,0,21,14,1,14,20,0,0,35,0,,4,31,1,34,35,0,8,27,31,4
Odaki,0,0,35,35,0,0,35,0,0,17,18,0,2,33,0,0,35,0,,3,32,0,35,35,0,11,24,16,19
Endla,0,0,35,35,0,0,35,0,0,18,17,0,6,29,0,0,35,0,,12,23,24,11,35,0,8,27,20,15
Karshanpura,0,0,35,35,0,0,35,0,0,18,17,0,0,35,0,0,35,0,,3,32,22,13,35,0,9,26,15,20
Dhedhasana,0,0,35,35,0,0,35,0,0,20,15,0,3,32,0,0,35,0,,4,31,0,35,35,0,9,26,23,12
Sher,0,0,36,36,0,0,36,0,0,13,23,0,0,36,0,0,36,0,,4,32,19,17,36,0,11,25,5,31
Sadra,0,0,34,34,0,0,34,0,0,18,16,0,0,34,0,0,34,0,,0,34,12,22,34,0,10,24,15,19
Solgam,0,0,35,35,0,0,35,0,0,15,20,0,2,33,0,0,35,0,,0,35,0,35,35,0,11,24,11,24
Manpura,0,0,35,35,0,0,35,0,0,15,20,0,0,35,0,0,35,0,,5,30,16,19,35,0,10,25,22,13
Ughrojpura,0,0,35,35,0,0,35,0,0,17,18,0,6,29,0,0,35,0,,3,32,0,35,35,0,8,27,22,13
Ughroj,0,0,35,35,0,0,35,0,0,20,15,1,11,23,0,0,35,0,,2,33,2,33,35,0,9,26,32,3
Vasna Kunpur,0,0,35,35,0,0,35,0,0,20,15,2,8,25,0,0,35,0,,1,34,2,33,35,0,10,25,26,9
Kunpur,0,0,36,36,0,0,36,0,0,21,15,1,14,21,0,0,36,0,,0,36,5,31,36,0,8,28,32,4
Dalod,0,0,34,34,0,0,34,0,0,20,14,1,5,28,0,0,34,0,,0,34,1,33,34,0,8,26,23,11
Vanpardi,0,0,35,35,0,0,35,0,0,17,18,0,10,25,0,0,35,0,,3,32,0,35,35,0,8,27,25,10
Sinaj,0,0,43,43,0,0,43,0,0,27,16,2,14,27,0,0,43,0,,4,39,0,43,43,0,10,33,31,12
Sitapur,0,0,35,35,0,0,35,0,0,17,18,1,2,32,0,0,35,0,,6,29,0,35,35,0,6,29,31,4
Kanpura (Shinaj),0,0,35,35,0,0,35,0,0,20,15,1,7,27,0,0,35,0,,3,32,0,35,35,0,10,25,25,10
Vitthalapur,0,0,35,35,0,0,35,0,0,18,17,0,3,32,0,0,35,0,,3,32,0,35,35,0,8,27,27,8
Hansalpur,0,0,35,35,0,0,35,0,0,24,11,0,9,26,0,0,35,0,,9,26,4,31,35,0,3,32,28,7
Anandpura,0,0,14,14,0,0,14,0,0,8,6,2,9,3,0,0,14,0,,2,12,3,11,14,0,3,11,9,5
