village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sakva,0,0,22,6,16,0,0,9,13,22,0,13,9,0,0,0,22,0,22,0,22,22,0,0,22,0,22
Thava,0,0,22,17,5,0,0,19,3,22,0,3,6,13,0,0,22,20,2,22,0,20,2,0,22,22,0
Kavachia,0,0,22,15,7,0,6,16,0,22,0,8,12,2,0,0,22,22,0,20,2,21,1,0,22,21,1
Koyali Mandvi,0,0,22,7,15,0,0,10,12,22,0,8,7,7,0,0,22,0,22,0,22,22,0,0,22,9,13
Kakad Kui,0,0,22,9,13,0,1,17,4,22,0,9,6,7,0,0,22,0,22,0,22,22,0,0,22,7,15
Kamaliya,0,2,20,7,15,0,0,22,0,21,1,11,11,0,0,0,22,1,21,1,21,22,0,0,22,1,21
Zarna,0,3,19,18,4,0,2,17,3,21,1,11,9,2,0,0,22,22,0,22,0,20,2,0,22,22,0
Datt Nagar,0,0,22,11,11,0,0,5,17,21,1,7,4,11,0,0,22,0,22,0,22,22,0,0,22,11,11
Moriyana,0,2,20,12,10,0,3,17,2,22,0,12,9,1,0,0,22,22,0,20,2,19,3,0,22,22,0
Fulwadi,0,0,22,17,5,0,0,21,1,21,1,9,11,2,0,0,22,21,1,20,2,21,1,0,22,22,0
Kelvikuva,0,4,18,16,6,0,5,14,3,18,4,12,6,4,0,0,22,8,14,5,17,22,0,0,22,22,0
Bedoli,0,0,12,8,4,0,0,11,1,11,1,5,7,0,0,0,12,12,0,11,1,12,0,0,12,11,1
Kodvav,0,1,21,10,12,0,1,9,12,22,0,9,9,4,0,0,22,1,21,3,19,22,0,0,22,13,9
Bilatha,0,0,22,16,6,0,7,5,10,22,0,6,10,6,0,0,22,22,0,9,13,21,1,0,22,22,0
Chikhli,0,2,20,8,14,0,0,22,0,22,0,16,5,1,0,0,22,0,22,0,22,22,0,0,22,1,21
Fichvada (Dumala),0,8,14,17,5,0,9,11,2,22,0,14,3,5,0,0,22,22,0,20,2,18,4,0,22,22,0
Vadkhunta,0,1,21,17,5,0,3,13,6,16,6,10,12,0,0,0,22,2,20,6,16,22,0,0,22,16,6
Ashnavi,0,6,16,12,10,0,2,19,1,21,1,17,5,0,0,0,22,8,14,1,21,21,1,0,22,21,1
Kharetha,0,0,22,14,8,0,2,19,1,22,0,11,11,0,0,0,22,22,0,20,2,19,3,0,22,22,0
Kuri,0,0,22,15,7,0,0,5,17,22,0,9,5,8,0,0,22,3,19,0,22,22,0,0,22,12,10
Zarnavadi,0,5,17,18,4,0,2,19,1,21,1,12,5,5,0,0,22,22,0,20,2,22,0,0,22,22,0
Pingot,0,0,22,7,15,0,3,14,5,22,0,6,7,9,0,0,22,2,20,2,20,22,0,0,22,16,6
Umarkharda,0,3,19,12,10,0,3,12,7,22,0,16,5,1,0,0,22,6,16,9,13,22,0,0,22,19,3
Bilothi,0,1,21,14,8,0,1,21,0,22,0,12,9,1,0,0,22,22,0,22,0,20,2,0,22,21,1
Fokdi,0,2,20,12,10,0,0,4,18,22,0,7,9,6,0,0,22,0,22,0,22,22,0,0,22,7,15
