village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Vejaliya,0,8,27,1,27,7,35,0,0,25,10,16,12,7,0,0,35,0,,35,0,35,0,35,0,0,35,35,0
Zampa,0,11,24,0,20,15,23,9,3,21,14,17,12,6,0,0,35,0,,30,5,35,0,35,0,9,26,35,0
Morad,0,0,35,8,26,1,25,10,0,30,5,17,16,2,0,0,35,0,,35,0,35,0,35,0,0,35,35,0
Dholi,0,0,35,10,25,0,30,5,0,30,5,12,19,4,0,0,35,0,,35,0,33,2,35,0,4,31,35,0
Malpur,0,4,31,9,20,6,26,9,0,32,3,20,10,5,0,0,35,0,,35,0,35,0,35,0,0,35,35,0
Chhatrapura,0,11,24,9,26,0,31,4,0,22,13,24,8,3,0,0,35,2,,32,3,31,4,35,0,12,23,35,0
Bahadarpur,0,9,26,9,24,2,24,11,0,22,13,27,8,0,0,0,35,0,,30,5,35,0,35,0,12,23,35,0
Ambapura,0,0,39,17,21,1,36,3,0,36,3,11,23,5,0,0,39,0,,39,0,37,2,38,1,0,39,39,0
Sunderpura,0,4,31,15,20,0,25,10,0,25,10,21,11,3,0,0,35,0,,35,0,34,1,35,0,0,35,35,0
Timbi,0,9,10,11,7,1,9,8,2,11,8,19,0,0,0,0,19,0,,18,1,19,0,19,0,4,15,19,0
Manjrol,0,9,31,5,34,1,31,9,0,32,8,24,13,3,0,0,40,0,,37,3,33,7,39,1,8,32,40,0
Ghoda (Chorangla),0,3,34,0,32,5,22,15,0,24,13,15,17,5,0,0,37,0,,35,2,27,10,37,0,6,31,37,0
Pipalsat,0,1,34,8,21,6,35,0,0,29,6,14,16,5,0,0,35,0,,35,0,35,0,35,0,0,35,35,0
Gola Gamdi,0,13,22,11,23,1,29,6,0,29,6,23,7,5,0,0,35,0,,35,0,16,19,35,0,0,35,35,0
Handod,0,7,28,2,21,12,32,3,0,18,17,23,6,6,0,0,35,0,,29,6,29,6,35,0,16,19,35,0
Raipur,0,5,30,0,27,8,16,6,13,22,13,23,6,6,0,0,35,0,,35,0,13,22,35,0,0,35,35,0
Shekhanpur,0,0,35,26,7,2,24,11,0,22,13,13,19,3,0,0,35,1,,26,9,31,4,35,0,7,28,35,0
Nurpur,0,0,33,11,19,3,26,6,1,28,5,22,11,0,0,0,33,0,,12,21,31,2,33,0,3,30,33,0
Akhatyarpura,0,7,28,9,26,0,33,2,0,22,13,21,11,3,0,0,35,0,,30,5,29,6,35,0,11,24,35,0
Vadeli,0,14,21,4,25,6,25,10,0,29,6,28,7,0,0,0,35,0,,22,13,28,7,35,0,4,31,35,0
Aritha,0,0,35,1,31,3,33,2,0,22,13,7,21,7,0,0,35,0,,35,0,17,18,35,0,1,34,35,0
Gundicha,0,15,19,0,32,2,27,7,0,23,11,23,11,0,0,0,34,0,,34,0,12,22,34,0,0,34,34,0
