village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Nana Bhavda,0,29,6,32,3,0,0,35,0,33,2,2,27,6,0,0,35,29,,29,6,34,1,31,4,35,0,28,7
Mota Bhavda,0,26,9,31,4,0,1,34,0,33,2,1,29,5,0,0,35,31,,30,5,29,6,33,2,35,0,29,6
BET,0,0,21,15,6,0,1,19,1,21,0,0,4,17,6,0,15,21,,15,6,20,1,21,0,21,0,20,1
Tupani,0,28,7,31,4,0,0,35,0,35,0,3,27,5,0,0,35,32,,28,7,32,3,32,3,35,0,27,8
Kalyanpur,0,20,14,21,13,0,2,31,1,32,2,1,25,8,1,0,33,33,,23,11,29,5,29,5,34,0,22,12
Dhrasan Vel,0,11,23,16,17,1,2,32,0,32,2,1,13,20,0,0,34,32,,19,15,24,10,25,9,34,0,24,10
Vachhu,0,18,17,20,15,0,4,30,1,33,2,3,24,8,2,0,33,31,,23,12,26,9,31,4,35,0,24,11
Juni Dhrevad,0,15,20,18,17,0,2,33,0,33,2,2,22,11,2,0,33,33,,14,21,30,5,29,6,35,0,22,13
Navi Dhrevad,0,12,23,20,15,0,0,35,0,34,1,2,19,14,3,0,32,30,,16,19,30,5,30,5,35,0,15,20
Gorinja,0,17,18,29,6,0,2,33,0,34,1,4,19,12,0,0,35,31,,17,18,26,9,33,2,35,0,18,17
Okhamadhi,0,10,25,14,21,0,2,33,0,33,2,1,19,15,1,0,34,31,,15,20,25,10,26,8,35,0,21,14
Makanpur,0,25,10,32,3,0,2,33,0,33,2,1,28,6,0,0,35,33,,29,6,30,5,34,1,35,0,27,8
Kuranga,0,21,14,28,7,0,3,32,0,32,3,2,26,7,0,0,35,33,,29,6,29,6,33,2,35,0,26,9
Baradia - 513477,0,17,18,30,5,0,0,35,0,33,2,2,24,9,0,0,35,31,,28,7,28,7,32,3,35,0,24,11
Maripur,0,15,20,29,6,0,2,33,0,33,2,2,24,9,1,1,33,33,,30,5,26,9,32,3,35,0,26,9
AARAMBHADA,0,5,16,21,0,0,0,21,0,21,0,0,16,5,4,0,17,21,,18,3,21,0,20,1,21,0,21,0
Bhimrana - 513447  - 513447,0,46,10,53,3,0,2,54,0,56,0,2,45,9,9,0,47,54,,46,10,53,3,52,4,56,0,47,9
Varavala,0,53,17,68,2,0,3,67,0,66,4,3,63,4,0,0,70,66,,66,4,57,13,64,6,70,0,63,7
Vasai,0,63,14,71,6,0,3,73,1,77,0,3,69,5,1,0,76,76,,67,10,69,8,68,9,77,0,72,5
Batisa,0,26,9,32,3,0,2,33,0,33,2,1,31,3,0,0,35,33,,31,4,31,4,32,3,35,0,28,7
Gadhechi,0,62,8,68,2,0,3,67,0,67,3,1,66,3,0,0,70,68,,63,7,67,3,67,3,70,0,56,14
Mojap,0,30,5,33,2,0,2,33,0,33,2,1,31,3,0,0,35,33,,30,5,32,3,33,2,35,0,30,5
ANIYARI,0,23,12,31,4,0,0,35,0,34,1,0,28,7,0,0,35,30,,32,3,29,6,30,5,35,0,30,5
Shivrajpur,0,31,4,32,3,0,2,32,1,33,2,2,30,3,0,0,35,33,,30,5,33,2,34,1,35,0,28,7
Hamusar,0,28,7,34,1,0,2,33,0,33,2,2,30,3,0,0,35,33,,32,3,33,2,32,3,35,0,29,6
Goriyali,0,31,4,33,2,0,3,32,0,33,2,1,32,2,0,0,35,33,,32,3,32,3,32,3,35,0,31,4
Rajpara,0,30,5,34,1,0,2,33,0,34,1,2,30,3,0,0,35,33,,32,3,32,3,32,3,35,0,29,6
Rangasar,0,29,6,32,3,0,1,34,0,33,2,2,30,3,0,0,35,33,,32,3,33,2,32,3,35,0,31,4
