village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Arajanjina Muvada,0,0,35,35,0,0,31,4,0,34,1,4,15,16,0,0,35,3,,30,5,27,8,35,0,29,6,35,0
Jalundra Mota,0,0,35,35,0,0,2,33,0,34,1,8,12,15,0,0,35,1,,29,6,31,4,35,0,29,6,35,0
Bardoli (Bariya),0,5,30,29,6,0,24,11,0,35,0,13,21,1,0,0,35,0,,11,24,20,15,35,0,32,3,35,0
Udan,0,4,31,35,0,0,34,1,0,34,1,18,17,0,0,0,35,2,,26,9,25,10,35,0,27,8,35,0
Isanpur Dodiya,0,1,34,34,1,0,10,25,0,35,0,10,13,12,0,0,35,1,,34,1,26,9,35,0,33,2,35,0
Kantharpur,0,1,34,35,0,0,3,32,0,34,1,22,10,3,0,0,35,2,,28,7,25,10,35,0,31,4,35,0
Palaiya,0,0,35,35,0,0,32,3,0,35,0,16,14,5,1,1,33,3,,5,30,26,9,35,0,31,4,35,0
Ottampur,0,0,35,35,0,0,23,12,0,33,2,20,11,4,0,0,35,1,,16,19,21,14,35,0,28,7,35,0
Sambela,0,1,34,35,0,0,23,12,0,35,0,12,12,11,0,0,35,1,,29,6,25,10,35,0,31,4,35,0
Kanipur,0,1,34,33,2,0,21,14,0,34,1,13,18,4,0,0,35,2,,29,6,23,12,35,0,32,3,35,0
Mahudiya,0,1,34,35,0,0,23,11,1,34,1,10,17,8,0,0,35,0,,16,19,26,9,35,0,31,4,34,1
Amrajina Muvada,0,0,35,35,0,0,7,28,0,34,1,12,17,6,0,0,35,0,,11,24,28,7,35,0,30,5,35,0
Chiskari,0,1,34,33,2,0,24,11,0,34,1,11,16,8,0,0,35,0,,33,2,22,13,35,0,29,6,34,1
Devkaran Na Muvada,0,0,35,33,2,0,19,16,0,29,6,4,16,15,0,0,35,2,,12,23,23,12,35,0,26,9,35,0
Palundra,0,0,36,35,1,0,17,19,0,34,2,14,13,9,0,0,36,1,,21,15,27,9,36,0,30,6,36,0
Mithana Muvada,0,1,34,35,0,0,34,1,0,31,4,11,18,6,0,0,35,1,,34,1,29,6,35,0,32,3,34,1
Moti Pavthi,0,2,33,34,1,0,27,8,0,34,1,10,17,8,0,0,35,1,,20,15,24,11,35,0,30,5,35,0
Babra,0,0,35,33,2,0,31,3,1,35,0,17,17,1,0,0,35,0,,21,14,26,9,35,0,31,4,35,0
Harsoli,0,1,34,34,1,0,20,15,0,35,0,11,15,9,0,0,35,1,,23,12,19,16,35,0,31,4,35,0
Krishnanagar,0,1,34,34,1,0,20,15,0,35,0,22,13,0,0,0,35,2,,21,14,29,6,35,0,29,6,35,0
Dehgam,0,0,36,35,1,0,27,9,0,33,3,11,17,8,0,0,36,4,,6,30,33,3,36,0,28,8,35,1
Vasna Sogthi,0,0,35,34,1,0,18,17,0,35,0,7,15,13,0,0,35,0,,27,8,25,10,35,0,32,3,34,1
Kodrali,0,4,31,35,0,0,21,13,1,35,0,28,6,1,0,0,35,2,,29,6,22,13,35,0,30,5,35,0
Shiyavada,0,0,35,34,1,0,16,19,0,35,0,8,11,16,0,0,35,1,,29,6,28,7,35,0,35,0,35,0
Kamalbandh Vasna,0,0,35,35,0,0,12,23,0,34,1,7,17,11,0,0,35,2,,27,8,22,13,35,0,33,2,35,0
Jesa Chandna Muvada,0,0,35,35,0,0,9,26,0,34,1,13,15,7,0,0,35,1,,26,9,23,12,35,0,30,5,35,0
Kadjodra,0,1,34,35,0,0,19,16,0,33,2,13,12,10,0,0,35,2,,24,11,24,11,35,0,31,4,35,0
Hilol,0,1,34,35,0,0,24,11,0,35,0,10,12,13,0,0,35,2,,21,14,22,13,35,0,34,1,35,0
Bahiyel,0,0,34,34,0,0,19,15,0,32,2,8,14,12,0,0,34,0,,27,7,28,6,34,0,33,1,34,0
Shiyapur,0,0,35,35,0,0,14,21,0,34,1,11,10,14,0,0,35,3,,22,13,21,14,35,0,31,4,35,0
Morali Moti,0,0,35,34,1,0,5,30,0,35,0,10,14,11,0,0,35,1,,27,8,19,16,35,0,35,0,35,0
Bariya,0,1,34,35,0,0,21,14,0,34,1,11,16,8,0,0,35,2,,18,17,22,13,35,0,32,3,35,0
Jivajini Muvadi,0,0,35,34,1,0,9,26,0,35,0,11,15,9,0,0,35,2,,17,18,29,6,35,0,30,5,35,0
Hilol Vasna,0,1,34,33,2,0,19,16,0,35,0,11,10,14,0,0,35,1,,24,11,25,10,35,0,34,1,35,0
Bhadroda,0,2,33,35,0,0,33,2,0,35,0,22,11,2,2,0,33,0,,26,9,25,10,35,0,30,5,35,0
Vasana Chaudhary,0,3,32,35,0,0,22,13,0,35,0,16,11,8,0,0,35,4,,19,16,21,14,35,0,29,6,35,0
Bardoli (Kothi),0,1,34,35,0,0,2,33,0,35,0,13,10,12,0,0,35,0,,15,20,27,8,35,0,31,4,35,0
Ghamij,0,0,35,35,0,0,33,2,0,33,2,12,14,9,0,0,35,0,,28,7,20,15,35,0,27,8,35,0
Vatva,0,1,34,35,0,0,17,18,0,35,0,11,14,10,0,0,35,0,,13,22,22,13,35,0,32,3,35,0
Patna Kuva,0,1,34,34,1,0,32,3,0,35,0,10,21,4,0,0,35,2,,17,18,26,9,35,0,32,3,35,0
Najupura,0,1,34,35,0,0,24,11,0,35,0,8,23,4,0,0,35,2,,18,17,27,8,35,0,29,6,35,0
Hathijan,0,0,35,34,1,0,14,21,0,35,0,9,15,11,0,0,35,3,,25,10,17,18,35,0,32,3,35,0
