village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Lekawada,0,0,35,34,1,0,22,13,0,35,0,6,13,16,1,0,34,0,,24,11,25,10,34,1,31,4,35,0
Piplaj,0,0,35,35,0,0,20,15,0,34,1,6,9,20,0,0,35,0,,30,5,19,16,35,0,33,2,35,0
Dashela,0,1,34,33,2,0,29,6,0,35,0,6,12,17,0,0,35,2,,25,10,20,15,35,0,28,7,35,0
Alampur,0,0,35,35,0,0,30,5,0,33,2,15,9,11,1,0,34,3,,23,12,22,13,35,0,29,6,35,0
Nava Dharmpur,0,0,35,33,2,0,30,5,0,35,0,7,8,20,1,0,34,2,,25,10,23,12,35,0,32,3,35,0
Randheja,0,0,35,35,0,0,23,11,1,34,1,5,12,18,0,0,35,1,,28,7,15,20,35,0,32,3,35,0
Pindharada,0,5,30,32,3,0,25,10,0,34,1,11,10,14,1,0,34,2,,26,9,20,15,35,0,34,1,35,0
Vasan,0,0,35,35,0,0,26,9,0,34,1,4,11,20,0,0,35,5,,23,12,20,15,34,1,31,4,35,0
Giyod,0,0,35,35,0,0,32,3,0,34,1,4,7,24,0,0,35,2,,32,3,19,16,35,0,30,5,35,0
Isanpur Mota,0,0,35,35,0,0,35,0,0,34,1,5,9,21,0,0,35,2,,24,11,26,9,35,0,31,4,35,0
Pirojpur,0,0,35,35,0,0,33,2,0,34,1,5,11,19,0,0,35,0,,30,5,18,17,35,0,33,2,35,0
Galudan,0,5,30,34,1,0,32,3,0,35,0,19,6,10,0,0,35,0,,26,9,24,11,35,0,30,5,35,0
Raipur (OG),0,0,35,35,0,0,30,5,0,34,1,7,14,14,2,0,33,2,,33,2,25,10,35,0,29,6,35,0
Randesan (OG),0,0,35,33,2,0,31,4,0,35,0,3,8,24,1,0,34,0,,35,0,23,12,35,0,30,5,34,1
Dolarana Vasana,0,1,34,34,1,0,29,6,0,28,7,6,7,22,0,0,35,2,,27,8,27,8,35,0,29,6,35,0
Magodi,0,0,35,35,0,0,34,1,0,34,1,12,9,14,0,0,35,2,,23,12,26,9,35,0,31,4,35,0
Sonarda,0,0,35,34,1,0,27,8,0,32,3,5,17,13,0,0,35,2,,27,8,22,13,35,0,31,4,35,0
Por (OG),0,0,38,38,0,0,38,0,0,37,1,5,11,22,0,0,38,5,,33,5,22,16,38,0,37,1,38,0
Prantiya,0,0,35,35,0,0,32,3,0,34,1,3,12,20,0,0,35,3,,31,4,20,15,35,0,30,5,35,0
Chiloda (Naroda) (CT),0,0,20,20,0,0,18,2,0,20,0,2,1,17,0,0,20,2,,15,5,11,9,20,0,18,2,20,0
Sugad (OG),0,0,31,31,0,0,29,2,0,31,0,7,10,14,0,0,31,1,,29,2,21,10,31,0,30,1,31,0
Medra,0,4,31,34,1,0,30,5,0,35,0,14,10,11,2,0,33,4,,33,2,13,22,34,1,31,4,35,0
Titoda,0,0,35,33,2,0,35,0,0,32,3,7,19,9,1,0,34,0,,22,13,19,16,35,0,30,5,35,0
Chiloda (Dabhoda),0,0,35,35,0,0,33,2,0,32,3,4,15,16,0,0,35,5,,24,11,23,12,35,0,28,7,35,0
Shiholi Moti,0,0,35,35,0,0,33,2,0,33,2,4,9,22,0,0,35,0,,31,4,23,12,35,0,34,1,35,0
Vadodara,0,5,30,33,2,0,25,10,0,34,1,14,6,15,0,0,35,0,,29,6,20,15,35,0,34,1,35,0
Vira Talavdi,0,0,35,34,1,0,26,9,0,32,3,8,10,17,0,0,35,3,,31,4,24,11,33,2,30,5,35,0
Palaj (CT),0,0,38,38,0,0,38,0,0,38,0,4,12,22,4,0,34,5,,30,8,23,15,37,1,36,2,38,0
Sargasan (OG),0,1,34,32,3,0,29,6,0,35,0,10,10,15,2,0,33,1,,28,7,21,14,35,0,32,3,34,1
Raysan (OG),0,0,30,30,0,0,28,2,0,30,0,8,5,17,0,0,30,1,,28,2,21,9,30,0,27,3,30,0
Chhala,0,0,35,35,0,0,31,4,0,34,1,9,13,13,0,0,35,1,,16,19,16,19,35,0,32,3,35,0
Mahudara,0,0,35,35,0,0,33,2,0,34,1,6,9,20,0,0,35,2,,26,9,20,15,35,0,33,2,35,0
Pundarasan,0,0,35,33,2,0,30,4,1,35,0,3,18,14,0,0,35,1,,26,9,19,16,35,0,33,2,35,0
Unvarsad (OG),0,0,35,31,4,0,21,14,0,35,0,6,12,17,0,0,35,4,,25,10,19,16,35,0,32,3,35,0
Unava,0,0,35,34,1,0,27,8,0,35,0,3,10,22,0,0,35,4,,26,9,19,16,35,0,31,4,35,0
Rupal,0,0,35,35,0,0,32,3,0,31,4,7,16,12,0,0,35,2,,26,9,19,16,35,0,31,4,35,0
Valad,0,0,60,58,2,0,47,13,0,58,2,13,14,33,0,0,60,6,,45,15,37,23,60,0,54,6,60,0
Vankanerda,0,1,34,35,0,0,25,10,0,30,5,2,7,26,0,0,35,0,,28,7,23,12,35,0,31,4,35,0
Dabhoda,0,1,34,35,0,0,33,2,0,28,7,14,5,16,0,0,35,5,,27,8,22,13,35,0,32,3,35,0
Ranasan (OG),0,0,35,34,1,0,35,0,0,35,0,6,5,24,0,0,35,1,,21,14,22,13,35,0,31,4,35,0
Koteshwar (OG),0,1,21,22,0,0,15,7,0,15,7,6,7,9,0,0,22,0,,15,7,9,13,22,0,20,2,22,0
Ambapur (OG) - 511301,0,0,44,43,1,0,42,2,0,44,0,3,17,24,0,0,44,5,,41,3,21,23,44,0,42,2,43,1
Karai (OG),0,0,22,21,1,0,20,2,0,22,0,3,3,16,2,0,20,3,,15,7,13,9,22,0,19,3,21,1
Sardhav,0,0,35,34,1,0,24,11,0,35,0,3,14,18,0,0,35,1,,30,5,27,8,35,0,27,8,35,0
Sadra,0,1,34,35,0,0,31,4,0,35,0,7,10,18,0,0,35,2,,29,6,21,14,35,0,30,5,34,1
Rajpur,0,0,35,35,0,0,28,7,0,30,5,5,4,26,0,0,35,7,,29,6,26,9,35,0,31,4,35,0
Jalund,0,4,31,35,0,0,28,7,0,26,9,7,8,20,0,0,35,1,,30,5,27,8,35,0,35,0,34,1
Jakhora,0,0,35,35,0,0,22,12,1,30,5,6,10,19,0,0,35,1,,29,6,28,7,34,1,30,5,35,0
Kolvada (OG),0,0,35,35,0,0,32,3,0,32,3,1,23,11,0,0,35,1,,23,12,22,13,35,0,33,2,35,0
Adalaj (CT),0,0,35,35,0,0,33,2,0,34,1,2,10,23,0,0,35,3,,33,2,26,9,35,0,33,2,35,0
Dantali,0,0,35,33,2,0,31,4,0,35,0,3,7,25,0,0,35,3,,22,13,24,11,35,0,30,5,35,0
Shertha (OG),0,0,35,35,0,0,30,5,0,33,2,3,14,18,0,0,35,1,,28,7,19,16,35,0,34,1,35,0
Sonipur,0,0,35,35,0,0,30,4,1,34,1,9,12,14,0,0,35,1,,29,6,25,10,35,0,35,0,35,0
Chekhalarani,0,4,31,35,0,0,27,8,0,27,8,9,5,21,0,0,35,4,,26,9,28,7,34,1,33,2,35,0
Adraj Moti,0,0,35,34,1,0,35,0,0,26,9,8,11,16,0,0,35,6,,30,5,29,6,35,0,35,0,35,0
Vavol (CT),0,0,35,35,0,0,33,2,0,33,2,2,17,16,0,0,35,1,,25,10,19,16,35,0,35,0,35,0
Khoraj,0,0,35,33,2,0,33,2,0,34,1,2,12,21,2,0,33,4,,31,4,26,9,35,0,32,3,35,0
Madhavgadh,0,0,35,35,0,0,33,2,0,35,0,2,10,23,0,0,35,2,,27,8,19,16,35,0,34,1,35,0
Jamiyatpur (OG),0,0,35,35,0,0,32,3,0,34,1,3,3,29,1,0,34,1,,22,13,21,14,35,0,31,4,35,0
Ratanpur,0,0,35,33,2,0,33,2,0,35,0,2,10,23,0,0,35,0,,30,5,25,10,34,1,25,10,35,0
Zundal (OG),0,0,35,35,0,0,34,1,0,34,1,1,5,29,1,0,34,0,,28,7,27,8,34,1,29,6,35,0
Amiyapur (OG),0,0,38,38,0,0,35,3,0,37,1,5,10,23,0,0,38,4,,33,5,30,8,38,0,32,6,38,0
Dhanap,0,0,35,35,0,0,30,5,0,34,1,6,11,18,0,0,35,0,,24,11,20,15,35,0,32,3,35,0
Pethapur,0,0,35,33,2,0,30,5,0,33,2,6,11,18,1,0,34,3,,28,7,20,15,35,0,32,3,35,0
Bhoyan Rathod,0,0,35,35,0,0,32,3,0,33,2,3,20,12,1,0,34,1,,22,13,15,20,32,3,31,4,35,0
Lavarpur,0,0,35,35,0,0,30,5,0,34,1,5,7,23,1,0,34,3,,26,9,27,8,35,0,30,5,35,0
Shahpur,0,0,35,34,1,0,33,2,0,35,0,6,6,23,1,0,34,5,,32,3,28,7,35,0,33,2,35,0
Koba (OG),0,0,57,57,0,0,49,8,0,54,3,4,13,40,0,0,57,1,,45,12,36,21,57,0,47,10,57,0
Limbadia,0,0,38,37,1,0,38,0,0,37,1,3,15,20,0,0,38,2,,27,11,21,17,38,0,31,7,38,0
Chandrala,0,0,35,35,0,0,35,0,0,33,2,7,12,16,2,0,33,5,,20,15,16,19,35,0,30,5,35,0
Tarapur (OG),0,0,35,34,1,0,29,6,0,35,0,8,15,12,0,0,35,6,,25,10,18,17,35,0,33,2,35,0
