village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhabda,0,1,34,18,16,1,31,4,0,29,6,4,24,7,0,0,35,33,2,18,17,35,0,33,2,34,1
Palansva,0,1,34,10,24,1,27,8,0,16,19,1,25,9,0,0,35,29,6,19,16,35,0,33,2,35,0
Bhimasar,0,0,35,17,17,1,34,1,0,27,8,0,4,31,0,0,35,18,17,7,28,35,0,35,0,35,0
Nilpar,0,1,34,15,18,2,25,10,0,35,0,2,22,11,0,0,35,32,3,35,0,35,0,31,4,35,0
Palanpar,0,0,35,15,20,0,26,9,0,31,4,0,22,13,0,0,35,29,6,22,13,35,0,33,2,35,0
Vrajvani,0,0,35,18,16,1,33,2,0,23,12,0,5,30,0,0,35,28,7,27,8,35,0,35,0,35,0
Thanpar,0,0,35,14,20,1,26,9,0,27,8,0,4,31,0,0,35,29,6,10,25,35,0,33,2,35,0
Rav Moti,0,0,31,14,16,1,24,7,0,15,16,2,20,9,0,0,31,31,0,26,5,31,0,28,3,31,0
Varnun,0,0,35,14,18,3,34,1,0,26,9,1,6,28,0,0,35,33,2,19,16,35,0,32,3,35,0
Kumbhariya,0,0,35,21,14,0,31,4,0,25,10,6,22,7,0,0,35,29,6,18,17,35,0,35,0,35,0
Govindpar,0,0,35,20,15,0,27,8,0,24,11,3,24,8,0,0,35,31,4,26,9,35,0,34,1,35,0
Jadavas,0,0,35,21,12,2,28,6,1,24,11,5,20,10,0,0,35,33,2,26,9,35,0,33,2,35,0
Mauvana (Shivagadh),0,0,35,17,18,0,33,2,0,31,4,0,17,18,0,0,35,32,3,30,5,35,0,32,3,35,0
Vekra,0,0,35,12,21,2,33,2,0,24,11,1,5,29,0,0,35,33,2,16,19,35,0,33,2,35,0
Pratap Gadh,0,0,35,11,23,1,23,12,0,23,12,0,21,14,0,0,35,32,3,28,7,35,0,32,3,35,0
Vajepar,0,0,35,16,17,2,30,5,0,24,11,3,4,28,0,0,35,29,6,13,22,35,0,34,1,35,0
