village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gothaj,0,0,35,31,4,0,27,8,0,30,5,11,13,11,0,0,35,32,3,30,5,35,0,20,15,35,0
Bavra,0,0,35,30,5,0,16,19,0,26,9,9,17,9,1,0,34,33,2,30,5,35,0,20,15,35,0
Gadva,0,0,35,34,1,0,23,12,0,27,8,12,11,12,1,0,34,29,6,30,5,35,0,17,18,35,0
Khambhali,0,0,35,33,2,0,22,13,0,26,9,5,22,8,0,0,35,33,2,29,6,35,0,17,18,35,0
Ghodali,0,0,35,32,3,0,21,14,0,23,12,7,14,14,0,0,35,33,2,31,4,35,0,22,13,35,0
Pahad,0,0,35,32,3,0,22,13,0,27,8,8,17,10,0,0,35,30,5,25,10,35,0,16,19,35,0
Wanthvali,0,0,35,31,4,0,25,10,0,25,10,4,11,20,1,0,34,30,5,29,6,35,0,19,16,35,0
Nenpur,0,0,35,33,2,0,24,11,0,30,5,11,13,11,0,0,35,29,6,30,5,35,0,19,16,35,0
Kesra,0,0,35,31,4,0,22,13,0,27,8,10,14,11,1,0,34,29,6,31,4,35,0,22,13,35,0
Vansol Sundha,0,0,35,30,5,0,21,14,0,29,6,15,10,10,0,0,35,30,5,31,4,35,0,18,17,35,0
Sihunj,0,0,44,41,3,0,26,18,0,35,9,10,20,14,0,0,44,39,5,38,6,44,0,26,18,44,0
Sarsavani,0,0,37,33,4,0,22,15,0,31,6,5,23,9,0,0,37,32,5,34,3,37,0,25,12,37,0
Sojali,0,0,35,34,1,0,23,12,0,28,7,8,16,11,1,0,34,32,3,30,5,35,0,25,10,35,0
Vansoli,0,0,26,24,2,0,17,9,0,22,4,6,10,10,0,0,26,21,5,21,5,26,0,16,10,26,0
Navagam (Dolpura),0,1,34,34,1,0,23,12,0,26,9,3,17,15,0,0,35,31,4,31,4,35,0,15,20,35,0
Vamali,0,0,35,34,1,0,25,10,0,28,7,13,13,9,0,0,35,29,6,25,10,35,0,23,12,35,0
Kothipura,0,0,35,33,2,0,22,13,0,25,10,9,16,10,0,0,35,30,5,29,6,35,0,18,17,35,0
Umedpura,0,0,34,32,2,0,24,10,0,26,8,13,8,13,0,0,34,29,5,30,4,34,0,16,18,34,0
Kanij,0,0,35,30,5,0,20,15,0,31,4,5,15,15,0,0,35,29,6,28,7,35,0,21,14,35,0
Mankwa,0,0,35,35,0,0,25,10,0,28,7,10,9,16,0,0,35,30,5,31,4,35,0,21,14,35,0
Sansoli,0,0,35,32,3,0,22,13,0,31,4,6,13,16,3,0,32,32,3,23,12,35,0,25,10,35,0
Aklacha,0,0,35,29,6,0,21,14,0,28,7,10,17,8,1,0,34,31,4,28,7,35,0,17,18,35,0
Navchetan,0,0,35,35,0,0,25,10,0,30,5,9,16,10,0,0,35,31,4,28,7,35,0,24,11,35,0
Gokalpura,0,0,34,28,6,0,20,14,0,25,9,8,15,11,0,0,34,30,4,29,5,34,0,19,15,34,0
Sundha,0,0,35,31,4,0,25,10,0,30,5,10,13,12,1,0,34,31,4,29,6,35,0,23,12,35,0
Shatrunda,0,0,39,37,2,0,23,16,0,29,10,5,17,17,3,0,36,34,5,31,8,39,0,19,20,39,0
Haldarvas,0,0,35,32,3,0,23,12,0,28,7,10,12,13,0,0,35,32,3,27,8,35,0,17,18,35,0
Raska,0,0,35,34,1,0,23,12,0,30,5,7,11,17,0,0,35,33,2,28,7,35,0,22,13,35,0
Amsaran,0,0,35,29,6,0,23,12,0,27,8,7,15,13,0,0,35,32,3,27,8,35,0,17,18,35,0
Rinchhol,0,0,35,34,1,0,19,16,0,24,11,8,12,15,1,0,34,29,6,34,1,35,0,20,15,35,0
Ratanpura,0,0,24,23,1,0,17,7,0,19,5,5,9,10,0,0,24,18,6,23,1,24,0,16,8,24,0
Samaspur,0,0,35,31,4,0,23,12,0,30,5,7,11,17,1,0,34,34,1,31,4,35,0,20,15,35,0
Karoli,0,0,35,34,1,0,22,13,0,25,10,8,18,9,0,0,35,30,5,28,7,35,0,16,19,35,0
Rudan,0,0,42,36,6,0,26,16,0,35,7,13,13,16,1,0,41,36,6,37,5,42,0,24,18,42,0
Jaliya,0,0,35,29,6,0,24,11,0,29,6,7,15,13,0,0,35,30,5,28,7,35,0,20,15,35,0
Rohisa,0,0,35,32,3,0,25,10,0,29,6,7,16,12,0,0,35,29,6,30,5,35,0,25,10,35,0
Khatraj,0,0,35,33,2,0,23,12,0,27,8,7,14,14,0,0,35,32,3,27,8,35,0,18,17,35,0
Modaj,0,0,35,31,4,0,25,10,0,29,6,8,11,16,1,0,34,33,2,30,5,35,0,13,22,35,0
Malutaj,0,0,35,34,1,0,22,13,0,29,6,14,16,5,0,0,35,29,6,27,8,35,0,20,15,35,0
Devki Vansol,0,0,35,32,3,0,21,14,0,24,11,9,21,5,0,0,35,32,3,29,6,35,0,21,14,35,0
Chhapra,0,0,35,35,0,0,22,13,0,26,9,10,14,11,1,0,34,32,3,25,10,35,0,22,13,35,0
Sadra,0,0,35,33,2,0,27,8,0,29,6,14,13,8,1,0,34,32,3,27,8,35,0,18,17,35,0
Areri,0,0,35,35,0,0,23,12,0,30,5,10,10,15,0,0,35,27,8,29,6,35,0,20,15,35,0
Charan Na Muvada (Inami),0,0,35,33,2,0,27,8,0,24,11,7,12,16,0,0,35,29,6,32,3,35,0,21,14,35,0
Nani Adboli,0,0,35,32,3,0,25,10,0,23,12,10,15,10,0,0,35,31,4,29,6,35,0,20,15,35,0
Jinjar,0,0,35,32,3,0,21,14,0,31,4,8,13,14,0,0,35,29,6,31,4,35,0,22,13,35,0
Virol,0,0,35,32,3,0,23,12,0,24,11,5,12,18,0,0,35,31,4,28,7,35,0,20,15,35,0
Bar Muvada,0,0,47,41,6,0,32,15,0,35,12,11,16,20,0,0,47,41,6,36,11,47,0,31,16,46,1
Charan Na Muvada,0,0,20,19,1,0,11,9,0,18,2,4,10,6,0,0,20,20,0,16,4,20,0,12,8,20,0
Dajipura,0,0,35,33,2,0,19,16,0,28,7,7,12,16,0,0,35,33,2,28,7,35,0,19,16,35,0
Surajpura,0,0,35,33,2,0,30,5,0,27,8,10,12,13,1,0,34,31,4,29,6,35,0,21,14,35,0
Ghodasar,0,0,37,33,4,0,23,14,0,27,10,6,19,12,1,0,36,32,5,30,7,37,0,23,14,37,0
Katakpura,0,0,35,32,3,0,23,12,0,30,5,7,14,14,0,0,35,31,4,28,7,35,0,23,12,35,0
Kachhai,0,0,35,33,2,0,21,14,0,31,4,4,13,18,0,0,35,32,3,27,8,35,0,20,15,35,0
Iawa,0,0,35,31,4,0,21,14,0,28,7,7,19,9,0,0,35,33,2,28,7,35,0,19,16,35,0
Moti Adboli,0,0,35,34,1,0,24,11,0,25,10,8,16,11,1,0,34,32,3,26,9,35,0,18,17,35,0
Ajabpura,0,0,35,34,1,0,24,11,0,29,6,6,15,14,0,0,35,32,3,30,5,35,0,16,19,35,0
Vadadla,0,0,35,32,3,0,22,13,0,27,8,6,20,9,3,0,32,31,4,25,10,35,0,21,14,35,0
Hathnoli,0,0,40,36,4,0,31,9,0,28,12,9,17,14,0,0,40,35,5,30,10,40,0,25,15,40,0
Pahadiya,0,0,34,32,2,0,25,9,0,29,5,8,18,8,0,0,34,31,3,29,5,34,0,21,13,34,0
Varsola,0,0,35,34,1,0,20,15,0,28,7,7,18,10,0,0,35,32,3,29,6,35,0,15,20,35,0
Nani Timbali,0,0,28,23,5,0,19,9,0,18,10,7,11,10,0,0,28,26,2,23,5,28,0,14,14,28,0
Moti Timbli,0,0,35,34,1,0,21,14,0,29,6,6,14,15,0,0,35,32,3,27,8,35,0,20,15,35,0
Kuna,0,0,37,35,2,0,26,11,0,30,7,8,17,12,0,0,37,32,5,32,5,37,0,18,19,37,0
Jalampura,0,1,36,35,2,0,26,11,0,28,9,13,14,10,0,0,37,33,4,27,10,37,0,19,18,37,0
