village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ramol,0,1,34,31,4,0,16,19,0,29,6,5,6,24,0,0,35,3,,28,7,29,6,35,0,27,8,35,0
Vaso,0,0,35,28,7,0,18,17,0,28,7,3,5,27,0,0,35,0,,27,8,30,5,35,0,28,7,35,0
Mitral,0,0,35,30,5,0,23,12,0,26,9,3,15,17,2,0,33,1,,27,8,31,4,34,1,20,15,35,0
Gangapur,0,0,35,29,6,0,16,19,0,29,6,3,16,16,0,0,35,0,,27,8,29,6,35,0,22,13,33,2
Thaledi,0,0,35,27,8,0,18,17,0,25,10,9,13,13,1,0,34,2,,24,11,25,10,35,0,25,10,35,0
Laval,0,0,35,33,2,0,17,18,0,28,7,1,8,26,1,0,34,1,,24,11,29,6,35,0,26,8,35,0
Heranj,0,0,35,27,8,0,18,17,0,25,10,2,11,22,0,0,35,20,,28,7,29,6,35,0,26,9,34,1
Maliyataj,0,0,35,29,6,0,18,17,0,25,10,4,10,21,1,0,34,3,,26,9,29,6,35,0,25,10,33,2
Petli,0,0,35,32,3,0,21,14,0,27,8,6,18,11,2,0,33,3,,27,8,29,6,35,0,25,10,33,2
Run,0,0,35,31,4,0,18,17,0,27,8,4,5,26,2,0,33,4,,23,12,33,2,34,1,26,9,34,1
Zarol,0,1,34,30,5,0,23,12,0,29,6,6,14,15,1,0,34,0,,26,9,33,2,35,0,25,10,35,0
Deva Vanta,0,2,33,27,8,0,23,12,0,27,8,10,16,9,3,0,32,0,,31,4,30,5,35,0,16,19,34,1
Siholdi,0,1,34,31,4,0,20,15,0,27,8,2,10,23,0,0,35,0,,28,7,30,5,35,0,23,12,34,1
Pij,0,0,35,31,4,0,21,14,0,29,6,2,19,14,1,0,34,6,,23,12,26,9,35,0,25,10,35,0
Kaloli,0,0,35,32,3,0,23,12,0,25,10,10,7,18,2,0,33,1,,21,14,29,6,35,0,26,9,35,0
Rampura,0,1,34,29,6,0,24,11,0,31,4,7,13,15,2,0,33,3,,24,11,30,5,35,0,21,14,35,0
Alindra,0,1,34,30,5,0,20,15,0,29,6,5,16,14,1,0,34,3,,25,10,30,5,35,0,27,8,35,0
Bamroli,0,1,34,30,5,0,21,14,0,25,10,3,9,23,0,0,35,2,,20,15,26,9,35,0,22,13,35,0
Palana,0,0,35,29,6,0,16,19,0,24,11,6,9,20,0,0,35,22,,29,6,28,7,35,0,26,9,35,0
Khandhli,0,0,35,35,0,0,22,13,0,28,7,6,13,16,2,0,33,4,,26,9,30,5,35,0,27,8,34,1
Dantali,0,0,35,28,7,0,21,14,0,27,8,2,15,18,1,0,34,0,,27,8,31,4,35,0,23,12,34,1
Navagam,0,0,35,32,3,0,14,21,0,28,7,5,13,17,0,0,35,11,,25,10,26,9,35,0,28,7,34,1
