village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Amrapura,0,9,26,16,16,3,8,27,0,21,14,28,7,0,0,0,35,1,,35,0,32,3,35,0,0,35,35,0
Khodiyar Pura,0,6,25,25,5,1,12,19,0,21,10,25,3,3,0,0,31,0,,29,2,27,4,31,0,0,31,26,5
Baliyadev,0,3,33,5,30,1,7,29,0,21,15,14,19,3,0,0,36,8,,35,1,32,4,36,0,0,36,33,3
Galampura,0,11,28,5,32,2,13,26,0,25,14,33,6,0,0,0,39,1,,27,12,31,8,39,0,0,39,34,5
Ghansar,0,0,39,33,6,0,10,29,0,24,15,23,14,2,0,0,39,0,,38,1,24,15,39,0,0,39,38,1
Gajapura,0,5,32,14,23,0,14,23,0,21,16,20,17,0,0,0,37,2,,37,0,25,12,37,0,0,37,37,0
Sura Sultanpura,0,12,21,26,6,1,9,24,0,7,26,21,4,8,0,0,33,3,,33,0,23,10,33,0,0,33,33,0
Dhankuva,0,22,14,36,0,0,20,16,0,21,15,36,0,0,0,0,36,7,,36,0,26,10,35,1,0,36,36,0
Dabhan,0,4,31,34,1,0,16,19,0,21,14,26,9,0,0,0,35,0,,35,0,15,20,35,0,0,35,35,0
Muvala,0,5,29,13,20,1,0,31,3,19,15,21,12,1,0,0,34,2,,24,10,21,13,34,0,0,34,34,0
Rayanvadia,0,10,15,18,7,0,7,18,0,11,14,23,2,0,0,0,25,1,,24,1,11,14,24,1,0,25,25,0
Mota Handiya,0,1,27,14,14,0,0,26,2,14,14,18,7,3,0,0,28,0,,28,0,14,14,28,0,0,28,28,0
Panelav,0,22,17,16,13,10,4,31,4,23,16,35,3,1,0,0,39,0,,39,0,21,18,39,0,0,39,35,4
Kakara Dungri,0,14,23,23,13,1,6,25,6,17,20,28,5,4,0,0,37,0,,34,3,29,8,37,0,0,37,37,0
Chhatardivav,0,12,21,31,1,1,6,27,0,21,12,25,6,2,0,0,33,0,,27,6,10,23,33,0,0,33,33,0
Pratappura (Part),0,35,36,38,24,9,9,58,4,37,34,61,8,2,0,0,71,1,,68,3,49,22,71,0,0,71,69,2
Amrapuri,0,21,16,17,20,0,8,29,0,21,16,30,7,0,0,0,37,6,,30,7,33,4,37,0,0,37,37,0
Khareda,0,20,16,30,6,0,18,18,0,21,15,33,3,0,0,0,36,5,,21,15,33,3,36,0,0,36,36,0
Vanseti,0,26,7,30,3,0,11,22,0,18,15,30,3,0,0,0,33,2,,21,12,31,2,33,0,0,33,33,0
Koprej,0,10,28,28,10,0,0,36,2,24,14,35,3,0,0,0,38,0,,26,12,32,6,38,0,0,38,37,1
Ramjikhantna Muvada,0,18,19,33,4,0,21,16,0,24,13,25,7,5,0,0,37,1,,23,14,36,1,37,0,0,37,37,0
Jepura,0,22,9,13,18,0,8,21,2,16,15,28,2,1,0,0,31,5,,27,4,31,0,31,0,0,31,31,0
Nurpura,0,8,10,6,2,10,7,10,1,14,4,13,5,0,0,0,18,4,,17,1,16,2,18,0,0,18,18,0
Navagam,0,40,19,14,21,24,15,39,5,38,21,56,3,0,1,0,58,4,,47,12,56,3,57,2,0,59,59,0
Vadatalav,0,16,15,16,12,3,8,23,0,7,24,29,2,0,0,0,31,8,,17,14,17,14,31,0,0,31,31,0
Chhajdiwali,0,1,30,18,11,2,7,24,0,21,10,18,13,0,0,0,31,0,,24,7,15,16,31,0,0,31,31,0
Bamankuva,0,0,35,3,30,2,7,28,0,21,14,17,16,2,0,0,35,1,,30,5,23,12,35,0,0,35,35,0
Nathkuva,0,31,5,4,18,14,14,22,0,20,16,36,0,0,0,0,36,0,,33,3,32,4,36,0,0,36,36,0
Ranipura,0,17,18,16,16,3,15,20,0,21,14,32,3,0,0,0,35,1,,35,0,35,0,35,0,0,35,33,2
Mota Ankediya,0,2,33,0,32,3,0,32,3,20,15,18,15,2,0,0,35,0,,35,0,35,0,35,0,0,35,35,0
Navaria,0,12,13,1,10,14,9,16,0,19,6,22,3,0,0,0,25,0,,25,0,25,0,25,0,0,25,25,0
Takhatpura,0,3,31,29,2,3,10,24,0,18,16,20,14,0,0,0,34,0,,34,0,26,8,33,1,0,34,34,0
Gadit,0,1,35,7,24,5,19,17,0,36,0,28,7,1,0,0,36,0,,34,2,33,3,35,1,0,36,36,0
Nani Ranbhet,0,12,13,5,12,8,7,18,0,23,2,14,10,1,0,0,25,0,,25,0,17,8,25,0,0,25,25,0
Vaghbod,0,24,8,32,0,0,10,21,1,15,17,32,0,0,0,0,32,0,,32,0,21,11,32,0,0,32,32,0
Khareti,0,13,41,33,6,15,12,42,0,45,9,34,14,6,0,0,54,0,,52,2,21,33,53,1,0,54,53,1
Ambavadiya,0,7,31,29,8,1,8,30,0,28,10,24,13,1,0,0,38,1,,38,0,26,12,38,0,0,38,38,0
Hadabiya,0,10,28,25,13,0,12,26,0,38,0,27,11,0,0,0,38,0,,38,0,25,13,38,0,0,38,32,6
Rampura,0,6,6,12,0,0,6,6,0,12,0,9,3,0,0,0,12,2,,12,0,11,1,12,0,0,12,11,1
Radhanpur,0,0,35,15,13,7,6,26,3,35,0,13,21,1,0,0,35,0,,32,3,24,11,35,0,0,35,35,0
Timbi,0,21,13,29,5,0,11,23,0,9,25,21,12,1,0,0,34,0,,32,2,24,10,34,0,0,34,31,3
Maghasar,0,13,21,0,29,5,0,28,6,21,13,22,12,0,0,0,34,0,,33,1,34,0,34,0,0,34,34,0
Moti Ranbhet,0,12,25,0,31,6,0,34,3,23,14,27,10,0,0,0,37,0,,36,1,37,0,37,0,0,37,37,0
Vitthalpura,0,11,15,12,10,4,8,18,0,14,12,17,8,1,0,0,26,1,,26,0,24,2,26,0,0,26,26,0
Desar,0,3,32,21,13,1,18,17,0,22,13,27,8,0,0,0,35,2,,35,0,28,7,35,0,0,35,35,0
Bhamariya,0,0,31,20,10,1,8,23,0,22,9,17,14,0,0,0,31,0,,31,0,31,0,31,0,0,31,31,0
Chhan Talavdi,0,3,29,12,17,3,11,21,0,18,14,12,20,0,0,0,32,0,,32,0,22,10,32,0,0,32,32,0
Chhabapura,0,3,33,12,18,6,11,25,0,22,14,29,7,0,0,0,36,0,,36,0,26,10,36,0,0,36,36,0
Maruva,0,0,31,0,27,4,0,28,3,21,10,0,23,8,0,0,31,0,,31,0,28,3,31,0,0,31,31,0
Tajpura,0,2,14,9,4,3,4,12,0,4,12,6,10,0,0,0,16,0,,16,0,11,5,16,0,0,16,12,4
Nani Umarvan,0,28,9,2,28,7,14,22,1,20,17,32,5,0,0,0,37,1,,37,0,30,7,37,0,0,37,34,3
Bedhiyapura,0,6,29,18,15,2,7,28,0,21,14,17,16,2,0,0,35,1,,27,8,31,4,35,0,0,35,35,0
Maswad,0,11,33,0,38,6,0,41,3,22,22,21,22,1,0,0,44,0,,34,10,33,11,44,0,0,44,44,0
Rinchhbar,0,21,17,17,17,4,15,22,1,20,18,24,9,5,0,0,38,0,,38,0,21,17,38,0,0,38,38,0
Badharpuri,0,2,34,6,29,1,7,29,0,21,15,13,21,2,0,0,36,0,,35,1,27,9,36,0,0,36,36,0
Nana Handiya,0,17,14,5,20,6,2,27,2,14,17,23,8,0,0,0,31,0,,30,1,18,13,31,0,0,31,31,0
Halol,0,14,23,18,15,4,1,36,0,22,15,28,4,5,0,0,37,0,,33,4,30,7,37,0,0,37,37,0
