village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Masa,0,0,23,12,10,1,22,1,0,23,0,7,12,4,0,0,23,2,,17,6,21,2,23,0,23,0,23,0
Kathi,0,0,22,11,11,0,22,0,0,22,0,7,15,0,0,0,22,21,,22,0,2,20,22,0,22,0,22,0
Piplana,0,0,22,14,8,0,22,0,0,22,0,0,13,9,0,0,22,0,,22,0,22,0,22,0,6,16,22,0
Chabkha,0,0,22,13,9,0,22,0,0,22,0,9,12,1,0,0,22,22,,22,0,17,5,22,0,22,0,22,0
Sarval,0,0,23,13,9,1,22,1,0,23,0,6,13,4,0,0,23,18,,23,0,1,22,23,0,23,0,23,0
Manka (Juna-Nava),0,0,22,15,7,0,22,0,0,22,0,3,11,8,0,0,22,11,,22,0,15,7,22,0,22,0,22,0
Tornipur,0,0,22,7,13,2,22,0,0,22,0,1,16,5,0,0,22,6,,10,12,6,16,22,0,22,0,22,0
Roda,0,0,22,11,10,1,21,1,0,22,0,6,11,5,0,0,22,3,,16,6,20,2,22,0,22,0,22,0
Vansa,0,0,23,9,13,1,21,2,0,23,0,1,13,9,0,0,23,0,,13,10,18,5,23,0,22,1,23,0
Katara,0,0,22,11,11,0,21,1,0,22,0,11,11,0,0,0,22,6,,22,0,22,0,22,0,22,0,22,0
Jamanpur,0,0,22,13,9,0,22,0,0,22,0,11,11,0,0,0,22,7,,22,0,22,0,22,0,22,0,22,0
Harij,0,0,22,14,8,0,22,0,0,22,0,2,20,0,0,0,22,22,,22,0,22,0,22,0,22,0,22,0
Jaska,0,0,22,14,8,0,22,0,0,22,0,8,10,4,0,0,22,14,,22,0,22,0,22,0,22,0,22,0
Govna,0,1,22,12,11,0,23,0,0,23,0,7,16,0,0,0,23,2,,23,0,1,22,23,0,23,0,23,0
Khakhal,0,0,22,9,11,2,22,0,0,22,0,8,14,0,0,0,22,6,,0,22,22,0,22,0,22,0,22,0
Bhalana,0,0,22,12,10,0,17,5,0,22,0,4,13,5,0,0,22,0,,22,0,11,11,22,0,22,0,22,0
Malsund,0,0,22,4,15,3,22,0,0,22,0,3,16,3,0,0,22,0,,22,0,1,21,22,0,2,20,22,0
Piluvada,0,0,22,15,7,0,20,2,0,22,0,0,15,7,0,0,22,1,,22,0,4,18,22,0,22,0,22,0
Boratvada,0,0,22,12,10,0,22,0,0,22,0,1,11,10,0,0,22,4,,17,5,13,9,22,0,22,0,22,0
Khakhdi,0,0,22,12,10,0,22,0,0,22,0,3,15,4,0,0,22,7,,22,0,5,17,22,0,22,0,22,0
Dunavada,0,0,22,9,12,1,18,4,0,22,0,2,15,5,0,0,22,6,,22,0,21,1,22,0,22,0,22,0
Rughnathpura,0,0,23,9,12,2,22,1,0,23,0,10,12,1,0,0,23,0,,13,10,2,21,22,1,23,0,23,0
Savasda,0,0,22,12,10,0,22,0,0,22,0,7,10,5,0,0,22,21,,22,0,0,22,22,0,22,0,22,0
Sarer,0,0,23,15,7,1,22,1,0,23,0,2,13,8,0,0,23,1,,23,0,22,1,22,1,23,0,23,0
Tharod,0,1,21,16,6,0,22,0,0,22,0,16,5,1,0,0,22,8,,22,0,22,0,22,0,22,0,22,0
Nana,0,0,22,14,8,0,22,0,0,22,0,2,9,11,0,0,22,11,,22,0,0,22,22,0,0,22,22,0
Ravindra,0,0,22,16,6,0,22,0,0,22,0,0,10,12,0,0,22,2,,22,0,21,1,22,0,22,0,22,0
Sodhav,0,2,20,15,7,0,22,0,0,22,0,7,13,2,0,0,22,9,,22,0,0,22,22,0,22,0,22,0
Kalana,0,0,22,18,4,0,19,3,0,22,0,0,11,11,0,0,22,0,,22,0,20,2,22,0,22,0,22,0
Paloli,0,0,22,13,9,0,22,0,0,22,0,7,15,0,0,0,22,6,,22,0,2,20,22,0,20,2,22,0
Sankra,0,0,22,7,14,1,22,0,0,22,0,1,13,8,0,0,22,3,,20,2,17,5,22,0,22,0,22,0
Jasvantpura,0,0,22,7,13,2,22,0,0,22,0,9,13,0,0,0,22,2,,22,0,22,0,22,0,22,0,22,0
Vejavada,0,0,22,12,10,0,22,0,0,22,0,4,13,5,0,0,22,4,,11,11,0,22,22,0,22,0,22,0
Adiya,0,0,22,13,9,0,22,0,0,22,0,9,13,0,0,0,22,11,,22,0,9,13,22,0,22,0,22,0
Dantarvada,0,0,22,13,9,0,22,0,0,22,0,9,13,0,0,0,22,0,,22,0,0,22,22,0,22,0,22,0
Tamboliya,0,0,22,11,11,0,22,0,0,22,0,8,8,6,0,0,22,7,,22,0,13,9,22,0,22,0,22,0
Jasomav,0,0,22,10,11,1,22,0,0,22,0,5,13,4,0,0,22,0,,22,0,22,0,22,0,6,16,22,0
Kumbhana,0,0,22,10,11,1,22,0,0,22,0,6,16,0,0,0,22,6,,22,0,22,0,22,0,22,0,22,0
Ekalva,0,1,21,12,10,0,22,0,0,22,0,15,7,0,0,0,22,11,,22,0,22,0,22,0,22,0,22,0
Kureja,0,0,23,9,13,1,22,1,0,23,0,0,16,7,0,0,23,0,,23,0,22,1,23,0,1,22,23,0
Buda,0,2,20,12,10,0,22,0,0,22,0,4,5,13,0,0,22,19,,22,0,22,0,22,0,22,0,22,0
Kukrana,0,0,23,12,11,0,23,0,0,23,0,1,5,17,1,0,22,12,,10,13,22,1,23,0,23,0,23,0
Vaghel,0,0,22,13,9,0,22,0,0,22,0,4,13,5,0,0,22,7,,22,0,19,3,22,0,22,0,22,0
Aritha,0,0,22,13,9,0,22,0,0,22,0,0,6,16,0,0,22,12,,22,0,22,0,22,0,4,18,22,0
Rasulpura,0,0,22,15,7,0,21,1,0,22,0,0,6,16,0,0,22,11,,22,0,20,2,22,0,22,0,22,0
Vagosan,0,1,21,12,10,0,22,0,0,22,0,5,4,13,0,0,22,2,,22,0,17,5,22,0,22,0,22,0
