village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Katvana,0,4,32,11,17,8,32,4,0,36,0,26,0,10,0,0,36,36,0,16,20,36,0,36,0,36,0
Chhaya,0,0,36,11,17,8,22,14,0,34,2,14,0,22,0,0,36,14,22,14,22,36,0,15,21,14,22
Madhavpur,0,3,33,32,4,0,36,0,0,36,0,25,5,6,0,0,36,15,21,30,6,36,0,36,0,36,0
Mander,0,0,36,16,12,8,36,0,0,36,0,9,18,9,0,0,36,14,22,18,18,36,0,35,1,36,0
Mocha,0,5,31,32,4,0,36,0,0,36,0,24,10,2,0,0,36,14,22,36,0,36,0,36,0,36,0
Kadachh,0,1,35,14,16,6,36,0,0,36,0,22,14,0,0,0,36,35,1,12,24,36,0,35,1,36,0
Balej,0,6,30,31,5,0,36,0,0,36,0,23,12,1,0,0,36,14,22,35,1,36,0,36,0,36,0
Untada,0,3,33,33,3,0,36,0,0,36,0,23,12,1,0,0,36,31,5,34,2,36,0,36,0,36,0
Garej,0,0,36,36,0,0,36,0,0,36,0,15,21,0,0,0,36,22,14,16,20,36,0,31,5,36,0
Gosa,0,2,41,16,19,8,21,5,17,43,0,21,7,15,0,0,43,12,31,21,22,43,0,27,16,43,0
Mitrala,0,0,36,36,0,0,36,0,0,36,0,20,16,0,0,0,36,36,0,31,5,36,0,36,0,36,0
Delodar,0,0,36,36,0,0,36,0,0,36,0,17,18,1,0,0,36,21,15,18,18,36,0,16,20,36,0
Erada,0,0,36,35,1,0,36,0,0,36,0,20,16,0,0,0,36,29,7,33,3,36,0,36,0,36,0
Keshod (Lushala),0,1,35,14,12,10,14,7,15,36,0,12,0,24,0,0,36,1,35,14,22,36,0,27,9,14,22
Tukda Gosa,0,0,36,16,13,7,13,12,11,36,0,11,5,20,0,0,36,6,30,13,23,36,0,17,19,36,0
