village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Amli Dabda,0,8,24,28,4,0,16,16,0,25,7,14,4,14,0,0,32,27,5,15,17,32,0,23,9,32,0
Khota Rampura,0,4,32,33,3,0,16,20,0,27,9,11,4,21,0,0,36,35,1,19,17,36,0,30,6,36,0
Ghanawad,0,7,57,60,4,0,25,39,0,58,6,19,15,30,0,0,64,62,2,38,26,63,1,46,18,64,0
Kadvidadra,0,14,21,33,2,0,11,24,0,29,6,15,1,19,0,0,35,32,3,12,23,33,2,28,7,35,0
Chakra,0,8,31,35,4,0,18,21,0,33,6,19,9,11,0,0,39,39,0,14,25,39,0,25,14,39,0
Charni,0,20,21,37,4,0,20,21,0,37,4,21,9,11,0,0,41,39,2,18,23,39,2,34,7,41,0
Umarjhar,0,16,30,43,3,0,25,21,0,41,5,20,9,17,0,0,46,44,2,27,19,45,1,38,8,46,0
Umargot,0,4,25,25,4,0,14,15,0,28,1,10,5,14,0,0,29,26,3,12,17,26,3,17,12,29,0
Khodamba,0,0,3,3,0,0,1,2,0,0,3,0,1,2,0,0,3,3,0,1,2,3,0,1,2,3,0
Govat,0,1,14,10,5,0,5,10,0,15,0,5,5,5,0,0,15,15,0,7,8,15,0,10,5,15,0
Chitalda,0,9,31,37,3,0,22,18,0,38,2,15,8,17,0,0,40,40,0,17,23,40,0,26,14,40,0
Umarpada,0,24,28,48,4,0,22,30,0,43,9,33,6,13,0,0,52,48,4,31,21,50,2,34,18,52,0
Umarda,0,24,50,71,3,0,31,43,0,64,10,41,11,22,0,0,74,70,4,40,34,73,1,51,23,74,0
Umarkhadi,0,11,29,38,2,0,24,16,0,34,6,21,10,9,0,0,40,40,0,18,22,38,2,32,8,40,0
Kali jaman,0,10,31,39,2,0,20,21,0,32,9,22,7,12,0,0,41,40,1,17,24,41,0,28,13,41,0
Umbhariya,0,18,24,38,4,0,21,21,0,29,13,26,7,9,0,0,42,40,2,18,24,41,1,36,6,42,0
Gundikuva,0,7,29,34,2,0,16,20,0,34,2,18,5,13,0,0,36,35,1,15,21,35,1,27,9,36,0
Chavda,0,11,27,37,1,0,17,21,0,37,1,20,6,12,0,0,38,37,1,18,20,35,3,31,7,38,0
Sarvan Fokdi,0,21,26,44,3,0,24,23,0,44,3,25,8,14,0,0,47,47,0,21,26,47,0,33,14,47,0
Vadgam,0,5,29,34,0,0,17,17,0,32,2,14,10,10,0,0,34,33,1,13,21,33,1,26,8,34,0
Ambadi,0,13,7,19,1,0,13,7,0,16,4,14,4,2,0,0,20,18,2,10,10,20,0,16,4,20,0
Dongripada,0,17,55,65,7,0,31,41,0,64,8,35,12,25,0,0,72,68,4,31,41,68,4,48,24,72,0
Bilvan,0,17,50,57,10,0,29,37,1,56,11,31,14,22,0,0,67,60,7,25,42,67,0,52,15,67,0
Mandan(Pada),0,0,21,18,3,0,12,9,0,18,3,9,0,12,0,0,21,19,2,9,12,21,0,16,5,21,0
Pada,0,3,32,34,1,0,14,21,0,28,7,11,7,17,0,0,35,32,3,20,15,33,2,31,4,35,0
Chimipatal,0,13,31,43,1,0,24,20,0,44,0,16,12,16,0,0,44,43,1,18,26,41,3,34,10,44,0
Vadi,0,6,61,59,8,0,26,41,0,61,6,24,19,24,0,0,67,59,8,37,30,67,0,44,23,67,0
