village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dhedhuki,12,11,12,14,21,0,0,33,2,34,1,18,16,1,0,0,35,9,,29,6,32,3,33,2,22,13,35,0
Ovangadh,0,5,30,27,7,1,35,0,0,35,0,3,26,6,1,0,34,2,,32,3,30,5,33,2,14,21,35,0
Sayla,0,15,55,65,5,0,48,22,0,70,0,3,39,28,2,0,68,3,,64,6,53,17,67,3,26,44,70,0
Samatpar,0,6,29,31,4,0,27,8,0,35,0,1,15,19,0,0,35,0,,30,5,33,2,34,1,13,22,35,0
Ninama,2,18,15,30,5,0,22,13,0,35,0,3,30,2,1,0,34,0,,21,14,26,9,35,0,14,21,35,0
Doliya,0,5,30,27,8,0,26,9,0,35,0,3,12,20,0,0,35,1,,27,8,35,0,34,1,14,21,35,0
Vanta Vachh,0,6,29,25,10,0,35,0,0,35,0,8,17,10,1,0,34,3,,20,15,32,3,34,1,14,21,35,0
Thoriyali,0,5,30,26,9,0,35,0,0,35,0,2,15,18,0,0,35,13,,27,8,34,1,33,2,14,21,35,0
Garambhadi,0,0,35,28,7,0,21,14,0,34,1,15,13,7,0,0,35,14,,23,12,26,9,35,0,14,21,35,0
Kashipara,0,1,34,30,5,0,21,13,1,35,0,0,15,20,0,0,35,4,,35,0,22,13,34,1,12,23,35,0
Pipaliya,0,10,20,23,7,0,19,11,0,30,0,1,19,10,0,0,30,1,,9,21,26,4,30,0,15,15,30,0
Gangajal,0,4,31,32,3,0,35,0,0,35,0,7,18,10,0,0,35,0,,30,5,24,11,33,2,14,21,35,0
Nadala (Devgadh),0,5,30,30,5,0,35,0,0,35,0,14,9,12,0,0,35,10,,31,4,35,0,35,0,14,21,35,0
Nava Sudamda,8,13,14,9,26,0,16,19,0,35,0,11,18,6,1,0,34,6,,24,11,34,1,35,0,14,21,35,0
Vadiya,0,12,24,32,4,0,22,11,3,36,0,2,25,9,0,0,36,1,,36,0,24,12,34,2,11,25,36,0
Kesarpar,0,6,29,23,12,0,31,4,0,35,0,2,14,19,0,0,35,2,,32,3,33,2,35,0,15,20,35,0
Navagam,0,7,28,28,7,0,33,2,0,35,0,2,22,11,0,0,35,5,,34,1,28,7,34,1,14,21,35,0
Nana Haraniya,7,13,15,19,15,1,17,17,1,35,0,23,11,1,0,0,35,13,,32,3,32,3,34,1,15,20,35,0
Sokhada,8,14,15,13,24,0,17,20,0,37,0,14,21,2,0,0,37,10,,23,14,33,4,35,2,14,23,37,0
Aya,0,8,27,29,6,0,28,7,0,35,0,1,14,20,0,0,35,2,,34,1,34,1,34,1,14,21,35,0
Mota Kerala,3,14,18,17,17,1,22,11,2,35,0,8,19,8,0,0,35,4,,34,1,23,12,35,0,11,24,35,0
Vakhatpar,0,7,28,32,3,0,21,14,0,35,0,1,19,15,3,0,32,7,,34,1,22,13,33,2,12,23,35,0
