village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Thangadh,0,0,35,12,10,13,10,11,14,32,3,0,4,31,0,0,35,0,,18,17,34,1,35,0,2,33,35,0
Hirana,0,1,34,9,13,13,10,11,14,34,1,0,10,25,0,0,35,0,,19,16,34,1,35,0,6,29,35,0
Sarodi,0,0,35,8,14,13,10,12,13,35,0,0,8,27,0,0,35,5,,19,16,35,0,32,3,4,31,35,0
Kanpar,0,0,35,13,10,12,10,23,2,35,0,1,3,31,0,0,35,2,,20,15,35,0,35,0,7,28,35,0
Khakharavali,0,1,34,14,10,11,10,25,0,35,0,0,13,22,0,0,35,5,,21,14,35,0,35,0,18,17,35,0
Jamvali,0,0,35,9,12,14,8,27,0,35,0,0,10,25,0,0,35,0,,24,11,35,0,24,11,4,31,35,0
Chandreliya,0,1,34,21,1,13,6,15,14,33,2,2,22,11,0,0,35,0,,18,17,35,0,35,0,0,35,35,0
Velala (Sayla),0,1,34,13,9,13,12,9,14,35,0,4,7,24,0,0,35,0,,24,11,35,0,35,0,0,35,35,0
Morthala,0,2,33,16,5,14,8,19,8,33,2,3,11,21,0,0,35,5,,19,16,35,0,35,0,5,30,35,0
Gugaliyana,0,1,34,21,2,12,11,24,0,35,0,2,7,26,0,0,35,4,,19,16,35,0,31,4,3,32,35,0
Lakhamachi,0,0,35,14,9,12,8,26,1,34,1,0,19,16,0,0,35,2,,21,14,35,0,25,10,6,29,35,0
Manadasar,0,4,31,17,4,14,7,28,0,34,1,0,5,30,0,0,35,2,,19,16,35,0,35,0,4,31,35,0
Devaliya,0,2,33,10,11,14,8,27,0,34,1,0,10,25,0,0,35,0,,17,18,35,0,32,3,5,30,35,0
Khakharathal,0,0,35,16,5,14,9,26,0,33,2,3,8,24,0,0,35,0,,21,14,34,1,23,12,2,33,35,0
Nalkhambha,0,0,35,8,13,14,11,24,0,32,3,2,22,11,0,0,35,0,,18,17,35,0,31,4,5,30,35,0
Rupavati(Than),0,3,32,20,3,12,9,26,0,34,1,0,20,15,0,0,35,0,,24,11,33,2,27,8,1,34,35,0
Ravrani,0,10,25,13,9,13,10,25,0,35,0,2,10,23,0,0,35,0,,18,17,34,1,35,0,2,33,35,0
Varmadhar,0,0,35,14,7,14,11,10,14,35,0,2,9,24,0,0,35,2,,26,9,35,0,34,1,1,34,35,0
Anandpur (Than),0,0,35,10,13,12,11,10,14,34,1,4,10,21,0,0,35,0,,21,14,35,0,34,1,1,34,35,0
Amarapar,0,0,35,6,16,13,10,11,14,34,1,2,14,19,0,0,35,0,,24,11,35,0,35,0,11,24,35,0
Undvi,0,7,28,19,4,12,21,14,0,35,0,2,16,17,0,0,35,9,,26,9,35,0,33,2,1,34,35,0
Vijaliya,0,9,26,19,7,9,20,14,1,35,0,1,11,23,0,0,35,7,,28,7,32,3,34,1,0,35,35,0
Abhepar,0,0,35,21,3,11,3,32,0,35,0,4,6,25,0,0,35,0,,17,18,34,1,35,0,4,31,35,0
Songadh,0,0,35,20,1,14,7,28,0,35,0,1,13,21,0,0,35,0,,20,15,34,1,35,0,0,35,35,0
Sarsana,0,3,32,18,5,12,21,14,0,34,1,2,11,22,0,0,35,0,,25,10,35,0,24,11,0,35,35,0
Tarnetar,0,7,28,17,4,14,21,14,0,34,1,2,17,16,0,0,35,0,,22,13,34,1,23,12,0,35,35,0
Navagam (Than),0,8,27,18,4,13,21,14,0,35,0,1,28,6,0,0,35,0,,27,8,33,2,33,2,5,30,35,0
Rampara (Than),0,5,30,11,10,14,9,26,0,35,0,3,10,22,0,0,35,0,,20,15,35,0,33,2,1,34,35,0
Devpara(Than),0,0,35,19,3,13,10,25,0,31,4,2,7,26,0,0,35,0,,21,14,35,0,35,0,0,35,35,0
