village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bir Ferozari (364),0,0,0,168,122,1,209,82,0,290,1,0,4,287,14,0,277,267,24,290,1,290,0,0,0,271,20
Masumpur (201),0,0,0,13,35,0,13,35,0,48,0,0,0,48,0,0,48,48,0,48,0,48,0,0,0,48,0
Raipur Rani (CT),0,0,0,249,45,0,167,127,0,293,1,0,0,294,0,0,294,294,0,292,2,293,1,0,0,290,4
Kheri (10),0,0,0,162,115,79,88,257,11,356,0,0,0,356,6,0,350,274,82,194,162,356,0,0,0,348,8
Hangoli (266),0,0,0,40,323,38,96,217,88,348,53,0,0,401,0,0,401,395,6,353,48,399,2,0,0,147,254
Hangola (265),0,0,0,332,182,0,153,361,0,508,6,0,2,512,0,1,513,352,162,508,6,514,0,0,0,129,385
Haripur (13),0,0,0,96,134,93,96,227,0,323,0,0,0,323,0,0,323,323,0,323,0,323,0,0,0,323,0
Barauna Chhota (7),0,0,0,0,97,0,0,97,0,97,0,0,0,97,0,0,97,0,97,0,97,97,0,0,0,16,81
Sultanpur (203),0,0,0,51,27,0,13,63,2,77,1,0,0,78,0,0,78,78,0,78,0,78,0,0,0,55,23
Dandlawar (249),0,0,0,112,22,1,19,15,101,109,26,0,0,135,0,0,135,135,0,134,1,132,3,0,0,108,27
Narainpur (207),0,0,0,142,12,0,72,81,1,154,0,0,0,154,0,0,154,153,1,154,0,154,0,0,0,154,0
Rehna (204),0,0,0,56,60,0,4,112,0,101,15,0,0,116,40,0,76,27,89,71,45,116,0,0,0,5,111
Debar (202),0,0,0,34,2,0,6,30,0,36,0,0,18,18,0,0,36,35,1,34,2,36,0,0,0,0,36
Garhi Kotaha (245),0,0,0,79,97,0,12,161,3,176,0,0,0,176,0,0,176,151,25,64,112,176,0,0,0,128,48
Sarakpur (14),0,0,0,3,28,0,0,31,0,31,0,0,0,31,0,0,31,31,0,31,0,31,0,0,0,27,4
