village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Amarpur (457),0,5,7,0,9,3,0,5,7,0,0,1,9,2,0,0,12,12,0,11,1,12,0,0,0,12,0
Jandot (328),0,34,15,1,37,11,0,44,4,0,0,1,3,45,0,1,48,48,1,49,0,49,0,1,0,49,0
Jandehr (390),0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0
Bhatwara (326),0,45,5,1,32,17,0,44,5,0,0,1,1,47,1,1,47,49,1,50,0,50,0,0,0,50,0
Ladhyani (294),0,5,26,0,20,11,0,24,7,0,0,1,28,2,0,1,30,31,0,31,0,31,0,0,0,31,0
Bhater (298),0,34,3,0,28,9,0,28,9,0,0,0,30,7,1,0,36,37,0,37,0,37,0,0,0,37,0
Bari Majherwan (405),0,37,1,1,29,8,1,31,5,0,0,1,32,5,0,0,38,37,1,38,0,38,0,0,0,38,0
Mihara (291),0,7,0,0,5,2,0,7,0,0,0,0,6,1,0,0,7,7,0,7,0,7,0,0,0,7,0
Bhulswai (515),0,29,2,0,19,12,0,31,0,0,0,0,20,11,0,0,31,31,0,31,0,31,0,0,0,31,0
Tantha (510),0,25,4,0,23,6,0,27,2,0,0,0,28,1,0,0,29,28,1,29,0,29,0,0,0,29,0
Badhu (407),0,14,0,0,12,2,0,14,0,0,0,0,12,2,0,0,14,14,0,14,0,14,0,0,0,14,0
Naswal (384),0,46,1,0,41,6,0,47,0,0,0,0,45,2,0,0,47,46,1,47,0,47,0,0,0,47,0
Panol (456),0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Hatwar (340),0,43,26,0,59,10,0,68,1,0,0,0,42,27,0,0,69,68,1,69,0,69,0,0,0,69,0
Padohari (303),0,43,0,0,37,6,0,43,0,0,0,0,42,1,0,0,43,43,0,43,0,43,0,0,0,43,0
Lehri Sarail (272),0,50,1,1,48,2,0,50,0,0,0,1,45,5,0,1,50,51,0,50,1,51,0,0,0,51,0
Lohat (290),0,9,0,0,9,0,0,9,0,0,0,0,9,0,0,0,8,9,0,9,0,9,0,0,0,9,0
Chakrana (315),0,72,0,0,60,12,0,72,0,0,0,0,65,7,0,0,72,72,0,72,0,72,0,0,0,72,0
Malyawar (475),0,68,2,0,69,1,0,38,32,0,0,0,68,2,0,0,70,70,0,70,0,70,0,0,0,70,0
DPF Nain Gujran Tihra (475-1-2),0,13,0,0,13,0,0,7,6,0,0,0,13,0,0,0,13,13,0,13,0,13,0,0,0,13,0
Bhatoli (376),0,29,0,0,28,1,0,29,0,0,0,0,29,0,0,0,29,29,0,29,0,29,0,0,0,29,0
Hari Talyangar (273),0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,4,0,4,0,4,0,0,0,4,0
Seyo (385),0,55,0,0,52,3,0,55,0,0,1,0,53,2,0,0,54,53,1,53,2,54,0,1,0,54,0
Soi (435),0,39,0,1,31,7,0,35,4,0,0,0,36,3,1,0,38,39,0,36,3,39,0,0,0,39,0
Karangorha (406),0,6,0,0,5,1,0,6,0,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0
Jahri (391),0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Kasaru (389),0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Loharwin (440),0,77,0,0,77,0,0,76,1,0,0,0,77,0,0,0,77,77,0,77,0,77,0,0,0,77,0
Rohan (473),0,8,0,0,8,0,0,7,1,0,0,0,8,0,0,0,8,8,0,8,0,8,0,0,0,8,0
Awdhanni (451),0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Baloh (403),0,14,1,0,14,1,0,13,2,0,0,0,15,0,0,0,15,15,0,15,0,15,0,0,0,15,0
Baloh (476),0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,3,3,0,3,0,3,0,0,0,3,0
Lehra (482),0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Pater (372),0,14,0,0,14,0,0,14,0,0,0,0,14,0,0,0,14,14,0,14,0,14,0,0,0,14,0
Bahlu Kharyala (449),0,31,0,0,31,0,0,27,4,0,0,0,31,0,0,0,31,31,0,30,1,30,0,0,0,31,0
Talwara (351),0,5,0,0,5,0,0,5,0,0,0,0,5,0,0,0,5,5,0,5,0,5,0,0,0,5,0
Karloti (247),0,60,1,1,60,0,0,58,3,0,0,0,48,12,0,0,61,60,1,61,0,60,1,0,0,61,0
Ninawa (478),0,22,0,0,21,1,0,22,0,0,0,0,22,0,0,0,22,22,0,22,0,22,0,0,0,22,0
Kiari (452),0,30,0,0,30,0,0,30,0,0,0,0,30,0,0,0,30,30,0,30,0,30,0,0,0,30,0
Paniala (251),0,24,0,0,24,0,0,24,0,0,0,0,24,0,0,0,24,24,0,24,0,24,0,0,0,24,0
Awari Khalihn (468),0,20,0,0,20,0,0,20,0,0,0,0,20,0,0,0,20,20,0,17,3,20,0,0,0,20,0
Plasla (238),0,34,2,0,36,0,0,33,3,0,0,0,35,1,0,0,36,35,1,34,2,36,0,0,0,35,1
Tarontara (443),0,7,0,0,7,0,0,7,0,0,0,0,7,0,0,0,7,7,0,7,0,7,0,0,0,7,0
Pehrwin (469),0,36,0,0,36,0,0,35,1,0,0,6,30,0,0,0,36,36,0,36,0,36,0,0,0,36,0
Ghumarwin (436),0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,4,4,0,4,0,4,0,0,0,4,0
Bakroa (464),0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Sunali (243),0,7,0,0,7,0,0,6,1,0,0,0,6,1,0,0,7,7,0,6,1,7,0,0,0,7,0
Nunahli (499),0,6,0,0,6,0,0,6,0,0,0,0,6,0,0,0,6,6,0,6,0,6,0,0,0,6,0
Harlog (494),0,79,0,0,79,0,0,75,4,0,0,0,78,1,0,0,79,79,0,79,0,79,0,0,0,78,1
Barichauk (282),0,76,0,0,75,1,0,76,0,0,0,0,76,0,0,0,76,75,0,72,4,76,0,0,0,76,0
Chuwadi (455),0,41,0,0,41,0,0,41,0,0,0,0,40,1,0,0,41,41,0,41,0,41,0,0,0,41,0
Thandora (314),0,39,1,0,38,2,0,39,1,0,0,0,40,0,0,0,40,40,0,40,0,40,0,0,0,40,0
Sumari (316),0,31,1,0,31,1,0,32,0,0,0,0,31,1,0,0,32,32,0,32,0,32,0,0,0,32,0
