village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Neha Ser,0,0,8,1,3,4,7,1,0,8,0,7,0,1,0,1,7,8,0,8,0,8,0,8,0,6,2
Up Muhal Sarsai,0,0,53,29,9,15,16,25,12,39,14,41,4,8,0,13,40,51,2,48,5,49,4,53,0,43,10
Nagar (24/43),0,5,63,46,14,8,49,16,3,65,3,64,2,2,0,4,64,62,6,64,4,67,1,68,0,43,25
Matan,0,1,6,2,5,0,7,0,0,7,0,7,0,0,0,1,6,7,0,7,0,7,0,7,0,7,0
Nathan (24/45),0,2,59,21,30,10,33,21,7,60,1,55,3,3,0,1,60,61,0,60,1,60,1,61,0,35,26
Up Muhal Shangchar,0,0,12,8,3,1,8,2,2,9,3,8,1,3,0,8,4,12,0,11,1,11,1,12,0,8,4
Up Muhal Rangri,0,0,11,9,2,0,10,0,1,9,2,11,0,0,0,7,4,10,1,11,0,10,1,11,0,11,0
Muhal Riyara (22/30),0,0,14,12,2,0,7,7,0,4,10,12,0,2,0,4,10,14,0,14,0,13,1,14,0,10,4
Up Muhal Dobha,0,0,45,31,13,1,17,26,2,40,5,36,4,5,0,1,44,42,3,39,6,37,8,45,0,32,13
Up Muhal Rampur,0,0,2,1,1,0,1,1,0,2,0,2,0,0,0,1,1,2,0,2,0,2,0,2,0,1,1
Up Muhal Haripur,0,0,2,0,2,0,1,1,0,2,0,2,0,0,0,1,1,2,0,2,0,1,1,2,0,2,0
Up Muhal Jatehad,0,0,10,7,3,0,10,0,0,9,1,1,3,6,0,5,5,10,0,5,5,10,0,10,0,8,2
Muhal Bari (22/36),0,0,51,30,17,4,4,40,7,47,4,44,3,4,0,0,51,47,4,46,5,49,2,51,0,37,14
Chogin,0,0,7,7,0,0,6,1,0,6,1,7,0,0,0,0,7,7,0,7,0,7,0,7,0,7,0
Seobagh,0,2,77,41,19,19,32,38,9,64,15,77,1,1,0,0,79,79,0,70,9,79,0,79,0,72,7
Raugi,0,0,50,46,4,0,28,20,2,43,7,48,0,2,0,0,50,48,2,47,3,49,1,50,0,48,2
Muhal Bran (22/29),0,0,10,10,0,0,1,4,5,10,0,6,2,2,0,0,10,10,0,10,0,10,0,10,0,4,6
Hallan-I (24/42),0,0,33,11,22,0,25,8,0,33,0,33,0,0,0,1,32,33,0,28,5,25,8,33,0,20,13
Dobhi (28/61),0,0,60,37,17,6,23,28,9,57,3,55,4,1,0,0,60,60,0,60,0,60,0,59,1,47,13
Up Muhal Parsha,0,0,6,3,3,0,3,3,0,6,0,6,0,0,0,0,6,6,0,6,0,2,4,6,0,2,4
