village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Poh (173/1),0,1,9,7,3,0,7,3,0,10,0,10,0,0,0,0,10,0,,10,0,10,0,10,0,10,0,7,3
Shego (71/2),0,0,20,16,4,0,14,6,0,20,0,19,1,0,0,0,20,0,,19,1,19,1,20,0,20,0,19,1
Lara Khas (71/1),0,0,12,11,1,0,7,3,2,11,1,11,0,1,0,0,12,0,,12,0,11,1,12,0,12,0,11,1
Kaza Khas (70/1),0,0,14,11,3,0,12,2,0,4,0,14,0,0,0,0,14,0,,14,0,14,0,14,0,4,0,11,3
Mane Yogma (167/1),0,0,14,9,5,0,12,2,0,14,0,14,0,0,0,0,14,0,,13,1,14,0,14,0,14,0,11,3
Lidang (72),0,0,18,16,2,0,8,8,2,10,0,17,0,1,0,0,18,0,,18,0,14,4,18,0,10,0,14,4
Kee (62/1),0,0,24,17,7,0,14,10,0,23,1,24,0,0,0,0,24,0,,24,0,24,0,24,0,24,0,20,4
Tabo (174/1),0,0,7,7,0,0,7,0,0,6,1,7,0,0,0,0,7,0,,7,0,7,0,7,0,7,0,5,2
Mane Kogma (169),0,0,6,5,1,0,2,4,0,6,0,6,0,0,0,0,6,0,,5,1,5,1,6,0,6,0,6,0
Dhankhar (149/1),0,0,10,7,3,0,7,3,0,10,0,10,0,0,0,0,10,0,,9,1,10,0,10,0,10,0,10,0
Khurik (78),0,0,33,23,10,0,26,7,0,7,0,30,1,2,0,0,33,0,,33,0,31,2,33,0,7,0,33,0
Yarango Rangarik (77/2),0,0,19,13,6,0,14,5,0,4,0,19,0,0,0,0,19,0,,19,0,17,2,19,0,4,0,19,0
Marango Rangarik (77/1),0,0,20,18,2,0,14,6,0,1,0,20,0,0,0,0,20,0,,20,0,20,0,20,0,1,0,20,0
Keuling (74),0,0,4,4,0,0,0,4,0,4,0,4,0,0,0,0,4,0,,4,0,1,3,4,0,4,0,4,0
Kibber Khas (61/1),0,0,15,14,1,0,10,4,1,15,0,15,0,0,0,0,15,0,,14,1,13,2,15,0,15,0,15,0
Chicham Khas (56/1),0,0,17,16,1,0,3,12,2,17,0,17,0,0,0,0,17,0,,16,1,9,8,17,0,17,0,16,1
Chichong (40/2),0,0,5,5,0,0,0,3,2,5,0,5,0,0,0,0,5,0,,5,0,1,4,5,0,5,0,5,0
Losar Khas (40/1),0,0,26,24,2,0,2,20,4,26,0,26,0,0,0,0,26,0,,26,0,12,14,26,0,26,0,25,1
Demul Khas (155/1),0,0,10,9,1,0,8,2,0,10,0,10,0,0,0,0,10,0,,10,0,10,0,10,0,10,0,9,1
Sagnam (106/1),0,0,12,4,8,0,9,3,0,0,0,12,0,0,0,0,12,0,,12,0,12,0,12,0,0,0,12,0
Shushna (149/2),0,0,12,7,5,0,11,1,0,0,0,10,2,0,0,0,12,0,,12,0,12,0,12,0,0,0,12,0
Ka (100),0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
Mikam (98),0,0,6,4,2,0,4,2,0,0,0,6,0,0,0,0,6,0,,6,0,6,0,6,0,0,0,5,1
Barpa (92),0,0,25,17,8,0,25,0,0,0,0,25,0,0,0,0,25,0,,25,0,25,0,25,0,0,0,22,3
Siluk (149/3),0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,0,0,3,0
Kungri (97),0,0,18,12,6,0,17,1,0,0,0,16,1,1,0,0,18,0,,18,0,18,0,18,0,0,0,18,0
Hikam (68),0,0,22,13,9,0,22,0,0,0,0,22,0,0,0,0,22,0,,22,0,22,0,22,0,0,0,22,0
Sumling (79),0,0,6,5,1,0,6,0,0,0,0,6,0,0,0,0,6,0,,6,0,6,0,6,0,0,0,6,0
Khar (142),0,0,2,1,1,0,2,0,0,0,0,2,0,0,0,0,2,0,,2,0,2,0,2,0,0,0,2,0
Dhar Hal (59),0,0,8,5,3,0,8,0,0,0,0,8,0,0,0,0,8,0,,8,0,8,0,8,0,0,0,8,0
Todnam (141),0,0,3,2,1,0,3,0,0,0,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,0,0,3,0
Teling (130/1),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
Mud (128/1),0,0,3,2,1,0,3,0,0,0,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,0,0,3,0
Dhar Tamba Kurkur (47),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
Dhar Lagmi Chhumik (3),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
Kunge (154),0,0,3,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,,3,0,3,0,3,0,0,0,3,0
Kun (180/3),0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
Langja (66),0,0,6,4,2,0,5,1,0,0,0,6,0,0,0,0,6,0,,6,0,6,0,6,0,0,0,6,0
Kaza Soma (70/2),0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,,1,0,1,0,1,0,0,0,1,0
