village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Basantpur (119),0,0,63,45,14,4,62,1,0,0,0,60,2,1,0,0,63,52,11,62,0,63,0,0,0,61,2
Taror (112),0,0,38,26,7,5,38,0,0,0,0,37,1,0,0,0,38,22,16,37,1,36,1,0,0,36,2
Chalahal (192),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Shahli (194),0,0,22,17,4,1,22,0,0,0,0,22,0,0,0,0,22,22,0,22,0,22,0,0,0,20,2
Dargi (221),0,0,54,47,7,7,60,2,0,0,0,48,1,0,0,0,41,64,0,63,0,64,0,0,0,64,0
Shil (175),0,0,2,1,1,0,1,0,1,0,0,2,0,0,0,0,2,1,1,2,0,2,0,0,0,1,1
Dwarsu (178),0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
Juni Khurd (202),0,0,6,2,4,0,0,5,1,0,0,6,0,0,0,0,6,5,1,6,0,6,0,0,0,2,4
Jamog (200),0,0,36,10,23,3,7,23,6,0,0,35,1,0,0,0,36,10,26,36,0,32,3,0,0,5,31
Jamogra (183),0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
Bashailri-II (196),0,0,9,6,2,1,3,6,0,0,0,9,0,0,0,0,9,3,6,8,1,7,1,0,0,3,6
Bashailri -I (182),0,0,15,7,3,5,6,9,0,0,0,15,0,0,0,0,15,8,7,15,0,13,0,0,0,8,7
Shakrori (123),0,0,18,14,2,2,16,2,0,0,0,18,0,0,0,0,18,5,13,18,0,17,0,0,0,4,14
Ghariana (179),0,0,4,4,0,0,2,2,0,0,0,4,0,0,0,0,4,0,4,4,0,4,0,0,0,2,2
Gharaina (10),0,0,18,12,5,1,15,3,0,0,0,18,0,0,0,0,18,0,18,18,0,18,0,0,0,9,9
Tharu (32),0,0,45,36,9,0,42,3,0,0,0,45,0,0,0,0,45,44,1,0,0,38,7,0,0,44,1
Talah (43),0,0,20,16,4,0,20,0,0,0,0,20,0,0,0,0,20,20,0,0,0,12,7,0,0,17,3
Evag (144),0,0,6,0,4,2,5,1,0,0,0,6,0,0,0,0,6,6,0,0,0,6,0,0,0,0,6
Jubar (135),0,0,13,3,7,3,12,1,0,0,0,13,0,0,0,0,13,13,0,0,0,11,1,0,0,0,13
Rewag (174),0,0,8,2,4,2,7,1,0,0,0,8,0,0,0,0,8,7,1,1,1,7,1,0,0,3,5
Dadheog (185),0,0,13,2,10,1,9,4,0,0,0,13,0,0,0,0,12,12,1,0,0,8,2,0,0,0,13
Sharog (189),0,0,16,8,8,0,10,4,2,2,0,16,0,0,0,0,15,16,0,0,0,16,0,0,0,16,0
Panohi (222),0,0,24,16,7,1,21,3,0,0,0,24,0,0,0,0,23,24,0,16,0,24,0,0,0,24,0
Ghatru (160),0,0,24,12,10,2,20,4,0,0,0,24,0,0,0,0,24,23,1,0,0,24,0,0,0,24,0
Kangri (169),0,0,8,5,2,1,6,2,0,0,0,8,0,0,0,0,8,8,0,8,0,8,0,0,0,8,0
Raunla (176),0,0,7,1,4,2,4,2,1,0,0,7,0,0,0,0,6,7,0,7,0,7,0,0,0,5,2
Bagain (126),0,0,15,9,6,0,10,3,2,0,0,15,0,0,0,0,15,15,0,15,0,15,0,0,0,14,1
Nadukhar (129),0,0,60,8,31,21,56,2,2,0,0,60,0,0,0,0,57,60,0,59,1,60,0,0,0,60,0
Jajehr (93),0,0,11,11,0,0,10,1,0,0,0,11,0,0,0,0,11,11,0,10,1,11,0,0,0,11,0
Matogri (125),0,0,5,5,0,0,2,3,0,0,0,5,0,0,0,0,5,5,0,5,0,5,0,0,0,5,0
Panaihal (132),0,0,14,14,0,0,14,0,0,0,0,14,0,0,0,1,13,13,1,14,0,14,0,0,0,8,6
Nin (137),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
Jahndar (118),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Paniali (233),0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0
Berti (227),0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0
Nahra (234),0,0,26,18,8,0,25,0,1,0,0,25,0,0,0,0,24,26,0,26,0,26,0,0,0,26,0
Sohal (223),0,0,15,14,1,0,15,0,0,0,0,15,0,0,0,0,13,15,0,15,0,15,0,0,0,15,0
Nagar (218),0,0,2,2,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,0,0,0,2,0
