village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gurha Slathian,0,5,0,0,6,0,0,6,0,6,0,0,3,2,0,0,4,0,,0,6,6,0,5,0,6,0,6,0
Chak Ram Chand,0,2,0,0,2,0,0,2,0,2,0,0,0,2,0,0,1,0,,1,1,2,0,2,0,2,0,2,0
Gudwal,0,7,6,1,11,1,0,13,0,8,5,0,0,13,0,0,11,0,,1,12,12,1,13,0,13,0,11,2
Patti,0,3,7,0,10,0,0,10,0,4,6,0,0,10,0,0,10,0,,1,9,9,1,10,0,10,0,10,0
Sangwali,0,3,3,0,5,1,0,6,0,1,5,0,0,6,0,0,5,0,,0,6,5,1,6,0,6,0,6,0
Budwal,0,2,1,0,3,0,1,2,0,2,1,0,0,3,0,0,3,0,,0,3,3,0,3,0,3,0,3,0
Thalori Gujran,0,0,7,0,7,0,0,7,0,7,0,0,0,7,0,0,7,0,,1,6,6,1,7,0,7,0,7,0
Shri Partap Singh Pura,0,0,5,0,3,2,0,5,0,3,2,0,0,5,0,0,5,0,,0,5,5,0,5,0,5,0,5,0
Burj Sheru,0,0,5,0,5,0,0,5,0,5,0,0,0,5,0,0,5,0,,0,5,4,1,5,0,5,0,5,0
Chak Koor Singh,0,2,8,0,9,1,0,10,0,10,0,0,0,10,0,0,6,0,,0,10,8,2,10,0,10,0,10,0
Chhani Manhasan,0,3,5,0,7,1,0,8,0,3,5,0,0,8,0,0,8,0,,0,8,8,0,8,0,8,0,8,0
Bagla,0,4,30,0,29,6,0,34,1,25,10,0,0,22,0,0,18,0,,0,35,29,6,35,0,35,0,29,6
Kamala,0,0,6,0,4,2,0,6,0,4,2,0,0,6,1,3,2,0,,0,6,3,3,6,0,6,0,6,0
Dabuj Shahzada,0,0,4,0,4,0,0,4,0,3,1,0,0,4,0,0,4,0,,0,4,4,0,4,0,4,0,4,0
Gagore,0,2,3,1,4,0,0,5,0,3,2,0,0,5,0,0,2,0,,0,5,3,2,5,0,5,0,5,0
Koulpur,0,1,1,0,2,0,0,2,0,2,0,0,0,2,0,0,1,0,,0,2,1,1,2,0,2,0,2,0
Amwal,0,0,4,1,3,0,0,4,0,2,2,0,0,4,0,0,4,0,,0,4,2,2,4,0,4,0,4,0
Salmeri,0,0,6,0,6,0,0,6,0,5,1,0,0,6,0,0,5,0,,0,6,6,0,6,0,6,0,6,0
Rajinder Pura,0,0,5,0,5,0,0,5,0,5,0,0,0,5,0,0,5,0,,0,5,3,2,5,0,5,0,5,0
