village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Paharpur,0,25,68,22,71,0,12,77,5,94,0,3,35,55,0,46,47,0,,94,0,91,3,94,0,74,20,94,0
Bara Susni,0,60,77,99,38,0,4,123,10,137,0,14,34,89,0,104,31,0,,136,1,136,1,137,0,110,27,137,0
Mukrudih,0,25,50,6,69,0,1,63,11,75,0,13,24,38,0,27,48,0,,75,0,72,3,75,0,40,35,75,0
Palashdih Or Kankidih,0,0,5,0,5,0,0,5,0,5,0,1,1,3,0,2,3,0,,5,0,5,0,5,0,4,1,5,0
Muchidih,0,2,23,1,24,0,0,19,6,25,0,0,2,23,0,12,13,0,,25,0,22,3,25,0,18,7,25,0
Sukla,0,31,43,26,48,0,0,68,6,72,2,31,23,20,0,47,27,0,,74,0,72,2,74,0,50,24,74,0
Rasiknagar,0,68,61,60,68,1,7,110,12,128,1,30,46,53,0,94,35,0,,127,2,121,8,129,0,100,29,128,1
Andharjhor,0,12,36,35,13,0,0,47,1,48,0,0,33,15,0,30,18,0,,48,0,48,0,48,0,48,0,48,0
Dhobani,0,0,20,0,20,0,0,17,3,20,0,2,5,13,0,6,14,0,,20,0,20,0,20,0,11,9,20,0
Chamidih,0,40,43,8,75,0,0,79,4,83,0,1,34,48,0,22,61,0,,83,0,77,6,83,0,71,12,83,0
Kadamjora,0,52,93,33,112,0,4,140,1,145,0,2,38,105,0,33,112,0,,145,0,136,9,144,1,133,12,145,0
Chamta,0,1,1,1,1,0,0,2,0,2,0,0,0,2,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Beldih,0,12,4,4,12,0,1,15,0,16,0,2,5,9,0,11,5,0,,16,0,15,1,16,0,6,10,16,0
Baghra,0,16,12,10,18,0,1,27,0,28,0,0,14,14,0,16,12,0,,28,0,28,0,28,0,23,5,28,0
Boram,0,27,19,9,37,0,4,42,0,46,0,0,3,43,0,26,20,0,,46,0,45,1,46,0,25,21,46,0
Bangoi,0,45,27,48,24,0,1,71,0,72,0,4,32,36,0,52,20,0,,72,0,71,1,72,0,61,11,72,0
Bankada,0,23,14,26,11,0,1,36,0,35,2,5,14,18,0,33,4,0,,37,0,37,0,37,0,29,8,37,0
Bhula,1,148,162,234,77,0,3,305,3,303,8,18,114,179,0,245,66,0,,311,0,310,1,311,0,300,11,311,0
Laujora,0,25,10,25,10,0,0,31,4,35,0,3,14,18,0,24,11,0,,35,0,29,6,35,0,33,2,34,1
Bhuni,0,113,69,100,81,1,15,158,9,182,0,48,64,70,0,158,24,0,,181,1,178,4,182,0,142,40,182,0
Haludbani,0,20,20,20,20,0,1,38,1,40,0,8,18,14,0,29,11,0,,40,0,40,0,40,0,26,14,40,0
Gangiburu,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Joba,0,1,4,0,5,0,1,4,0,5,0,2,1,2,0,4,1,0,,5,0,5,0,5,0,0,5,5,0
Kuiyani,0,2,4,3,3,0,0,6,0,6,0,3,2,1,0,3,3,0,,6,0,6,0,6,0,3,3,6,0
Mohanpur,0,5,3,2,6,0,0,8,0,8,0,4,2,2,0,6,2,0,,8,0,8,0,8,0,7,1,8,0
Koera,0,13,8,10,11,0,0,21,0,19,2,8,6,7,0,13,8,0,,21,0,21,0,21,0,17,4,21,0
Sarangdih,0,3,3,2,4,0,0,6,0,6,0,2,2,2,0,3,3,0,,6,0,6,0,6,0,5,1,6,0
Chirudih,0,1,1,1,1,0,0,2,0,2,0,0,2,0,0,2,0,0,,2,0,2,0,2,0,2,0,2,0
Dangardih,0,4,0,4,0,0,1,3,0,4,0,1,0,3,0,4,0,0,,4,0,4,0,4,0,3,1,4,0
Amjhore,0,3,1,2,2,0,0,4,0,4,0,1,1,2,0,4,0,0,,4,0,4,0,4,0,3,1,4,0
Guglubani,0,4,2,6,0,0,0,6,0,6,0,1,3,2,0,3,3,0,,6,0,4,2,6,0,4,2,6,0
Kandrujana,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Chotta Chirka,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Dundu,0,2,1,2,1,0,0,3,0,3,0,1,1,1,0,1,2,0,,3,0,3,0,3,0,3,0,3,0
Chhota Susni,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,2,0,0,,2,0,2,0,2,0,1,1,2,0
Chunidih,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Bara Chirka,0,0,3,1,2,0,0,3,0,3,0,1,2,0,0,3,0,0,,3,0,3,0,3,0,1,2,3,0
Madhabpur,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Somadih,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Haludbani,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,1,0,1,0,1,0,1,0,1,0
Potkadih,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,,1,0,1,0,1,0,1,0,1,0
Gerua,0,71,20,62,29,0,5,84,2,91,0,24,24,43,0,82,9,0,,91,0,85,6,91,0,80,11,91,0
