village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Huhuwa,0,15,42,17,38,2,28,25,4,35,22,10,22,25,0,8,49,57,0,36,21,46,11,23,34,52,5
Gobardarha,0,1,26,1,23,3,4,18,5,18,9,0,5,22,0,10,17,27,0,13,14,8,19,1,26,17,10
Hesla,0,2,13,12,3,0,0,12,3,12,3,2,5,7,0,3,8,15,0,14,1,15,0,10,5,15,0
Gosa,0,7,2,1,8,0,4,4,1,4,5,0,2,7,0,5,4,9,0,5,4,8,1,1,8,2,7
Chhatarmandu,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Dohakatu,0,2,5,0,7,0,2,2,3,7,0,2,2,3,0,2,5,7,0,7,0,7,0,7,0,7,0
Gandke,0,7,21,3,25,0,22,5,1,7,21,2,6,20,0,4,23,28,0,17,11,28,0,10,18,28,0
Lodhma,0,2,2,0,4,0,3,1,0,3,1,1,2,1,0,1,3,4,0,3,1,2,2,2,2,4,0
Barlong,0,0,7,0,5,2,0,5,2,4,3,0,2,5,0,4,3,7,0,3,4,1,6,0,7,3,4
Kundru Khurd,0,6,9,0,15,0,7,5,3,0,15,3,5,7,0,1,14,15,0,14,1,15,0,1,14,15,0
Kundrukala,0,0,4,0,4,0,3,1,0,0,4,0,0,4,0,1,3,4,0,3,1,4,0,2,2,4,0
