village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Tukupani Gurgurchuan,0,64,52,8,107,1,20,87,9,105,11,11,71,34,0,49,67,0,,116,0,102,14,116,0,73,43,116,0
Alsanga,0,27,19,16,30,0,3,39,4,46,0,0,19,27,0,27,19,0,,46,0,40,6,46,0,27,19,46,0
Jambahar,0,69,10,11,68,0,5,68,6,69,10,0,75,4,0,16,63,0,,79,0,77,2,79,0,42,37,79,0
Gargarbahar,0,10,4,4,10,0,3,9,2,14,0,1,8,5,0,8,6,0,,14,0,12,2,13,1,5,9,14,0
Ranikudar,0,11,22,1,31,1,24,9,0,33,0,9,15,9,0,13,20,0,,33,0,23,10,33,0,19,14,33,0
Konbegi,0,9,3,3,9,0,0,12,0,10,2,0,10,2,0,6,6,0,,12,0,8,4,12,0,5,7,12,0
Kutniya,0,1,3,1,3,0,0,4,0,3,1,0,3,1,0,3,1,0,,4,0,4,0,4,0,2,2,4,0
Thethaitangar,0,57,35,12,78,2,21,65,6,87,5,11,54,27,0,47,44,0,,92,0,77,15,92,0,53,39,92,0
Meromdega,0,16,23,0,39,0,24,15,0,39,0,12,15,12,0,19,20,0,,39,0,22,17,39,0,22,17,39,0
Kesra,0,9,6,2,13,0,5,10,0,15,0,3,4,8,0,8,7,0,,15,0,10,5,15,0,10,5,15,0
Tapudega Pandripani,0,52,19,12,58,1,17,54,0,70,1,13,47,11,0,25,46,0,,71,0,52,19,70,1,33,38,71,0
Kasdega,0,53,21,18,56,0,4,67,3,61,13,0,58,16,0,41,33,0,,74,0,71,3,73,1,44,30,74,0
Gamharjhariya,0,13,14,1,26,0,13,14,0,27,0,13,8,6,0,10,17,0,,27,0,20,7,27,0,22,5,27,0
Anwrabahar,0,1,5,0,6,0,0,6,0,6,0,0,2,4,0,5,1,0,,6,0,5,1,6,0,2,4,6,0
Chidratoli,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,,1,0,1,0,1,0,0,1,1,0
Kerya,0,25,31,7,49,0,7,47,2,55,1,3,32,21,0,34,22,0,,56,0,46,10,56,0,31,25,56,0
Jampani,0,17,8,3,19,3,6,16,3,24,1,5,13,7,0,12,13,0,,25,0,17,8,24,0,7,18,24,1
Ambapani,0,7,0,1,6,0,2,5,0,7,0,0,6,1,0,6,1,0,,7,0,6,1,7,0,4,3,7,0
Taraboga,0,7,7,6,6,2,5,9,0,13,1,3,4,7,0,9,5,0,,14,0,13,1,14,0,6,8,14,0
Paikpara,0,13,15,6,21,1,6,19,3,28,0,3,10,15,0,20,8,0,,28,0,23,5,28,0,20,8,28,0
