village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Jaganur,0,0,199,135,20,44,76,52,71,153,46,0,0,199,20,0,179,0,,8,191,119,80,199,0,0,199,134,65
Mamadapur (Kk),0,0,24,16,1,7,8,7,9,17,7,0,0,24,3,0,21,0,,1,23,13,11,24,0,0,24,14,10
Nej,0,0,72,21,19,32,32,21,19,61,11,0,1,71,39,0,33,0,,24,48,51,21,71,1,0,72,26,46
Nanadi,0,2,229,108,26,97,63,83,85,172,59,0,4,227,109,0,122,0,,56,175,79,152,227,4,2,229,56,175
Sadalaga (Rural),0,0,75,25,7,43,45,25,5,70,5,0,9,66,34,0,41,0,,7,68,40,35,75,0,0,75,4,71
Nainglaj,0,1,272,133,51,89,3,115,155,190,83,0,0,273,1,0,272,0,,59,214,96,177,267,6,3,270,64,209
Malikwad,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,,0,1,0,1,1,0,0,1,0,1
Belkud,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,,0,1,1,0,1,0,0,1,0,1
Nagaramunnoli,0,0,11,6,3,2,11,0,0,6,5,0,0,11,11,0,0,0,,0,11,8,3,11,0,0,11,3,8
Itnal,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,,0,1,1,0,1,0,0,1,1,0
Chinchani,0,0,12,2,2,8,4,5,3,8,4,0,0,12,10,0,2,0,,1,11,7,5,12,0,0,12,6,6
Bambalwad,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,,0,1,1,0,1,0,0,1,1,0
Donawad,0,0,4,1,1,2,2,2,0,3,1,0,0,4,4,0,0,0,,0,4,4,0,4,0,0,4,0,4
Jodakurli,0,0,28,7,2,19,11,12,5,24,4,0,0,28,21,0,7,0,,1,27,16,12,28,0,0,28,2,26
Karagaon,0,0,10,3,5,2,6,4,0,10,0,0,0,10,10,0,0,0,,1,9,9,1,10,0,0,10,6,4
Belagali,0,0,3,1,1,1,3,0,0,0,3,0,0,3,2,0,1,0,,0,3,3,0,3,0,0,3,0,3
Umrani,0,0,5,2,0,3,2,3,0,4,1,0,0,5,5,0,0,0,,0,5,5,0,5,0,0,5,2,3
Vijayanagar,0,0,6,1,1,4,4,2,0,6,0,0,0,6,6,0,0,0,,0,6,4,2,6,0,0,6,1,5
Kabbur,0,0,37,8,7,22,18,19,0,30,7,0,0,37,35,0,2,0,,3,34,29,8,36,1,0,37,15,22
Chandur,0,0,2,1,0,1,0,2,0,1,1,0,0,2,0,0,2,0,,0,2,0,2,2,0,0,2,0,2
Yadur,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,0,1,0,1,1,0,0,1,0,1
Ingali,0,0,2,0,0,2,0,2,0,2,0,0,0,2,0,0,2,0,,1,1,0,2,2,0,0,2,0,2
Kerur,0,0,2,2,0,0,2,0,0,1,1,0,0,2,0,0,2,0,,0,2,2,0,2,0,0,2,0,2
