village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Yabaratti,0,3,180,58,47,78,46,113,24,140,43,0,5,178,94,0,89,16,167,39,144,159,24,2,181,56,127
Koligudda,0,2,184,51,45,90,14,138,34,144,42,0,2,184,88,0,98,8,178,103,83,178,8,1,185,57,129
Badabyakud,0,0,49,12,8,29,3,30,16,35,14,0,0,49,46,0,3,0,49,3,46,46,3,0,49,16,33
Harugeri,0,1,147,46,21,81,38,71,39,112,36,0,3,145,102,0,46,8,140,15,133,141,7,1,147,34,114
Byakud,0,0,91,35,2,54,0,27,64,65,26,0,0,91,45,0,46,13,78,54,37,83,8,1,90,4,87
Devanakatti,0,0,46,14,6,26,0,27,19,37,9,0,0,46,11,0,35,7,39,25,21,46,0,1,45,9,37
Hubbarwadi,0,0,92,38,12,42,0,52,40,54,38,0,0,92,13,0,79,2,90,64,28,92,0,5,87,28,64
Budihal,0,0,46,17,4,25,0,36,10,43,3,0,0,46,18,0,28,2,44,40,6,46,0,4,42,1,45
Biranal,0,0,41,22,4,15,0,10,31,30,11,0,0,41,4,0,37,6,35,23,18,41,0,0,41,4,37
Bommanal,0,0,47,10,2,35,2,11,34,43,4,0,0,47,44,0,3,12,35,27,20,42,5,0,47,4,43
Mantur,0,0,37,14,18,5,0,4,33,26,11,0,0,37,0,0,37,0,37,21,16,36,1,0,37,0,37
Jodahatti,0,0,4,1,3,0,0,0,4,4,0,0,0,4,0,0,4,0,4,2,2,4,0,0,4,0,4
Mekhali,0,0,88,39,47,2,1,2,85,51,37,0,0,88,32,0,56,3,85,31,57,88,0,1,87,5,83
Morab,0,0,5,1,2,2,0,1,4,5,0,0,0,5,0,0,5,0,5,5,0,4,1,0,5,0,5
Katakbhavi,0,0,2,0,2,0,0,0,2,1,1,0,0,2,2,0,0,0,2,0,2,2,0,0,2,0,2
