village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Agalakuppa,0,13,229,192,44,6,33,187,22,44,198,10,63,169,0,18,224,10,,102,140,181,61,203,39,5,237,235,7
Kambal,0,3,251,238,16,0,21,232,1,4,250,3,109,142,0,0,254,0,,100,154,204,50,253,1,0,254,254,0
Byrasandra,0,0,32,14,18,0,18,12,2,22,10,0,2,30,0,0,32,0,,17,14,20,12,32,0,0,32,32,0
Madalakote,0,4,40,40,4,0,8,17,19,11,33,5,17,22,0,11,33,0,,23,21,18,26,30,14,5,39,30,14
Kachanahalli,0,26,152,174,4,0,15,42,121,89,89,27,61,90,0,78,100,0,,82,96,43,135,106,72,6,172,112,66
Yeramanchanahalli,3,17,35,55,0,0,6,19,30,10,45,21,20,14,0,20,35,0,,21,34,11,44,31,24,3,52,41,14
Huralihalli,0,0,74,55,19,0,45,27,2,36,38,1,4,69,0,0,74,0,,28,46,40,34,74,0,1,73,74,0
Kempohalli,0,1,3,4,0,0,1,1,2,0,4,1,2,1,0,0,4,0,,2,2,1,3,4,0,0,4,2,2
Gangadharanapalya,0,0,8,7,1,0,0,1,7,6,2,0,1,7,0,5,3,0,,3,5,1,7,5,3,1,7,5,3
BARADI PALYA,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,0,1,1,0,0,1,0,1,1,0
Totanahalli,0,0,85,16,62,7,41,23,21,31,54,0,33,52,7,29,49,0,,20,65,3,82,69,16,5,80,56,29
Biragondanahalli,0,9,88,82,14,1,46,49,2,32,65,10,31,56,0,1,96,0,,16,81,68,29,32,65,4,93,77,20
Halenijagal,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,,0,1,1,0,0,1,0,1,1,0
Yelekyathanahalli,0,21,170,151,37,3,128,52,11,25,166,25,90,76,0,13,178,0,,40,151,125,66,35,156,2,189,150,41
Kenchanapura,0,7,287,71,151,72,129,142,23,45,249,7,40,247,0,41,253,0,,46,248,85,209,290,4,19,275,225,69
Jakkanahalli,0,1,207,12,149,47,9,96,103,49,159,1,58,149,0,135,73,1,,91,117,1,207,159,49,8,200,194,14
Minnapura,0,2,192,33,119,42,55,88,51,38,156,2,33,159,0,60,134,0,,84,110,0,194,176,18,8,186,177,17
Byrasettihalli,0,0,30,1,28,1,0,29,1,0,30,0,3,27,0,0,30,0,,7,23,0,30,30,0,7,23,30,0
Bettahalli,0,3,126,55,56,18,98,31,0,27,102,3,9,117,0,1,128,0,,102,27,1,128,128,1,6,123,99,30
Bolamaranahalli,0,1,54,0,36,19,0,42,13,4,51,1,8,46,0,8,47,0,,9,46,0,55,53,2,1,54,55,0
Obalapura,0,1,53,20,32,2,1,48,5,5,49,1,4,49,0,0,54,0,,0,54,21,33,53,1,4,50,53,1
Kuntbommanahalli,0,57,56,107,6,0,0,30,83,109,4,36,29,48,0,8,105,16,,104,9,90,23,111,2,7,106,113,0
Kalalghatta,0,1,46,33,13,1,1,41,5,1,46,1,19,27,0,0,47,0,,2,45,28,19,46,1,1,46,47,0
Hasurahalli,0,0,5,3,2,0,0,5,0,0,5,0,1,4,0,0,5,0,,0,5,4,1,5,0,0,5,5,0
Ballagere,0,0,37,14,22,1,1,32,4,7,30,0,1,36,0,0,37,0,,0,37,13,24,37,0,1,36,36,1
Baragoor,0,39,23,61,1,0,0,25,37,55,7,21,17,24,0,10,52,8,,56,6,58,4,61,1,1,61,59,3
Chikkannanahalli,0,18,6,17,7,0,0,18,6,24,0,7,15,2,0,6,18,12,,20,4,24,0,23,1,1,23,23,1
Maralakunte,0,3,5,7,1,0,0,5,3,8,0,6,2,0,0,5,3,5,,8,0,8,0,8,0,0,8,8,0
Chikkannanahalli,0,19,11,20,10,0,0,19,11,30,0,7,18,5,0,6,24,12,,26,4,28,2,29,1,2,28,29,1
Maralakunte,0,6,6,11,1,0,0,5,7,12,0,6,2,4,0,5,7,5,,12,0,10,2,12,0,0,12,12,0
Benchanahalli,0,0,4,3,1,0,0,4,0,0,4,0,1,3,0,0,4,0,,0,4,4,0,4,0,0,4,4,0
