village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Yerappanahalli,0,5,74,50,22,7,50,29,0,0,79,5,52,22,0,2,77,1,,13,66,61,18,72,7,0,79,73,6
Kannur (OG),0,2,17,13,6,0,11,8,0,1,18,3,4,12,0,0,19,2,,5,14,14,5,18,1,0,19,19,0
Mandur,0,0,9,9,0,0,1,3,5,7,2,0,3,6,0,0,9,0,,6,3,8,1,9,0,7,2,9,0
Bommenahalli,0,0,4,4,0,0,1,1,2,3,1,0,1,3,0,1,3,0,,3,1,2,2,4,0,2,2,4,0
Hancharahalli,0,0,5,4,1,0,1,3,1,5,0,0,3,2,0,0,5,0,,5,0,5,0,5,0,0,5,5,0
Chikkasandra,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,,1,0,1,0,1,0,0,1,1,0
Byappanahalli,0,0,12,11,1,0,3,7,2,12,0,0,6,6,0,0,12,0,,12,0,12,0,12,0,0,12,12,0
Kattugollahalli,0,1,19,20,0,0,1,5,14,16,4,0,6,14,0,3,17,0,,11,9,13,7,20,0,20,0,19,1
Thirumenahalli,0,0,15,14,1,0,1,4,10,8,7,0,1,14,0,2,13,0,,11,4,12,3,15,0,15,0,13,2
Kodigehalli,0,0,9,9,0,0,0,3,6,6,3,0,1,8,0,0,9,0,,7,2,3,6,8,1,8,1,7,2
Shringaripura,0,0,2,2,0,0,2,0,0,2,0,0,1,1,0,0,2,0,,0,2,2,0,2,0,2,0,2,0
Jothipura,0,2,16,13,4,1,5,5,8,11,7,0,5,13,0,1,17,0,,7,11,16,2,18,0,18,0,14,4
Adur,0,0,16,15,1,0,5,3,8,16,0,0,6,10,0,0,16,0,,16,0,16,0,16,0,0,16,16,0
Kadusonnappanahalli,0,1,15,15,1,0,0,2,14,8,8,0,1,15,0,1,15,0,,11,5,9,7,15,1,15,1,13,3
Gundur,0,4,11,14,1,0,0,10,5,15,0,0,3,12,0,1,14,0,,15,0,14,1,15,0,0,15,14,1
Kammasandra,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,,1,0,0,1,1,0,0,1,1,0
