village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Gowdanakere,0,0,13,13,0,0,5,8,0,12,1,0,13,0,0,0,13,0,,1,12,3,10,13,0,11,2,13,0
Kundalagurki,0,0,149,112,36,1,23,125,1,133,16,0,148,1,0,0,149,0,,77,72,43,106,149,0,126,23,149,0
Amani Dasenahalli,0,0,56,50,6,0,10,46,0,50,6,0,56,0,0,0,56,0,,13,43,25,31,56,0,45,11,56,0
Gollahalli,0,1,189,154,36,0,35,155,0,160,30,0,190,0,0,0,190,0,,109,81,27,163,190,0,152,38,190,0
Kempenahalli,0,0,6,6,0,0,0,6,0,5,1,0,6,0,0,0,6,0,,1,5,0,6,6,0,5,1,6,0
Anur Hunasenahalli,0,0,5,5,0,0,1,4,0,4,1,0,5,0,0,0,5,0,,3,2,0,5,5,0,2,3,5,0
Abbaludu,0,0,11,11,0,0,5,6,0,9,2,0,11,0,0,0,11,0,,2,9,0,11,11,0,8,3,11,0
Sidlaghatta (Rural),0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,,0,1,0,1,1,0,1,0,1,0
Gangapura,0,0,39,39,0,0,12,27,0,31,8,0,39,0,0,0,39,0,,22,17,7,32,39,0,25,14,39,0
Kachahalli,0,0,31,20,11,0,13,18,0,23,8,0,30,1,0,0,31,0,,18,13,5,26,31,0,28,3,31,0
Mallasettipura,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,0,2,0,,0,2,0,2,2,0,2,0,2,0
Siddapura,0,0,58,45,13,0,12,46,0,50,8,0,58,0,0,0,58,0,,14,44,13,45,58,0,45,13,58,0
Hujagur,0,0,4,4,0,0,0,4,0,2,2,0,4,0,0,0,4,0,,1,3,0,4,4,0,4,0,4,0
