village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Shivane,0,35,124,133,18,8,117,42,0,52,107,5,87,67,9,4,146,86,73,65,94,158,1,18,141,158,1
Shivanekaval,0,0,17,17,0,0,6,10,1,5,12,0,2,15,0,13,4,17,0,2,15,17,0,3,14,17,0
Masanekerekaval,0,9,37,43,3,0,10,31,5,39,7,2,33,11,0,35,11,45,1,23,23,46,0,31,15,46,0
Gowrapura,0,44,86,124,4,2,125,4,1,72,58,36,68,26,11,0,119,33,97,12,118,130,0,72,58,129,1
Bhaktana Katte,0,3,64,67,0,0,15,37,15,19,48,2,22,43,0,43,24,66,1,20,47,66,1,17,50,66,1
Rangapura,0,9,79,88,0,0,10,59,19,47,41,4,18,66,0,51,37,86,2,44,44,79,9,14,74,85,3
Dandoor,0,2,36,38,0,0,6,11,21,0,38,0,6,32,0,28,10,35,3,16,22,37,1,13,25,38,0
Kallenahalli,0,0,144,139,4,1,106,37,1,49,95,4,40,100,34,11,99,93,51,90,54,143,1,21,123,144,0
Thammihalli,0,0,13,13,0,0,13,0,0,9,4,0,0,13,0,0,13,10,3,13,0,13,0,0,13,13,0
Basavapura,0,8,22,30,0,0,8,18,4,8,22,1,12,17,0,2,28,30,0,9,21,30,0,3,27,30,0
Arabala,0,0,42,19,1,22,16,2,24,40,2,0,1,41,0,0,42,40,2,4,38,42,0,7,35,42,0
Beernahalli,0,2,39,41,0,0,1,28,12,7,34,1,0,40,0,0,41,41,0,23,18,41,0,2,39,41,0
Giriyapura,0,17,10,27,0,0,1,26,0,13,14,0,4,23,0,27,0,27,0,2,25,27,0,3,24,27,0
Hosahalli,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Southanahalli,0,1,35,36,0,0,17,19,0,27,9,0,1,35,0,15,21,36,0,10,26,36,0,8,28,35,1
Chinnapura,0,1,21,22,0,0,4,18,0,19,3,0,1,21,0,11,11,21,1,2,20,22,0,2,20,22,0
Katiganere,0,0,120,119,1,0,120,0,0,79,41,1,37,82,0,0,120,10,110,0,120,120,0,29,91,120,0
Garagadahalli,0,0,45,45,0,0,35,10,0,45,0,0,2,43,0,1,44,45,0,5,40,45,0,3,42,45,0
Hebbur,0,38,7,45,0,0,45,0,0,42,3,39,2,4,1,0,44,1,44,16,29,45,0,45,0,45,0
Malenahalli,0,0,55,54,1,0,54,0,1,13,42,3,41,11,0,0,55,26,29,0,55,55,0,6,49,55,0
Sollapur,0,0,83,82,1,0,77,6,0,36,47,1,14,68,24,3,56,4,79,7,76,83,0,3,80,82,1
Nandipura,0,0,3,3,0,0,3,0,0,0,3,1,2,0,0,0,3,3,0,3,0,3,0,1,2,3,0
Gijikatte,0,0,38,37,1,0,4,34,0,8,30,0,9,29,0,0,38,37,1,3,35,38,0,9,29,38,0
Bukkambudi,0,0,11,4,4,3,9,2,0,4,7,1,2,8,0,0,11,8,3,10,1,11,0,0,11,11,0
Jaldihalli,0,0,10,8,2,0,4,6,0,2,8,0,0,10,0,0,10,10,0,10,0,10,0,0,10,10,0
Anuvanahalli,0,56,89,145,0,0,144,1,0,131,14,5,111,29,0,1,144,132,13,86,59,145,0,1,144,145,0
Kanabagatte,0,12,48,60,0,0,60,0,0,48,12,0,56,4,0,0,60,34,26,35,25,60,0,0,60,60,0
Channapura,0,10,51,61,0,0,61,0,0,25,36,0,0,61,0,0,61,61,0,26,35,61,0,4,57,61,0
Baggavalli,0,13,97,110,0,0,109,0,1,25,85,26,4,80,0,0,110,82,28,29,81,110,0,1,109,110,0
Gondedahalli,0,12,41,53,0,0,53,0,0,29,24,0,8,45,0,0,53,52,1,0,53,53,0,0,53,53,0
Kurubarahalli,0,4,105,109,0,0,109,0,0,22,87,2,50,57,0,0,109,109,0,8,101,108,1,13,96,109,0
Guddadahalli,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
Boothanahalli,0,0,35,35,0,0,30,5,0,35,0,1,2,32,0,0,35,33,2,5,30,35,0,7,28,35,0
Karehalli,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
