village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Arban,0,145,0,9,136,0,28,117,0,145,0,0,145,0,0,0,145,145,0,145,0,145,0,145,0,145,0
Dandapur,0,81,0,5,76,0,9,72,0,81,0,0,80,1,0,0,81,81,0,81,0,81,0,81,0,81,0
Somapur,0,442,0,46,395,1,112,330,0,442,0,11,427,4,0,0,442,442,0,442,0,442,0,442,0,442,0
Hadali,0,263,0,17,246,0,107,156,0,263,0,0,261,2,0,0,263,263,0,263,0,263,0,263,0,263,0
Surkod,0,152,0,16,136,0,48,104,0,152,0,1,148,3,0,0,152,152,0,152,0,152,0,152,0,152,0
Peth,0,85,0,4,81,0,31,54,0,85,0,2,83,0,0,0,85,85,0,85,0,85,0,85,0,85,0
Nargund(Rural),0,273,1,116,158,0,80,194,0,274,0,6,267,1,0,0,274,167,107,269,5,274,0,274,0,274,0
Banahatti,0,250,0,29,221,0,51,199,0,250,0,21,227,2,1,0,249,250,0,250,0,250,0,250,0,250,0
Muganur,0,46,0,1,45,0,20,26,0,46,0,1,45,0,0,0,46,46,0,46,0,46,0,46,0,46,0
Kalakeri,0,162,0,10,152,0,49,113,0,162,0,3,159,0,0,0,162,162,0,162,0,162,0,162,0,162,0
Gurlakatti,0,26,0,0,26,0,0,26,0,26,0,0,26,0,0,0,26,26,0,26,0,26,0,26,0,26,0
Khanapur,0,18,0,0,18,0,13,5,0,18,0,0,18,0,0,0,18,18,0,18,0,18,0,18,0,18,0
Konnur,0,11,0,3,8,0,1,10,0,11,0,0,11,0,0,0,11,11,0,11,0,11,0,11,0,11,0
Hirekopppa,0,15,0,0,15,0,8,7,0,15,0,0,15,0,0,0,15,15,0,15,0,15,0,15,0,15,0
Madagunaki,0,20,0,3,17,0,4,16,0,20,0,0,20,0,0,0,20,20,0,20,0,20,0,20,0,20,0
Kanakikop,0,8,0,3,5,0,0,8,0,8,0,0,8,0,0,0,8,8,0,8,0,8,0,8,0,8,0
Radder Naganur,0,20,0,0,20,0,12,8,0,20,0,1,19,0,0,0,20,20,0,20,0,20,0,20,0,20,0
