village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Rattihalli,2,48,26,20,55,1,21,55,0,75,1,25,44,7,0,0,76,50,26,7,69,76,0,26,50,57,19
Parvata Shidgeri,1,44,14,0,49,10,12,46,1,58,1,30,23,6,28,2,29,6,53,1,58,59,0,53,6,48,11
Khandibagur,1,52,13,0,57,9,16,50,0,65,1,34,17,15,15,0,51,1,65,8,58,66,0,35,31,52,14
Chikkayadachi,0,21,18,0,11,28,14,25,0,35,4,7,23,9,29,2,8,0,39,3,36,38,1,31,8,31,8
Chikkamoraba,4,85,48,12,118,7,40,94,3,136,1,67,32,38,24,0,113,7,130,42,95,137,0,107,30,126,11
Hiremoraba,1,64,45,7,93,10,51,59,0,110,0,13,73,24,69,0,41,5,105,17,93,109,1,99,11,95,15
Ramatirta,4,10,0,1,13,0,13,1,0,13,1,13,1,0,9,0,5,0,14,0,14,14,0,14,0,13,1
Hiremadapur,0,16,39,0,54,1,0,55,0,54,1,1,54,0,0,0,55,1,54,8,47,54,1,51,4,6,49
Kenchayikoppa,0,0,2,0,2,0,0,2,0,2,0,0,2,0,0,0,2,0,2,1,1,2,0,2,0,0,2
Kadur,0,4,9,0,13,0,0,13,0,13,0,0,13,0,0,1,12,1,12,0,13,13,0,13,0,0,13
Tadakanahalli,1,23,7,0,27,4,16,15,0,31,0,11,18,2,0,0,31,0,31,1,30,31,0,28,3,29,2
Bullapur,0,2,4,0,6,0,0,6,0,6,0,0,6,0,0,0,6,2,4,1,5,6,0,6,0,0,6
Kudapali,0,1,2,0,3,0,0,3,0,3,0,0,3,0,0,0,3,0,3,1,2,3,0,3,0,0,3
Nagawand,9,111,42,7,148,7,65,97,0,160,2,44,102,16,0,0,162,0,162,17,145,161,1,153,9,158,4
Galaginakatti,0,39,16,2,46,7,12,43,0,55,0,19,30,6,0,1,54,0,55,22,33,55,0,51,4,51,4
Hallur,0,23,2,4,21,0,15,10,0,25,0,18,6,1,0,0,25,11,14,9,16,25,0,23,2,25,0
Hirekabbur,8,51,5,16,48,0,41,23,0,64,0,51,11,2,0,0,64,23,41,17,47,64,0,63,1,63,1
Chikkabbar,0,7,1,1,7,0,6,2,0,8,0,2,5,1,0,0,8,1,7,1,7,8,0,4,4,8,0
