village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Chillur Badni,1,37,286,6,294,24,0,315,9,294,30,33,210,81,0,30,294,0,324,115,209,321,3,278,46,87,237
Ichangi,1,50,377,22,401,5,2,419,7,419,9,85,223,120,2,30,396,26,402,137,291,427,1,247,181,186,242
Kaliwal,0,1,30,6,24,1,0,31,0,31,0,1,14,16,0,0,31,2,29,29,2,31,0,31,0,2,29
Chowdala,0,0,20,0,20,0,0,20,0,19,1,1,16,3,0,0,20,0,20,0,20,20,0,11,9,0,20
Bevinahalli,0,5,111,0,111,5,0,115,1,109,7,17,70,29,1,3,112,3,113,13,103,114,2,44,72,67,49
Tondur,3,79,33,0,93,22,16,98,1,112,3,26,68,21,20,0,95,0,115,4,111,111,4,63,52,103,12
Kunimellihalli,4,27,31,12,48,2,20,41,1,61,1,13,23,25,6,0,56,28,34,7,55,62,0,35,27,54,8
Hattimattur,2,63,79,4,138,2,37,106,1,144,0,7,75,62,2,3,139,5,139,16,128,140,4,125,19,107,37
Neeralagi-Mahal-Karadgi,0,9,32,0,41,0,22,19,0,41,0,0,32,9,1,0,40,1,40,1,40,40,1,35,6,36,5
Kadakola,7,31,46,8,74,2,26,58,0,84,0,5,34,45,0,2,82,11,73,13,71,82,2,66,18,77,7
Hiremugadur,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0
Mannangi,2,91,90,1,172,10,36,147,0,182,1,40,93,49,12,0,171,4,179,4,179,175,8,154,27,180,3
Allipura,0,25,51,0,75,1,7,68,1,75,1,2,37,37,1,0,75,0,76,6,70,71,5,62,14,69,7
Jallapur,8,14,0,8,13,1,17,5,0,22,0,21,0,1,0,0,22,2,20,0,22,22,0,5,17,22,0
Kalmadavu,2,2,1,2,3,0,4,1,0,5,0,1,3,1,0,0,5,3,2,2,3,5,0,2,3,5,0
Melligatti,5,7,3,7,8,0,12,3,0,15,0,10,1,4,0,0,15,5,10,3,12,15,0,3,12,14,1
SHEVALALPURU,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
