village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Ladlapur,0,148,101,249,0,0,249,0,0,249,0,36,173,40,0,0,249,0,,0,249,3,246,249,0,239,10,248,1
Margol,0,22,264,281,5,0,286,0,0,286,0,0,12,274,0,0,286,0,,1,285,16,270,286,0,247,39,286,0
Malkood,0,25,128,150,3,0,153,0,0,152,1,0,14,139,0,0,153,0,,0,153,1,152,153,0,129,24,153,0
Belgumpa,0,22,249,271,0,0,271,0,0,270,1,0,19,252,0,0,271,1,,1,270,39,232,271,0,255,16,270,1
Bhankalga,0,64,194,255,3,0,258,0,0,258,0,0,25,233,0,0,258,2,,1,257,14,244,258,0,184,74,258,0
Gandhinagar,0,1,80,81,0,0,81,0,0,81,0,1,5,75,0,0,81,0,,0,81,4,77,81,0,60,21,80,1
Mudbol,0,5,30,35,0,0,35,0,0,35,0,0,0,35,0,0,35,0,,0,35,0,35,35,0,29,6,35,0
Evani,0,39,242,280,1,0,281,0,0,281,0,0,3,278,0,0,281,0,,0,281,1,280,281,0,214,67,281,0
Malgatti,0,6,98,103,1,0,104,0,0,104,0,0,10,94,0,0,104,0,,0,104,0,104,104,0,82,22,104,0
Kolkunda,0,14,85,99,0,0,99,0,0,99,0,0,4,95,0,0,99,0,,1,98,2,97,99,0,89,10,98,1
Alhalli,0,13,38,50,1,0,51,0,0,51,0,0,3,48,0,0,51,0,,0,51,2,49,51,0,38,13,51,0
Kollur,0,21,138,159,0,0,159,0,0,159,0,0,20,139,0,0,159,0,,0,159,0,159,158,1,120,39,158,1
Kolkunda,0,14,85,99,0,0,99,0,0,99,0,0,4,95,0,0,99,0,,1,98,2,97,99,0,89,10,98,1
Alhalli,0,27,158,182,3,0,184,1,0,185,0,0,8,177,0,0,185,0,,0,185,5,180,185,0,151,34,184,1
Kollur,0,35,191,226,0,0,226,0,0,226,0,0,29,197,0,0,226,0,,0,226,0,226,225,1,165,61,225,1
Rampurhalli,0,4,73,75,2,0,77,0,0,77,0,0,3,74,0,0,77,0,,0,77,0,77,77,0,60,17,76,1
Bhagodi,0,20,289,125,94,90,305,4,0,298,11,59,121,129,2,2,305,1,,9,300,6,303,291,18,136,173,298,11
Yergal,0,11,149,129,7,24,159,1,0,159,1,20,15,125,0,0,160,0,,0,160,4,156,159,1,76,84,154,6
Kaddargi,0,23,144,167,0,0,167,0,0,167,0,0,4,163,0,0,167,0,,0,167,1,166,167,0,140,27,167,0
Sonthi,0,1,30,31,0,0,31,0,0,31,0,0,0,31,0,0,31,0,,0,31,0,31,31,0,8,23,30,1
Halkatta,0,3,49,21,7,24,52,0,0,51,1,11,20,21,0,0,52,0,,3,49,1,51,43,9,18,34,43,9
Gundagurthi,0,6,25,30,1,0,31,0,0,31,0,0,2,29,0,0,31,0,,0,31,1,30,31,0,11,20,31,0
