village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dombrahalli,0,26,68,7,24,63,0,23,71,47,47,7,44,43,6,4,84,12,,75,19,48,46,93,1,14,80,90,4
Advimallanakeri,0,183,69,58,124,70,0,117,135,207,45,39,125,88,48,4,200,14,,192,60,135,117,252,0,36,216,251,1
Hirehadagalli,26,215,89,20,220,90,0,196,134,139,191,112,173,45,153,12,165,37,,241,89,116,214,330,0,71,259,318,12
Ittigi,0,46,8,11,28,15,0,22,32,40,14,13,22,19,19,1,34,0,,41,13,21,33,54,0,14,40,54,0
Varakanhalli,0,149,94,55,79,109,1,77,165,167,76,42,119,82,82,1,160,3,,209,34,96,147,243,0,32,211,242,1
Dasanahalli,4,32,37,2,33,38,0,69,4,71,2,19,33,21,0,0,73,18,,26,47,40,33,73,0,40,33,71,2
Halathimalapura,40,2,9,4,42,5,0,40,11,47,4,4,14,33,1,0,50,0,,21,30,36,15,51,0,23,28,51,0
Shivalinganahalli,32,34,31,15,70,12,0,78,19,80,17,9,56,32,4,13,80,12,,39,58,47,50,96,1,53,43,73,24
Hirekolachi,48,1,1,2,45,3,0,37,13,44,6,4,27,19,7,0,43,0,,19,31,45,5,50,0,18,32,50,0
Holalu,42,66,45,22,63,68,0,115,38,128,25,26,116,11,30,21,102,49,,55,98,76,77,151,2,80,73,120,33
Katebennuru,6,36,56,7,64,27,0,81,17,96,2,24,48,26,5,0,93,5,,25,73,56,42,98,0,41,57,97,1
Thamalapura,32,5,62,13,84,2,1,85,13,94,5,3,16,80,1,1,97,4,,30,69,93,6,98,1,54,45,96,3
Hakandi,187,35,34,28,190,38,1,209,46,243,13,28,112,116,24,6,226,26,,89,167,197,59,255,1,119,137,247,9
Kalvi West,13,2,10,1,24,0,1,22,2,25,0,2,13,10,0,0,25,0,,5,20,20,5,25,0,6,19,25,0
Musuvinakallahalli,0,37,21,30,22,6,0,37,21,56,2,6,25,27,2,0,56,0,,48,10,37,21,58,0,10,48,56,2
Uttangi,0,15,20,24,9,2,0,19,16,32,3,2,13,19,6,1,28,0,,28,7,25,10,35,0,7,28,35,0
Mudenur,0,33,17,16,29,5,1,32,17,50,0,5,20,25,1,1,48,0,,27,23,26,24,50,0,10,40,50,0
Hagaranur,3,0,0,0,3,0,0,3,0,3,0,0,2,1,0,0,3,0,,0,3,3,0,3,0,2,1,3,0
Mannera Masalavada,95,0,0,3,82,10,0,89,6,88,7,5,49,41,1,3,91,1,,47,48,36,59,95,0,8,87,91,4
Devagondanahalli,101,20,8,17,100,12,7,72,50,113,16,32,79,18,34,1,94,23,,81,48,90,39,128,1,81,48,127,2
Hiremallinakeri,1,30,4,0,19,16,0,28,7,23,12,6,17,12,0,2,33,0,,26,9,15,20,35,0,11,24,35,0
Veerapura,6,5,10,1,8,12,0,21,0,21,0,1,15,5,0,1,20,9,,8,13,15,6,21,0,9,12,21,0
Makarabbi,0,92,9,0,99,2,1,98,2,101,0,41,60,0,31,11,59,53,,98,3,99,2,101,0,98,3,101,0
Hirabannimatti,0,30,16,0,19,27,0,41,5,46,0,4,42,0,8,0,38,25,,37,9,32,14,46,0,41,5,46,0
Sogi,0,85,3,5,68,15,0,57,31,46,42,19,42,27,35,0,53,1,,68,20,42,46,88,0,13,75,88,0
HUVINA HADAGALI,0,0,2,0,2,0,0,0,2,2,0,1,1,0,0,0,2,0,,2,0,2,0,2,0,1,1,2,0
