village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Yenniwadgera,0,26,66,89,3,0,92,0,0,92,0,19,73,0,0,1,91,8,84,4,88,91,1,21,71,88,4
Teggihalli,0,25,82,105,2,0,88,19,0,103,4,21,86,0,0,0,107,0,107,6,101,81,26,72,35,71,36
Hebbal (K),0,7,108,73,42,0,114,1,0,113,2,3,93,19,2,0,113,86,29,23,92,115,0,46,69,110,5
Shakhapur,1,33,47,69,11,1,64,14,3,68,13,35,18,28,3,0,78,5,76,24,57,80,1,9,72,43,38
Kamalpur,0,7,44,39,12,0,51,0,0,28,23,5,44,2,0,0,51,2,49,17,34,51,0,42,9,51,0
Mudnoor (B),0,32,86,103,11,4,105,12,1,118,0,31,81,6,0,0,118,4,114,96,22,118,0,58,60,117,1
Marnal,0,14,125,119,20,0,110,29,0,121,18,12,80,47,0,0,139,2,137,75,64,138,1,99,40,138,1
Kotigud,0,2,56,29,29,0,58,0,0,33,25,2,48,8,0,0,58,1,57,12,46,57,1,38,20,58,0
Sadab,0,0,6,6,0,0,6,0,0,6,0,0,6,0,0,0,6,0,6,2,4,6,0,5,1,6,0
Bapparga,0,5,47,22,30,0,52,0,0,37,15,3,43,6,0,0,52,15,37,1,51,52,0,28,24,51,1
Yerkihal,0,25,73,43,55,0,35,55,8,93,5,22,40,36,0,1,97,6,92,34,64,97,1,62,36,84,14
Jogandabhavi,0,11,87,63,35,0,98,0,0,91,7,11,73,14,0,0,98,5,93,9,89,91,7,50,48,92,6
Amlihal,0,67,80,111,36,0,137,10,0,147,0,67,73,7,0,0,147,11,136,119,28,147,0,52,95,137,10
Rayangola,0,10,52,55,7,0,62,0,0,61,1,10,47,5,0,0,62,12,50,16,46,55,7,31,31,43,19
Agthirth,0,0,110,41,39,30,45,64,1,110,0,0,12,98,0,0,110,4,106,39,71,109,1,63,47,56,54
Arkera (J),1,69,129,180,17,2,156,40,3,184,15,66,59,74,0,0,199,11,188,57,142,192,7,115,84,169,30
Teerth,0,4,99,29,74,0,103,0,0,103,0,4,29,70,1,0,102,0,103,1,102,100,3,32,71,89,14
Bardevanhal,0,7,235,170,72,0,240,1,1,240,2,7,184,51,1,0,241,64,178,153,89,237,5,74,168,221,21
Agni,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
Hunsgi,0,16,11,25,1,1,27,0,0,27,0,16,11,0,0,0,27,0,27,26,1,27,0,12,15,27,0
Kodekal,0,1,1,2,0,0,2,0,0,2,0,1,1,0,0,0,2,0,2,2,0,2,0,1,1,2,0
Yedhalli,0,18,36,46,8,0,54,0,0,54,0,18,33,3,0,0,54,4,50,54,0,54,0,49,5,54,0
Wajjal,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0
Kolihal,0,2,2,4,0,0,4,0,0,4,0,2,2,0,0,0,4,0,4,4,0,4,0,2,2,4,0
Yedalbhavi,0,0,61,61,0,0,61,0,0,61,0,0,15,46,0,0,61,47,14,45,16,61,0,42,19,61,0
Handral,0,0,25,25,0,0,25,0,0,25,0,0,2,23,0,0,25,25,0,10,15,25,0,0,25,25,0
Rajwal,0,0,23,4,19,0,21,1,1,23,0,0,2,21,0,0,23,22,1,11,12,23,0,1,22,23,0
Malnoor,0,0,26,9,16,1,24,2,0,26,0,0,10,16,0,0,26,24,2,16,10,26,0,4,22,25,1
Siddapur,0,0,24,24,0,0,24,0,0,24,0,0,13,11,0,0,24,24,0,12,12,24,0,10,14,24,0
Rajankollur,0,5,47,36,15,1,50,1,1,47,5,3,16,33,0,0,52,29,23,46,6,52,0,25,27,52,0
