village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Naripura (Ater),0,0,19,0,16,3,10,9,0,16,3,0,2,17,0,0,19,0,,19,0,13,6,19,0,18,1,19,0
Kadora,0,0,29,2,23,4,21,8,0,24,5,0,5,24,0,0,29,1,,29,0,21,8,29,0,29,0,29,0
Balarpura,0,0,26,0,23,3,16,10,0,20,6,0,3,23,0,0,26,0,,26,0,19,7,26,0,26,0,26,0
Masuri,0,0,53,0,45,8,35,17,1,47,6,0,10,43,0,0,53,0,,52,1,38,15,53,0,53,0,53,0
Bagulari,0,0,50,0,45,5,36,14,0,43,7,0,4,46,0,0,50,0,,48,2,33,17,49,0,49,1,50,0
Mooratpura,0,2,37,1,38,0,26,12,1,36,3,1,4,34,0,0,39,0,,38,1,28,11,38,0,39,0,38,1
Mahewa,0,0,41,0,38,3,30,11,0,35,6,0,6,35,0,0,41,0,,41,0,29,12,40,1,40,1,41,0
Narsinghgarh,0,0,3,0,2,1,2,1,0,3,0,0,0,3,0,0,3,0,,3,0,3,0,3,0,3,0,3,0
Inguri,0,0,16,0,15,1,11,5,0,15,1,0,3,13,0,0,16,0,,16,0,12,4,16,0,16,0,16,0
Lakhanpura,0,1,17,0,18,0,13,5,0,16,2,0,2,16,0,0,18,0,,18,0,16,2,18,0,18,0,18,0
Pur,0,1,58,0,58,1,48,10,1,51,8,0,7,52,0,0,59,0,,59,0,45,14,59,0,58,1,59,0
Akhtyarpura,0,0,11,0,10,1,9,2,0,9,2,0,0,11,0,0,11,0,,11,0,9,2,11,0,11,0,11,0
Khadit,1,1,83,0,81,4,55,30,0,75,10,1,13,71,0,0,85,0,,85,0,65,20,85,0,85,0,84,1
Mora,0,0,11,0,11,0,8,3,0,8,3,0,1,10,0,0,11,0,,11,0,10,1,11,0,11,0,11,0
Shukalpura,0,0,41,1,37,3,32,8,1,33,8,2,3,36,0,0,41,0,,40,1,33,8,41,0,41,0,40,1
Chomho,0,1,37,0,33,5,21,17,0,33,5,0,5,33,0,0,38,0,,38,0,30,8,38,0,38,0,38,0
Chhounda,0,0,7,0,6,1,6,1,0,6,1,0,1,6,0,0,7,0,,7,0,6,1,7,0,7,0,7,0
Udotgarh,0,0,17,0,16,1,9,8,0,15,2,0,1,16,0,0,17,0,,17,0,11,6,17,0,17,0,17,0
Kanera,0,0,30,0,27,3,22,8,0,27,3,0,3,27,0,0,30,0,,30,0,22,8,30,0,28,2,30,0
Ahrolikali,0,0,35,0,31,4,24,10,1,29,6,0,5,30,0,0,35,0,,35,0,25,10,35,0,34,1,35,0
Budhanpur,0,0,4,0,4,0,2,2,0,3,1,0,0,4,0,0,4,0,,4,0,2,2,4,0,4,0,4,0
Tarsokhar,0,0,15,0,14,1,10,5,0,13,2,0,0,15,0,0,15,0,,15,0,12,3,15,0,15,0,15,0
Ridouli,0,1,68,0,67,2,45,24,0,64,5,0,7,62,0,0,69,0,,69,0,56,13,69,0,66,3,69,0
Dharai,0,1,51,0,45,7,32,20,0,46,6,0,8,44,0,0,52,0,,52,0,41,11,52,0,52,0,52,0
Daipura,0,0,17,0,15,2,11,6,0,16,1,0,1,16,0,0,17,0,,17,0,13,4,17,0,17,0,17,0
Chouki,0,0,49,0,47,2,37,12,0,43,6,0,5,44,0,0,49,0,,49,0,39,10,49,0,48,1,49,0
Mudiakhara,0,0,42,0,37,5,26,16,0,38,4,0,3,39,0,0,42,0,,42,0,31,11,42,0,42,0,42,0
Dulhagan,0,1,83,0,78,6,63,21,0,76,8,0,8,76,0,0,84,0,,84,0,68,16,84,0,83,1,84,0
Para,0,1,29,1,25,4,20,10,0,27,3,0,4,26,0,0,30,0,,30,0,24,6,30,0,29,1,30,0
Gajna,0,1,45,0,41,5,31,15,0,41,5,0,7,39,0,0,46,0,,46,0,33,13,46,0,45,1,46,0
Sakaraya,0,0,98,0,85,13,63,35,0,86,12,2,13,83,0,0,98,0,,98,0,72,26,98,0,97,1,98,0
