village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bamitha,0,2,12,10,3,1,8,6,0,0,0,5,4,5,0,0,14,12,2,11,3,14,0,0,0,14,0
Salaiya,0,1,22,13,7,3,19,4,0,0,0,5,4,14,0,0,23,16,7,23,0,23,0,0,0,22,1
Jhamtuli,0,16,138,102,40,12,77,71,6,0,0,34,24,96,0,0,154,136,18,145,9,154,0,1,0,154,0
Silon,0,12,60,28,32,12,41,30,1,0,0,18,14,40,0,0,72,57,15,67,5,71,1,0,0,72,0
Imalha,0,7,40,21,20,6,28,19,0,0,0,11,11,25,0,0,47,34,13,44,3,44,3,0,0,45,2
Badni,0,1,1,0,2,0,1,1,0,0,0,2,0,0,0,0,2,1,1,2,0,2,0,0,0,2,0
Bardwaha,0,1,10,2,7,2,6,4,1,0,0,1,4,6,0,0,11,9,2,10,1,11,0,0,0,11,0
Gangwaha,0,1,11,5,6,1,4,8,0,0,0,1,3,8,0,0,12,12,0,11,1,11,0,0,0,12,0
Bendri,0,2,13,8,7,0,10,5,0,0,0,7,2,6,0,0,15,13,2,14,1,13,0,0,0,14,1
Kabar,0,2,12,7,4,3,7,7,0,0,0,5,4,5,0,0,14,12,2,14,0,14,0,0,0,14,0
Otapurwa,0,3,19,9,9,4,16,6,0,0,0,7,6,9,0,0,22,15,7,21,1,22,0,0,0,22,0
Patan,0,2,6,6,2,0,7,1,0,0,0,2,1,5,0,0,8,2,6,7,1,8,0,0,0,8,0
Gomakhurd,0,7,44,28,18,5,29,19,3,0,0,14,14,23,0,0,51,43,8,50,1,50,1,0,0,51,0
Baharpura,0,5,39,14,25,5,26,18,0,0,0,9,7,28,0,0,44,35,9,43,1,43,0,1,0,43,1
Bhusor,0,0,22,15,6,1,17,5,0,0,0,2,6,14,0,0,22,16,6,20,2,22,0,0,0,22,0
Pahara,0,0,2,2,0,0,0,2,0,0,0,0,1,1,0,0,2,2,0,2,0,2,0,0,0,2,0
Ranguwa,0,5,15,9,8,3,14,6,0,0,0,9,3,8,0,0,20,16,4,20,0,19,1,0,0,20,0
Basari,1,20,101,53,51,18,87,34,1,0,0,40,20,62,0,0,122,103,19,118,4,121,1,0,0,122,0
Karodiya,0,4,26,18,11,1,21,9,0,0,0,7,7,16,0,0,30,27,3,27,3,30,0,0,0,30,0
Sewdi,0,1,3,2,1,1,3,1,0,0,0,1,2,1,0,0,4,3,1,4,0,4,0,0,0,4,0
Nabada,0,0,12,8,2,2,8,3,1,0,0,1,3,8,0,0,12,5,7,12,0,11,1,0,0,12,0
Khajwa,0,1,7,3,4,1,7,1,0,0,0,2,1,5,0,0,8,5,3,8,0,8,0,0,0,8,0
