village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
chilva,0,276,71,36,304,7,43,292,12,218,129,277,35,35,0,0,347,268,79,136,211,299,48,212,135,201,146
Kurd Digpura,0,225,1,25,185,16,46,180,0,130,96,226,0,0,0,0,226,150,76,136,90,186,40,159,67,92,134
Mogara,0,261,158,55,340,24,43,333,43,244,175,263,74,82,1,1,417,303,116,143,276,308,111,235,184,259,160
Khandlai,0,144,0,18,118,8,32,83,29,82,62,144,0,0,0,0,144,85,59,47,97,102,42,72,72,102,42
Birlai,0,119,33,26,123,3,18,132,2,93,59,119,19,14,0,2,150,116,36,60,92,126,26,87,65,73,79
Lunara,0,182,0,21,150,11,9,171,2,125,57,182,0,0,0,0,182,126,56,67,115,117,65,124,58,103,79
Doi,0,59,0,4,54,1,2,57,0,46,13,59,0,0,0,0,56,41,18,25,34,38,21,44,15,30,29
Anjan Khedi,0,24,0,3,20,1,0,24,0,16,8,24,0,0,0,0,24,13,11,10,14,18,6,13,11,15,9
Jharda,0,189,0,18,162,9,15,157,17,131,58,189,0,0,0,0,189,115,74,84,105,136,53,122,67,96,93
Chikli,0,47,38,11,64,10,5,80,0,57,28,47,38,0,0,0,85,58,27,39,46,58,27,41,44,46,39
Khargone,0,137,134,32,223,16,40,207,24,191,80,137,134,0,0,0,271,171,100,123,148,194,77,164,107,157,114
Ali,0,0,76,3,73,0,1,73,2,49,27,0,30,46,0,0,76,59,17,28,48,67,9,45,31,45,31
Ajanya Malhar,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Haldi,0,0,5,0,5,0,0,5,0,2,3,0,2,3,0,0,5,3,2,2,3,3,2,4,1,4,1
Girwanya,0,1,35,1,34,1,8,28,0,24,12,1,15,20,0,0,36,16,20,10,26,36,0,19,17,18,18
Dehri,1,6,129,23,112,1,13,123,0,86,50,6,58,72,0,0,136,96,40,59,77,128,8,90,46,76,60
Jhardi,0,1,36,4,32,1,2,35,0,24,13,1,15,21,0,0,37,26,11,15,22,33,4,24,13,18,19
Lohara,0,6,72,2,76,0,8,70,0,52,26,6,30,42,0,0,78,68,10,28,50,78,0,44,34,40,38
Banki Dehri,0,1,21,3,19,0,1,21,0,16,6,1,9,11,0,0,21,17,5,14,8,20,2,9,13,14,8
Magarda,0,1,47,10,38,0,1,47,0,25,23,1,26,21,0,0,47,35,13,11,37,43,5,26,22,27,21
Badgyar,0,1,76,7,69,1,0,77,0,47,30,1,38,38,0,0,77,70,7,31,46,64,13,48,29,42,35
Undali,0,3,153,26,130,0,1,154,1,95,61,3,63,90,0,0,156,118,38,56,100,132,24,83,73,92,64
Jugtalai,0,0,157,19,138,0,2,155,0,109,48,1,64,92,0,0,157,147,10,59,98,141,16,81,76,70,87
sustipura,0,2,46,2,46,0,0,45,3,24,24,2,21,25,0,0,48,41,7,22,26,42,6,28,20,30,18
