village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Shahajpuri,0,158,6,78,71,15,126,37,1,163,1,159,5,0,0,0,163,151,13,159,5,164,0,164,0,164,0
Mangela,0,29,28,10,46,1,43,14,0,57,0,31,25,1,0,0,56,57,0,55,2,57,0,57,0,57,0
Parasiya,0,3,1,1,2,1,4,0,0,4,0,3,1,0,0,0,4,3,1,4,0,4,0,4,0,4,0
Kailwas,0,3,3,1,4,1,5,1,0,6,0,4,1,1,0,0,6,6,0,6,0,6,0,6,0,6,0
Padariya,0,10,5,7,3,5,15,0,0,15,0,12,3,0,0,0,15,15,0,15,0,15,0,15,0,15,0
Bamhnoda,0,1,4,1,0,4,5,0,0,5,0,2,2,1,0,0,5,5,0,5,0,5,0,5,0,5,0
Pipariya Khurd,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Ghana,0,3,5,7,1,0,8,0,0,8,0,3,5,0,0,0,8,8,0,8,0,8,0,8,0,8,0
Sagda Jhapani,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Pindrai,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Padariya,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Narrai,0,9,9,7,7,4,17,1,0,18,0,11,5,2,0,0,18,18,0,18,0,18,0,18,0,18,0
TIKARIA,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Sohad,0,8,0,2,2,4,8,0,0,8,0,8,0,0,0,0,8,8,0,8,0,8,0,8,0,8,0
BASAHA,0,16,7,20,0,3,23,0,0,23,0,16,4,3,0,0,23,22,1,22,1,20,3,23,0,12,11
Sarrai,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Bandar Kola,0,121,12,68,60,5,69,63,1,132,1,124,5,4,0,0,132,133,0,99,34,133,0,133,0,133,0
Barha,0,27,5,18,9,5,27,5,0,32,0,28,1,3,0,0,32,31,1,22,10,32,0,32,0,32,0
Dungariya,0,11,2,5,6,2,13,0,0,13,0,12,1,0,0,0,13,13,0,12,1,13,0,13,0,13,0
Thana,0,1,2,1,2,0,3,0,0,3,0,1,0,2,0,0,3,3,0,3,0,3,0,3,0,3,0
Rengajhori,0,0,2,1,1,0,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Parasiya,0,3,7,2,7,1,7,2,1,9,1,6,3,1,0,0,10,9,1,10,0,8,1,10,0,9,0
Gokalpur,0,34,12,30,11,5,36,10,0,46,0,36,5,5,0,0,46,44,2,42,4,46,0,46,0,46,0
Hinota,0,32,1,5,19,9,27,6,0,33,0,32,1,0,0,0,33,32,1,24,9,33,0,33,0,33,0
Lamheti,0,2,10,0,10,2,11,1,0,12,0,4,5,3,0,0,12,12,0,12,0,12,0,12,0,12,0
Bahoripar,0,37,9,41,4,1,33,13,0,46,0,37,2,7,0,0,46,44,2,37,9,46,0,46,0,46,0
Ghunsor,0,76,38,30,64,20,108,6,0,112,2,78,21,15,0,0,114,114,0,103,11,114,0,113,1,114,0
Kuda - 489840,0,12,15,8,14,5,26,1,0,27,0,12,10,5,0,0,27,27,0,25,2,27,0,27,0,27,0
Khamhariya,0,7,34,16,14,11,41,0,0,41,0,9,11,21,0,0,41,41,0,41,0,41,0,41,0,41,0
Nayagaon,0,58,20,21,45,12,70,8,0,78,0,58,14,6,0,0,78,78,0,76,2,78,0,78,0,78,0
Badhaiya Kheda,0,23,2,15,7,3,21,4,0,25,0,23,2,0,0,0,25,25,0,21,4,25,0,25,0,25,0
Saliwada,0,34,2,15,12,9,30,6,0,36,0,34,1,1,0,0,36,36,0,34,2,36,0,36,0,36,0
Dugariya,0,0,5,1,4,0,4,1,0,5,0,0,3,2,0,0,5,5,0,5,0,5,0,5,0,5,0
Lodhi,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Mohas,0,53,30,51,25,7,64,19,0,82,1,56,11,16,0,0,83,83,0,51,32,82,0,82,1,83,0
Nigri,0,34,9,29,10,4,27,16,0,43,0,36,3,4,0,0,43,43,0,34,9,43,0,43,0,43,0
Bargi,0,1,1,0,1,1,2,0,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Tinsa,0,2,1,1,2,0,3,0,0,3,0,2,0,1,0,0,3,3,0,3,0,3,0,2,1,3,0
