village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bichhiya,0,4,6,1,6,3,8,2,0,10,0,4,6,0,0,0,10,4,6,0,10,10,0,10,0,1,9
Babaiya,0,4,0,1,2,1,3,1,0,4,0,4,0,0,0,0,4,4,0,1,3,4,0,4,0,3,1
Changawan,0,13,9,8,11,3,22,0,0,22,0,13,8,1,0,0,22,6,16,0,22,22,0,22,0,7,15
Simariya,0,89,2,34,29,28,68,23,0,90,1,89,2,0,0,0,91,91,0,74,17,91,0,91,0,91,0
Gaura,0,3,2,1,4,0,3,2,0,5,0,3,1,1,0,0,5,5,0,3,2,5,0,5,0,5,0
Badkhera,0,17,0,2,14,1,12,5,0,16,1,17,0,0,0,0,17,17,0,17,0,17,0,17,0,17,0
Baihar Kalan,0,30,20,10,24,16,49,1,0,49,1,31,14,5,0,0,50,50,0,50,0,50,0,50,0,50,0
Bhatgawan,0,0,2,0,2,0,2,0,0,2,0,0,2,0,0,0,2,2,0,0,2,2,0,2,0,2,0
Sakarpila,0,0,3,3,0,0,2,1,0,3,0,0,3,0,0,0,3,3,0,2,1,3,0,3,0,3,0
Barauda,0,4,5,2,7,0,8,1,0,9,0,4,5,0,0,0,9,8,1,8,1,9,0,9,0,9,0
Bargawan Darachi,0,30,22,42,4,6,47,5,0,52,0,31,19,2,0,0,52,47,5,51,1,52,0,52,0,52,0
Dauni (Doni),0,35,14,23,17,9,41,8,0,49,0,36,12,1,0,0,49,47,2,49,0,49,0,49,0,49,0
Rinwajha,0,2,3,0,4,1,4,1,0,5,0,3,2,0,0,0,5,5,0,2,3,5,0,5,0,5,0
Bagdhari,0,18,3,0,15,6,19,2,0,20,1,18,3,0,0,0,21,21,0,1,20,21,0,21,0,21,0
Ponda,0,10,42,21,26,5,46,6,0,52,0,16,35,1,0,0,51,45,7,48,4,52,0,52,0,52,0
Patori,0,25,26,44,5,2,51,0,0,51,0,25,25,1,0,0,51,40,11,48,3,51,0,51,0,51,0
Talad,0,7,1,4,4,0,8,0,0,7,1,7,1,0,0,0,8,8,0,6,2,8,0,8,0,8,0
Harduwa,0,10,2,6,6,0,9,3,0,12,0,10,2,0,0,0,12,12,0,11,1,12,0,12,0,12,0
Pola,0,64,16,11,44,25,57,23,0,79,1,67,8,5,0,0,80,80,0,77,3,80,0,80,0,80,0
Mahagawan,0,7,0,3,3,1,5,2,0,6,1,7,0,0,0,0,7,7,0,7,0,7,0,7,0,7,0
Khudawal,0,30,1,8,20,3,22,9,0,31,0,30,1,0,0,0,31,31,0,24,7,31,0,31,0,31,0
Rajwai,0,3,1,0,4,0,4,0,0,4,0,3,1,0,0,0,4,4,0,3,1,4,0,4,0,4,0
Mahgawan,0,3,0,1,2,0,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Jauli,0,2,1,3,0,0,3,0,0,3,0,2,0,1,0,0,3,3,0,3,0,3,0,3,0,3,0
Bagaswahi,0,2,0,1,1,0,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Soma Khurd,0,4,1,0,5,0,2,3,0,5,0,4,1,0,0,0,5,5,0,1,4,5,0,5,0,5,0
Sagodi,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Gurji,0,2,3,4,1,0,5,0,0,5,0,2,2,1,0,0,5,5,0,5,0,5,0,5,0,5,0
Harduwa,0,8,3,8,3,0,9,2,0,11,0,8,3,0,0,0,11,10,1,11,0,11,0,11,0,11,0
Darshani,0,49,13,35,20,7,52,9,1,55,7,49,8,5,0,0,62,54,8,50,12,62,0,62,0,62,0
Khitaula,0,3,3,4,2,0,5,1,0,6,0,5,1,0,0,0,6,6,0,6,0,6,0,6,0,6,0
Mansakra,0,7,0,0,3,4,6,1,0,7,0,7,0,0,0,0,7,7,0,5,2,7,0,7,0,7,0
Hathlewa,0,45,0,9,29,7,24,21,0,41,4,45,0,0,0,0,45,43,2,35,10,45,0,45,0,45,0
Lahaud,0,81,18,65,33,1,83,16,0,98,1,85,14,0,0,0,99,97,2,99,0,99,0,98,1,99,0
Ghana Kalan,0,57,29,58,20,8,84,2,0,85,1,59,25,2,0,0,86,83,3,86,0,86,0,85,1,86,0
Gandhiganj,0,10,1,2,8,1,7,4,0,11,0,10,1,0,0,0,11,11,0,11,0,11,0,11,0,11,0
Gauraha Bhitauni,0,80,2,53,26,3,76,6,0,82,0,80,1,1,0,0,82,81,1,77,5,82,0,82,0,82,0
Lamkana,0,111,9,28,57,35,95,24,1,114,6,111,8,1,0,0,120,113,7,116,4,119,1,119,1,120,0
Rajtala,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Pali,0,35,29,36,10,18,56,8,0,64,0,41,22,1,0,0,64,60,4,63,1,64,0,63,1,64,0
Harsingi,0,94,15,50,37,22,84,25,0,106,3,95,13,1,0,0,109,100,9,97,12,107,2,109,0,109,0
Simariya-m,0,4,0,4,0,0,4,0,0,4,0,4,0,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Majauli,0,27,3,8,15,7,22,8,0,30,0,27,3,0,0,0,30,30,0,27,3,30,0,30,0,29,1
Ghat Khamhariya,0,13,0,1,8,4,8,5,0,12,1,13,0,0,0,0,13,13,0,13,0,13,0,13,0,13,0
Khairi,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Amgawan,0,3,0,3,0,0,2,1,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Abhana,0,69,2,37,32,2,39,32,0,69,2,69,2,0,0,0,71,70,1,54,17,71,0,71,0,71,0
Tagbihar,0,18,0,5,13,0,12,6,0,18,0,18,0,0,0,0,18,18,0,16,2,18,0,18,0,18,0
Khand,0,9,0,4,4,1,4,5,0,9,0,9,0,0,0,0,9,9,0,8,1,9,0,9,0,9,0
Jujhari,0,5,0,2,2,1,4,1,0,5,0,5,0,0,0,0,5,5,0,2,3,5,0,5,0,5,0
Richhi,0,2,0,1,1,0,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Mudiya Madaud,0,11,0,4,7,0,8,3,0,11,0,11,0,0,0,0,11,11,0,8,3,10,1,11,0,11,0
Nandghat,0,1,1,2,0,0,2,0,0,2,0,1,0,1,0,0,2,2,0,2,0,2,0,2,0,2,0
Muhaniya,0,2,0,1,0,1,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Diwari,0,29,0,5,21,3,23,6,0,25,4,29,0,0,0,0,29,29,0,23,6,29,0,29,0,29,0
Sunwani,0,18,0,8,10,0,9,9,0,18,0,18,0,0,0,0,18,18,0,16,2,18,0,18,0,18,0
Budhi,0,4,0,3,0,1,4,0,0,4,0,4,0,0,0,0,4,4,0,3,1,4,0,4,0,4,0
Pipariya,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Ranital,0,6,0,2,3,1,4,2,0,5,1,6,0,0,0,0,6,6,0,4,2,5,1,6,0,6,0
Pondi Kalan,0,25,1,2,19,5,21,5,0,24,2,25,1,0,0,0,26,26,0,3,23,26,0,26,0,26,0
Bargi,0,33,0,4,24,5,29,4,0,31,2,33,0,0,0,0,33,33,0,32,1,33,0,33,0,33,0
Umariya,0,3,0,1,2,0,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Harduwa Kalan,0,74,0,31,42,1,60,14,0,73,1,74,0,0,0,0,74,74,0,54,20,74,0,74,0,74,0
Padwar,0,4,0,1,3,0,3,1,0,4,0,4,0,0,0,0,4,4,0,3,1,4,0,4,0,4,0
Umardha,0,4,1,5,0,0,5,0,0,5,0,4,0,1,0,0,5,5,0,5,0,5,0,5,0,5,0
Sarauda,0,5,0,1,4,0,4,1,0,5,0,5,0,0,0,0,5,5,0,5,0,5,0,5,0,5,0
Khalari,0,3,0,0,3,0,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Kuda,0,19,1,13,6,1,20,0,0,20,0,19,0,1,0,0,20,20,0,20,0,20,0,20,0,20,0
Mahgawan,0,5,0,0,5,0,5,0,0,5,0,5,0,0,0,0,5,5,0,5,0,5,0,5,0,5,0
Mohla,0,11,6,6,11,0,12,5,0,17,0,12,5,0,0,0,17,17,0,16,1,17,0,17,0,17,0
Nandgram,0,18,0,6,10,2,13,5,0,17,1,18,0,0,0,0,18,18,0,16,2,18,0,18,0,18,0
Dhangawan-ss,0,26,1,3,23,1,21,6,0,25,2,26,0,1,0,0,27,25,2,22,5,27,0,27,0,27,0
Pipariya,0,40,1,2,19,20,28,13,0,38,3,40,1,0,0,0,41,41,0,35,6,40,1,41,0,41,0
Dinari Khamhariya,0,58,3,8,46,7,46,15,0,55,6,59,1,1,0,0,61,61,0,47,14,61,0,61,0,61,0
Khango,0,3,1,0,3,1,3,1,0,4,0,3,1,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Duhatra,0,9,1,3,6,1,7,3,0,9,1,9,1,0,0,0,10,10,0,10,0,10,0,10,0,10,0
Dundi,0,9,0,3,4,2,9,0,0,8,1,9,0,0,0,0,9,9,0,9,0,9,0,9,0,9,0
Katra,0,5,0,2,3,0,3,2,0,5,0,5,0,0,0,0,5,5,0,4,1,5,0,5,0,5,0
Deori (Diwari),0,43,1,4,34,6,28,16,0,44,0,44,0,0,0,0,44,44,0,41,3,44,0,44,0,44,0
Kumharwara,0,9,0,0,5,4,7,2,0,4,5,9,0,0,0,0,9,9,0,9,0,9,0,9,0,9,0
Dhondi,0,3,0,0,2,1,3,0,0,3,0,3,0,0,0,0,3,3,0,2,1,3,0,3,0,3,0
Padariya,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Dhanadi,0,18,5,7,10,6,15,8,0,21,2,19,3,1,0,0,23,22,1,17,6,23,0,23,0,23,0
Biriya,0,23,1,0,18,6,14,10,0,24,0,23,1,0,0,0,24,24,0,22,2,24,0,24,0,24,0
Mudkuru,0,12,5,1,12,4,13,4,0,16,1,14,3,0,0,0,17,17,0,17,0,17,0,17,0,17,0
Sihoda,0,27,6,19,12,2,27,6,0,31,2,28,5,0,0,1,32,33,0,32,1,33,0,33,0,33,0
Hatauli,0,21,2,4,11,8,16,7,0,23,0,22,1,0,0,0,21,21,2,22,1,23,0,22,1,22,1
Khamra,0,23,6,9,13,7,19,10,0,27,2,24,4,1,0,0,29,27,2,28,1,29,0,29,0,29,0
Paduwa,0,19,9,16,9,3,24,4,0,21,7,19,8,1,0,0,27,28,0,28,0,28,0,28,0,28,0
Paura,0,10,0,2,5,3,5,5,0,9,1,10,0,0,0,0,10,10,0,10,0,10,0,10,0,10,0
Bihara,0,20,0,6,10,4,12,8,0,17,3,20,0,0,0,0,20,20,0,17,3,20,0,20,0,20,0
Sungawan,0,2,0,0,2,0,2,0,0,2,0,2,0,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Dharampura,0,22,6,1,20,7,16,12,0,26,2,26,2,0,0,0,28,27,1,16,12,28,0,28,0,28,0
Lamti,0,18,6,12,7,5,24,0,0,20,4,17,4,3,0,1,23,23,1,23,1,24,0,24,0,23,1
Bhita Khurd,0,35,12,27,18,2,37,7,3,45,2,39,8,0,0,0,47,43,4,44,3,47,0,47,0,47,0
Persila,0,5,1,5,1,0,5,1,0,6,0,5,1,0,0,0,6,5,1,5,1,6,0,6,0,6,0
Mangawan (Manguwan),0,19,2,5,11,5,13,8,0,19,2,19,2,0,0,0,21,21,0,21,0,21,0,21,0,21,0
Richhi Khurd,0,6,2,1,1,6,7,1,0,8,0,6,1,1,0,0,8,8,0,4,4,8,0,8,0,8,0
Bamhori,0,3,3,0,4,2,6,0,0,6,0,3,2,1,0,0,6,6,0,4,2,6,0,6,0,6,0
Pauniya,0,52,46,30,49,19,77,21,0,94,4,58,22,18,0,0,98,91,7,72,26,98,0,98,0,96,2
Puraina,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Baihar Khurd,0,4,0,3,0,1,4,0,0,4,0,4,0,0,0,0,4,3,1,4,0,4,0,4,0,4,0
Madai,0,95,3,14,76,8,66,29,3,92,6,96,2,0,0,0,98,98,0,89,9,98,0,97,1,98,0
Jhingrai,0,32,0,5,21,6,23,9,0,28,4,32,0,0,0,0,32,31,1,26,6,32,0,32,0,32,0
Paharuwa,0,15,1,4,11,1,15,1,0,15,1,15,1,0,0,0,16,15,1,14,2,16,0,16,0,16,0
Naigawan,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Talwa,0,19,1,3,13,4,19,1,0,19,1,20,0,0,0,0,20,20,0,20,0,20,0,20,0,20,0
Sahajpura,0,28,1,5,22,2,23,6,0,29,0,28,1,0,0,0,29,29,0,17,12,29,0,29,0,28,1
Tala,0,22,1,4,19,0,15,8,0,19,4,22,1,0,0,0,23,23,0,13,10,23,0,23,0,23,0
Kanjai,0,20,0,4,11,5,10,10,0,19,1,20,0,0,0,0,20,20,0,16,4,20,0,20,0,20,0
Dhangawan,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Hinauta,0,39,1,8,25,7,17,23,0,37,3,39,1,0,0,0,40,36,4,23,17,40,0,40,0,40,0
Dhoda (Dhodha),0,18,0,0,12,6,14,4,0,17,1,18,0,0,0,0,18,17,1,13,5,18,0,18,0,18,0
Pati,0,10,0,2,4,4,8,2,0,10,0,10,0,0,0,0,10,10,0,10,0,10,0,10,0,10,0
Koni Kalan,0,15,7,13,8,1,19,3,0,18,4,16,5,1,0,0,22,19,3,19,3,22,0,22,0,22,0
Padariya,0,11,0,0,8,3,7,4,0,11,0,11,0,0,0,0,11,11,0,7,4,11,0,11,0,11,0
Gathaura,0,3,0,0,1,2,1,2,0,3,0,3,0,0,0,0,3,3,0,2,1,3,0,3,0,3,0
Salaiya,0,3,0,1,1,1,2,1,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Bilgawan,0,9,1,9,1,0,10,0,0,10,0,9,1,0,0,0,10,4,6,10,0,10,0,10,0,10,0
Suhajani,0,28,0,11,16,1,18,10,0,24,4,28,0,0,0,0,28,19,9,18,10,28,0,28,0,28,0
Bankhedi,0,3,4,0,5,2,5,2,0,7,0,3,3,1,0,0,7,7,0,7,0,7,0,7,0,7,0
Gurda,0,36,8,27,14,3,36,7,1,41,3,37,7,0,0,0,44,43,1,29,15,44,0,44,0,44,0
DHODHA,0,4,0,0,2,2,2,2,0,4,0,4,0,0,0,0,4,4,0,0,4,4,0,4,0,4,0
Dhanwahi,0,18,11,9,12,8,25,4,0,29,0,21,7,1,0,0,29,28,1,26,3,29,0,29,0,29,0
Indrana,0,5,4,6,2,1,8,1,0,9,0,6,3,0,0,0,9,8,1,9,0,9,0,9,0,9,0
Suhjani,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Narila,0,13,1,4,7,3,9,5,0,12,2,14,0,0,0,3,11,14,0,9,5,14,0,14,0,14,0
Bhadkura,0,2,0,1,1,0,1,1,0,2,0,2,0,0,0,0,2,2,0,1,1,2,0,2,0,2,0
Nigwani,0,38,6,30,13,1,37,7,0,43,1,39,4,1,0,0,44,10,34,41,3,44,0,44,0,42,2
Malhana,0,20,0,11,8,1,6,14,0,19,1,20,0,0,0,0,20,7,13,19,1,20,0,20,0,20,0
Kingi,0,23,0,10,11,2,20,3,0,21,2,23,0,0,0,0,23,0,23,19,4,23,0,23,0,21,2
Singhpur (Singhpura),0,14,0,4,8,2,10,4,0,13,1,14,0,0,0,0,14,13,1,11,3,14,0,14,0,14,0
Binduli,0,46,2,29,18,1,16,32,0,44,4,47,1,0,0,0,48,37,11,30,18,48,0,48,0,48,0
Mandhara,0,3,0,0,2,1,1,2,0,3,0,3,0,0,0,0,3,3,0,1,2,2,1,3,0,3,0
Amauda,0,23,1,12,11,1,5,19,0,24,0,24,0,0,0,0,24,24,0,24,0,24,0,24,0,24,0
Bisi,0,47,17,29,24,11,57,7,0,64,0,51,12,1,0,0,64,64,0,41,23,62,2,64,0,64,0
Khudawal,0,37,35,68,0,4,68,4,0,67,5,39,30,3,0,0,72,59,13,72,0,72,0,70,2,72,0
Majhgawan,0,0,4,3,1,0,4,0,0,4,0,2,2,0,0,0,4,4,0,4,0,4,0,4,0,4,0
Gada,0,5,2,0,1,6,3,4,0,7,0,6,1,0,0,0,7,7,0,3,4,7,0,7,0,7,0
Sagda,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
Bardahri,0,36,19,47,7,1,47,8,0,54,1,36,17,2,0,0,55,47,8,50,5,55,0,55,0,55,0
Channota,0,2,0,0,2,0,1,1,0,2,0,2,0,0,0,0,2,2,0,1,1,2,0,2,0,2,0
Kukrai,0,11,0,6,4,1,11,0,0,11,0,11,0,0,0,0,11,11,0,7,4,11,0,11,0,11,0
Harduwa Khurd,0,0,3,2,1,0,3,0,0,3,0,0,2,1,0,0,3,3,0,3,0,3,0,3,0,3,0
Marhati,0,4,0,3,1,0,4,0,0,4,0,4,0,0,0,0,4,1,3,4,0,4,0,4,0,4,0
Pipariya(Tagar),0,1,1,2,0,0,2,0,0,2,0,1,1,0,0,0,2,2,0,2,0,2,0,2,0,2,0
Luhari,0,5,0,5,0,0,5,0,0,5,0,5,0,0,0,0,5,4,1,5,0,5,0,5,0,5,0
Koni Khurd,0,9,9,18,0,0,18,0,0,18,0,11,7,0,0,0,18,14,4,18,0,18,0,18,0,18,0
Pipariya (Suleman),0,3,0,3,0,0,3,0,0,3,0,3,0,0,0,0,3,2,1,3,0,3,0,3,0,3,0
Pathra,0,2,1,3,0,0,3,0,0,3,0,2,1,0,0,0,3,3,0,3,0,3,0,3,0,3,0
Kailwas,0,11,3,14,0,0,14,0,0,13,1,12,2,0,0,0,14,9,5,14,0,14,0,14,0,14,0
Chargawan,0,3,0,3,0,0,3,0,0,3,0,3,0,0,0,0,3,3,0,3,0,3,0,3,0,3,0
