village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Sagmaniha,0,7,27,29,5,0,33,1,0,15,19,7,8,19,0,0,34,34,0,17,17,17,17,34,0,34,0
Kanchanpur,0,10,76,57,29,0,68,18,0,43,43,10,28,48,1,0,85,86,0,46,40,72,14,71,15,85,1
Rigra,0,3,73,69,7,0,63,13,0,39,37,3,36,37,0,0,76,76,0,21,55,63,13,54,22,75,1
Dubehi,0,4,47,27,24,0,36,15,0,26,25,4,22,25,1,0,50,51,0,18,33,41,10,37,14,51,0
Kanhwara,0,2,0,2,0,0,2,0,0,2,0,2,0,0,0,0,2,2,0,0,2,2,0,2,0,2,0
Dhatura,0,40,164,165,39,0,179,25,0,124,80,17,86,101,1,0,203,204,0,63,141,171,33,158,46,204,0
Lodhauti,0,3,85,74,14,0,77,11,0,53,35,3,47,38,0,0,88,88,0,28,60,75,13,56,32,88,0
Itama,0,5,82,66,21,0,72,15,0,48,39,5,44,38,0,0,87,87,0,29,58,80,7,65,22,87,0
Hinauta Kalan,0,3,52,44,11,0,44,11,0,30,25,3,26,26,0,0,55,55,0,16,39,47,8,37,18,55,0
Berma,0,0,33,32,1,0,28,5,0,16,17,0,16,17,1,0,32,33,0,11,22,29,4,20,13,33,0
Naktara,0,3,19,16,6,0,20,2,0,13,9,1,9,12,0,0,22,22,0,8,14,17,5,16,6,22,0
Hardua Kalan,0,12,40,29,23,0,45,7,0,40,12,0,36,16,0,0,52,52,0,15,37,39,13,39,13,52,0
Kherwa Kalan,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
Podi,0,7,34,35,6,0,37,4,0,29,12,0,26,15,0,0,41,41,0,10,31,34,6,29,12,41,0
Khaira,0,4,8,10,2,0,7,4,0,7,5,2,5,5,0,0,12,12,0,3,9,10,2,10,2,11,1
Salaiya,0,1,27,19,9,0,21,7,0,15,13,1,10,17,1,0,27,28,0,8,20,23,5,19,9,28,0
Ajmain,0,12,61,56,17,0,62,11,0,44,29,12,31,30,1,0,72,73,0,23,50,59,13,52,21,72,1
Bihara Kalan,0,1,3,4,0,0,3,1,0,2,2,1,1,2,0,0,4,4,0,0,4,2,2,1,3,4,0
Chapna,0,0,3,2,1,0,3,0,0,2,1,0,3,0,0,0,3,3,0,0,3,3,0,3,0,3,0
Karaundi Upadhyay,0,6,106,23,89,0,98,14,0,58,54,6,53,53,0,0,112,112,0,32,80,94,18,68,44,112,0
Patehra,0,5,83,87,1,0,74,14,0,38,50,2,28,58,0,0,88,88,0,14,73,78,10,59,29,88,0
Bhadanpur (S.W),0,2,47,15,34,0,44,5,0,31,18,2,22,25,0,0,49,49,0,17,32,34,15,31,18,49,0
Latagaon,0,1,4,5,0,0,5,0,0,2,3,1,1,3,0,0,5,5,0,3,2,5,0,4,1,5,0
Moharwa,0,2,38,11,29,0,36,4,0,24,16,2,19,19,0,0,40,40,0,9,31,33,7,31,9,40,0
Kudwa,0,2,7,9,0,0,7,2,0,5,4,2,3,4,1,0,7,9,0,2,7,7,2,7,2,9,0
Godin,0,3,7,9,1,0,9,1,0,8,2,3,5,2,1,0,9,10,0,2,8,9,1,10,0,10,0
Patehra,0,6,64,29,41,0,63,7,0,40,30,7,26,37,0,0,70,70,0,18,52,61,9,49,21,70,0
Bhadanpur (N.W),0,1,149,16,134,0,117,33,0,91,59,1,88,61,0,0,150,150,0,41,109,129,21,90,60,150,0
Pipraw Khand,0,3,14,7,10,0,13,4,0,12,5,3,7,7,0,0,17,17,0,4,13,14,3,11,6,17,0
Sabhaganj,0,1,1,1,1,0,2,0,0,1,1,1,0,1,0,0,2,2,0,1,1,2,0,2,0,2,0
Patharhata,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
Parasrampur,0,2,2,4,0,0,4,0,0,2,2,2,0,2,0,0,4,4,0,2,2,2,2,4,0,4,0
Badera,0,2,37,19,20,0,35,4,0,23,16,3,16,20,0,0,39,39,0,10,29,34,5,29,10,39,0
Kakra,0,6,31,28,9,0,33,4,0,26,11,6,18,13,0,0,37,37,0,12,25,29,8,30,7,37,0
Katiya Khurd,0,1,2,3,0,0,2,1,0,3,0,1,2,0,0,0,3,3,0,0,3,2,1,2,1,3,0
Bhatewara,0,2,5,7,0,0,3,4,0,3,4,2,1,4,0,0,7,7,0,1,6,7,0,7,0,7,0
Bara Khurd,0,3,25,16,12,0,22,6,0,13,15,3,10,15,0,0,28,28,0,10,18,23,5,25,3,28,0
Jowa,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Tikar Khurd,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Bhatgawan,0,5,51,34,22,0,43,13,0,28,28,1,23,32,0,0,56,56,0,18,38,49,7,39,17,56,0
Dadi,0,0,3,3,0,0,3,0,0,1,2,0,2,1,0,0,3,3,0,0,3,2,0,3,0,3,0
Barethi,0,1,9,10,0,0,9,1,0,3,7,0,3,7,0,0,9,10,0,3,7,9,1,6,4,10,0
Madai,0,0,33,33,0,0,26,7,0,13,20,0,12,21,0,0,33,33,0,5,28,28,5,20,13,33,0
Karaundi Dubey,0,0,71,8,63,0,61,10,0,43,28,0,46,25,0,0,71,71,0,23,48,61,10,48,23,71,0
Parsokha,0,2,67,14,55,0,54,15,0,33,36,1,22,46,1,0,68,69,0,7,62,61,8,41,28,69,0
Amda,0,10,23,31,2,0,29,4,0,23,10,3,23,7,0,0,33,33,0,5,28,31,2,23,9,33,0
Udaipur,0,19,98,89,28,0,106,11,0,70,47,11,62,44,0,0,117,117,0,34,83,97,20,80,36,117,0
Sahilara,0,6,39,22,23,0,40,5,0,33,12,0,26,19,0,0,45,45,0,4,41,35,10,28,17,45,0
Pakariya,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Kusedi,0,10,129,135,2,2,117,22,0,55,84,6,44,89,0,0,138,139,0,16,123,115,24,106,33,139,0
Goraiya Kalan,0,1,25,25,0,1,24,2,0,11,15,1,9,16,0,0,26,26,0,3,23,24,2,21,5,26,0
Goraiya,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0
Paraswara,0,1,14,10,5,0,14,1,0,9,6,0,9,6,0,0,15,15,0,1,14,13,2,9,6,15,0
Belha,0,1,14,15,0,0,12,3,0,5,10,1,5,9,0,0,15,15,0,2,13,12,3,12,3,15,0
Bharauli,0,0,25,4,21,0,19,6,0,17,8,0,15,10,0,0,25,25,0,9,16,20,5,13,12,25,0
Banjariya,0,1,2,3,0,0,3,0,0,2,1,1,1,1,0,0,3,3,0,0,3,3,0,3,0,3,0
Bara Kalan,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,2,0,0,2,2,0,1,1,2,0
Kuwri,0,0,3,3,0,0,2,1,0,2,1,0,1,2,0,0,3,3,0,0,3,3,0,2,1,3,0
Dharampura,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Sannai,0,0,5,4,1,0,4,1,0,3,2,0,4,1,0,0,5,5,0,1,4,4,1,4,1,5,0
Amilya Khurd,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
Naugawan,0,0,16,16,0,0,13,3,0,13,3,0,3,13,0,0,16,16,0,0,16,13,3,13,3,16,0
Naugawan,0,0,38,38,0,0,29,9,0,22,16,0,11,27,0,0,38,38,0,11,27,31,7,21,17,38,0
